d8f8b70ba7b8401479b9c16a5adadf2d07e0fe16dc7081a346d93ada92d44842,ea3019891a2f3d3b2e30b8d9b7dea1f1949d85b06a0b5c5472d88f0962f8e33c,e0dc6c152dc6ac73baab7a962818f8c2f281541385cc3e090d77ff69265237ef,b99087b7046c45f47ee99c67a9153246df6bd26461940c0821e7e4b52e13cc3b,779368d36dc3e7de7e4bbf3786d138a0a9ad986b382e5f85caa312bd32ee0f38,a9ce92b9fff2dd5be7877aac3f60451e368fbc2e59f9156988ea5525f90f7c6a,9c5270929e1cbd0539d11e804f8d197a76c94afe471b6a947a8b4b2b321c0a35,3c4b8068305b56b0b77babdffadf002b1cebd249d6e656be74834c6da53d8f2a,9040a12631effe4b20dd3e6799ed092ae9542bd86b75293ff1f8bb1ae89fb21b,bf921b719e7aa1a2358fae7d19f2b519b3e3b4d96725d2f21e60d1241a33590f
"","","10001","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1001","1","126501","萊拉耶爾","0"
"","","10001","2","取得最大1000里程","1002","2","105301","莫妮卡","0"
"","","1","3","取得{0}個料理","1003","1","126401","克蘿茜","0"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1","4","重新擲{0}次骰子","1004","3","100501","茉莉","0"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","2","4","重新擲{0}次骰子","1005","2","101301","七七香","0"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1006","2","104301","真琴","0"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1007","3","102701","惠理子","0"
"","追加投擲骰子\n直到數字合計為{0}以上","7","6","追加投擲骰子\n直到數字合計為{0}以上","1008","1","100901","杏奈","0"
"","","10001","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1009","1","105101","深月","0"
"","","10001","2","取得最大1000里程","1010","2","101801","伊緒","0"
"","可以選擇使用骰子的\n正面或背面","0","8","可以選擇使用骰子的\n正面或背面","1011","2","129701","涅妃‧涅羅","0"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1","4","重新擲{0}次骰子","1012","3","101601","鈴奈","0"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","2","4","重新擲{0}次骰子","1013","2","105601","流夏","0"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1014","3","102001","美美","0"
"","追加投擲骰子\n直到數字合計為{0}以上","7","6","追加投擲骰子\n直到數字合計為{0}以上","1015","1","129601","安涅默涅","0"
"","骰子擲出{0}時，可以讓對手休息{1}個回合","1","10","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1016","2","100401","禊","1"
"","骰子擲出{0}時，\n前進+{1}","2","13","骰子擲出{0}時，\n前進+{1}","1017","3","127701","琳德","1"
"","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1","10","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1018","2","127801","烏爾姆","1"
"","","10001","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1019","1","104801","美冬","0"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","2","4","重新擲{0}次骰子","1020","2","104701","純","0"
"","追加投擲骰子\n直到數字合計為{0}以上","7","6","追加投擲骰子\n直到數字合計為{0}以上","1021","1","105001","美咲","0"
"","","10002","2","取得最大2000里程","1022","1","103201","秋乃","0"
"","","1","12","取得{0}張抽獎券","1023","1","130901","庫露露","0"
"","","1","3","取得{0}個料理","1024","1","102501","鈴莓","0"
"","可以選擇使用骰子的\n正面或背面","0","8","可以選擇使用骰子的\n正面或背面","1025","2","100801","雪","0"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1026","2","123301","涅婭","0"
"","","10001","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1027","1","104601","珠希","0"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","2","4","重新擲{0}次骰子","1028","2","118101","蘭法","0"
"","追加投擲骰子\n直到數字合計為{0}以上","7","6","追加投擲骰子\n直到數字合計為{0}以上","1029","1","103401","優花梨","0"
"","","10002","2","取得最大2000里程","1030","1","118001","克蕾琪塔","0"
"","","1","12","取得{0}張抽獎券","1031","1","102801","咲戀","0"
"","","1","3","取得{0}個料理","1032","1","100201","優衣","0"
"","骰子擲出{0}時，\n前進+{1}","1","13","骰子擲出{0}時，\n前進+{1}","1033","3","101201","初音","1"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1","4","重新擲{0}次骰子","1034","3","118201","美空","0"
"","追加投擲骰子\n直到數字合計為{0}以上","7","6","追加投擲骰子\n直到數字合計為{0}以上","1035","1","106101","矛依未","0"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","5","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1036","2","103101","忍","0"
"","","10001","1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","1037","1","103301","真陽","0"
"","","10002","2","取得最大2000里程","1038","1","103601","鏡華","0"
"","","1","12","取得{0}張抽獎券","1039","1","133001","格蕾斯","0"
"","","1","3","取得{0}個料理","1040","1","133101","薇歐莉特","0"
