159fd02e4c34c6f36e3f82045c5676ffedc680ae560fcf254401db855f1f100c,c1a3d02cd40aa616010c04b45d5a15792e7b873680c1aceebbb0f545a81a78a1,1209af35d64d157a22a5e9fa405e0de315fdd7c3866e99dc11fa395ed069a770,5982c98a806d07d43ec9915a7c3cb2d66c272b5a729883aeeb61fe1cddaa9e35,8c9f3cd9c7202d3ac59e273d1ebec750f43a6f0da1c8c489f8780065564fe4f7,d5f276ec87572a409ba38a0c20e0c63491924f7f5465cbf986484ea2ce8936d8,538466449ebff3ad4a66f5349dd9b4dbde9cf219734a6f0b21ca15eb506ff925,7d94ef44dec1f3d0c875a46d97c532184d33d77cf74d5745e435fdbb0ee4caff,423096970a0ad977a74b2bc81da5098a371e186792d963b974eacace2fd2eb1b,cb18be5324935343acb7544aa5b5d775e9aac131e292345be2ae15b066d0540e,22a17f119dfc4082b2f05352389d1ea6fbb7415c887260f8a9508c04612a80fa
"50061","10001","10002","10003","10004","0","0","0","0","0","0"
"50067","10001","10002","10003","10005","0","0","0","0","0","0"
"50079","10001","10002","10003","10005","10006","0","0","0","0","0"
"50084","10001","10002","10003","10005","10006","10007","0","0","0","0"
"50094","10001","10002","10003","10005","10006","10007","10008","0","0","0"
"50108","10001","10002","10003","10005","10006","10007","10008","10009","0","0"
"50116","10001","10002","10003","10005","10006","10007","10008","10009","0","0"
"50119","10001","10002","10003","10005","10006","10007","10008","10009","10010","0"
"50129","10001","10002","10003","10005","10006","10007","10008","10009","10010","0"
"50140","10001","10002","10003","10005","10006","10007","10008","10009","10010","10011"
"50151","10002","10003","10005","10006","10007","10008","10009","10010","10011","10012"
"50162","10009","10010","10011","10012","10013","0","0","0","0","0"
"50172","10010","10011","10012","10013","10014","0","0","0","0","0"
"50183","10011","10012","10013","10014","10015","0","0","0","0","0"
"50190","10013","10014","10015","10007","10005","0","0","0","0","0"
"50195","10012","10013","10014","10015","10016","0","0","0","0","0"
"50200","10014","10015","10016","10003","10002","0","0","0","0","0"
"50217","10013","10014","10015","10016","10017","0","0","0","0","0"
"50231","10015","10016","10017","10010","10009","0","0","0","0","0"
"50237","10014","10015","10016","10017","10018","0","0","0","0","0"
"50248","10019","0","0","0","0","0","0","0","0","0"
"50261","10011","0","0","0","0","0","0","0","0","0"
"50267","10020","0","0","0","0","0","0","0","0","0"
"50278","10021","0","0","0","0","0","0","0","0","0"
"50291","10006","0","0","0","0","0","0","0","0","0"
"50298","10022","0","0","0","0","0","0","0","0","0"
"50309","10023","0","0","0","0","0","0","0","0","0"
"50321","10024","0","0","0","0","0","0","0","0","0"
