4e4b6ef37eca58080b5840a9b1a8967a3a8cbb58f1f3917f86c58613df01794e,9a715126e42febfc429f126a9f27ed92bf7431594f37d497195ab47b00768942,5cecb0397586fd49248870013a2810f5b3b8ab6276dc3fed0e53c5553276119b,9e7dbd50615b3837c3edf66f839edf3e3fdec7192d4d75bb0928ae80c191a77e,b69508998630f454afe1fdd364a1e7d60deaad27f6f50ebf8bf720473681520e,9f10875bc4662d76fe1134517fc1f007c13a03aa4a9393e77ab1962059fa2de4,524a12b2c2e2fe18161f71602ffbe09dbd97a656ba2faa914bffee6dbe928376,9c1d8c6ce1cc83e236c267358feedb5248ef5e1ff42a36d3321e6c7a8b25d360,c786342da12b739c1253dd63647461845c6d8e19eb057aa54df0d29da154a95c,a521ebf01974a590e73f621ff09403f0c792853da8a993c76828442cd5b7c84c,130ea3f2e440ed62f3bf1676ef517aec7f8e556e16d32b026d56e0902cc3e158,7a4dde742c07996251a34f8950aac3458c32fde56b3b9b821f38ab5d05f8d1fe,242f976b4f289e062c73a968efd7024abd53a8c1713dd9845d03ad84393d8424,c7f1f2ccf07a47d3c66b083917d06e1d677b5e0806477079dbec165bf18b19e7,ee2ab7dee31ca2b2faa42bffabc09451d8ead6dfb757aed3ea32a898bf389208,44c9161f8bc306dac412a08929aa53f61e31900559cccdfa7ce1705cbe8d4dcd,62ee437561a0dc2c267dffe388b241bccd607c812153ba6ed44ddc352d452468,f4a0e5e92ef8a3547e1fd28701730052d958cc3d46eb420be7ac67cee4ac73a4
"12","0","94002","0","0","1","0","0","20000","5000","0","0","0","0","分數累積獲得 20000 分","0","0","0"
"12","0","94002","0","0","2","0","0","40000","10000","0","0","0","0","分數累積獲得 40000 分","0","0","0"
"12","0","94002","0","0","3","0","0","60000","15000","0","0","0","0","分數累積獲得 60000 分","0","0","0"
"12","0","94002","0","0","4","0","0","80000","20000","0","0","0","0","分數累積獲得 80000 分","0","0","0"
"8","0","91002","5","0","5","0","0","100000","50","0","2","0","0","分數累積獲得 100000 分","0","23001","0"
"12","0","94002","0","0","6","0","0","120000","25000","0","0","0","0","分數累積獲得 120000 分","0","0","0"
"12","0","94002","0","0","7","0","0","140000","30000","0","0","0","0","分數累積獲得 140000 分","0","0","0"
"12","0","94002","0","0","8","0","0","160000","35000","0","0","0","0","分數累積獲得 160000 分","0","0","0"
"12","0","94002","0","0","9","0","0","180000","40000","0","0","0","0","分數累積獲得 180000 分","0","0","0"
"8","0","91002","5","0","10","0","0","200000","50","0","2","0","0","分數累積獲得 200000 分","0","23001","0"
"12","0","94002","0","0","11","0","0","220000","55000","0","0","0","0","分數累積獲得 220000 分","0","0","0"
"12","0","94002","0","0","12","0","0","240000","35000","0","0","0","0","分數累積獲得 240000 分","0","0","0"
"12","0","94002","0","0","13","0","0","260000","40000","0","0","0","0","分數累積獲得 260000 分","0","0","0"
"12","0","94002","0","0","14","0","0","280000","45000","0","0","0","0","分數累積獲得 280000 分","0","0","0"
"15","0","11001021","150","10","15","0","23001","300000","1","2","8","0","0","分數累積獲得 300000 分","0","91002","0"
