db1932fcadb93957e6afe018f38bd36fc2b53b51bf1cd5c921fa5803b82b1704,ca17f3dc64aaf0b6298b5a93930f504589cb5b1d3156b16e773d2c0025f6919b,826ee95fa92c1f811c9740f4aa6f50bd193ee4c215bd778f1cd0e9a0a3634b47,3e6a081f9ac6d3877309d3b2ecd54ce4540d1a21ded2cb8b211b5eddddf3682b,875ac65aaa37011d83aeebce74d0f358be986aa543b9dc10e36eb32c53236507
"1","0","0","0","0"
"2","0","0","0","0"
"3","0","0","0","0"
"4","0","2","0","0"
"5","0","2","0","0"
"6","0","2","0","0"
"7","0","3","0","0"
"8","0","3","0","0"
"9","0","3","0","0"
"10","0","4","0","0"
"11","0","4","0","0"
"12","0","4","0","0"
"13","0","0","0","0"
"14","0","0","0","0"
"15","0","0","0","0"
"16","0","0","0","2"
"17","0","0","0","2"
"18","0","0","0","2"
"19","0","0","0","3"
"20","0","0","0","3"
"21","0","0","0","3"
"22","0","3","0","0"
"23","0","3","0","0"
"24","0","2","0","0"
"25","0","2","0","0"
"26","0","0","0","2"
"27","0","0","0","2"
"28","3","2","0","0"
"29","3","2","0","0"
"30","0","3","0","2"
"31","0","3","0","2"
"32","0","3","0","3"
"33","0","0","0","3"
"34","4","3","0","0"
"35","0","0","0","0"
"36","0","2","0","2"
"37","0","2","0","2"
"38","0","4","0","3"
