ae846b222cbd07c2e6cca66c827071bd7a4c9de8241fcdde6020a9f0fc8fb131,5db512b59189972a138371bbae0fce2ba35a3aec4b283d96a02183f0282e961e,9cb21c51c992d502eae0e620d7d99f05594f078b087d1fb31005a17cd97789ef,491d2cefef61f9763f150b267eff0a7cd63d3f520d8d2417f33544389fa74852,50fb73f03914055348a3e195905eb233a2f1e363800d83f4c3ddcb0fb701b756,b571849cc8696021f5a1c7701326ae5d98a4eb71e290cc0d8324e4ff541d90ff,b8c38898c6ed34460e3cce37c74b80e3cbaeed29766a8612119f46164358442d,319bd3979bdf562b2df6f975087e951008c72377b297dcd3c7f91bc30aa7d7fa,c1c02b242056fe3a6e7a2473103deb0c1bc4f56580c323db512d9d3fb7902e86,eecabca0301c7b17d7f3ab6524e9525de22d00d3fa7526f470e38e687c4cb230,69ca6a9a1d47ed0a3d4caabb6a9951d4925e2dcbe8f07934120ea7fd8056196b
"110311","5152061","1","61001","1","-280","110","idle_normal","1","382","1.55"
"131911","5152061","0","61002","1","-210","106","idle_normal","1","145","1.55"
"102311","5152061","0","61003","1","-225","107","joy_idle_normal","1","-50","1.55"
"102111","5152061","0","61004","1","-240","108","wish_idle","1","-245","1.55"
"107711","5152061","0","61005","1","-255","109","idle_normal","1","-440","1.55"
"122811","5152061","0","61006","1","-105","103","doya_idle","1","40","1.45"
"122911","5152061","0","61007","1","-120","104","idle_normal","1","-160","1.45"
"122711","5152061","0","61008","1","-135","105","idle_normal","1","-355","1.45"
"210","5152061","","61009","13","","","","110311","",""
"206","5152061","","61010","13","","","","131911","",""
"209","5152061","","61011","13","","","","107711","",""
"205","5152061","","61012","13","","","","122711","",""
"203","5152061","","61013","13","","","","122811","",""
"204","5152061","","61014","13","","","","122911","",""
"208","5152061","","61015","13","","","","102111","",""
"207","5152061","","61016","13","","","","102311","",""
"2","5152061","0","61017","5","160","210","empty","2","-110","0.75"
"3","5152061","0","61018","5","-45","210","empty","3","352","1"
"1","5152061","","61019","31","1","0","","1","0","1"
"2","5152061","","61020","31","1","0","","2","0","0"
"3","5152061","","61021","31","1","0","","3","0","1"
"11","5152061","","61022","31","1","0","","11","0","0"
"0","5152061","","61023","91","","","","0","",""
"telop_1","5152061","","61024","37","","","","3","",""
"0","5152061","","61025","102","","0","","0","",""
