a8ab2cd98a096948b56a97d3527e4c2fc261b7a8cddd70b25344bc9505a60aae,045746f25841903b284fbc59cdcc0c250a3754cd45689a1dd5d71fa4df4e399b,e07d49dd6fd0abd0565d178006278cf1480d3849e4fbb7a3812ef8a8078863c3,a228e85ae803a90e4d36a51562404d3227c96d925d059d1e09c5919c348f7719,0d4a26e36df94fb43e7222259fd9f9a609f2d14ce38abf7fa1c26bf5005c1e58,9e1bdf5a709479ab3620521540d241858b018f39320adf698bf0d93e538dc550,a44a5d99da835a48f0919800542df4069159dfed20fdf1a32ce4b5bad035b609
"1","1","2","3","105","105","105"
"2","1","2","3","105","120","120"
"3","1","2","3","100","120","100"
"4","1","2","3","105","120","120"
"5","1","2","3","105","120","105"
"6","1","2","3","100","105","100"
"7","1","2","3","120","105","100"
"8","1","2","3","100","105","100"
"9","1","2","3","105","120","120"
"10","1","2","3","120","105","100"
"11","1","2","3","100","100","105"
"12","1","2","3","105","120","120"
"13","1","2","3","105","105","105"
"14","1","2","3","105","105","120"
"15","1","2","3","120","120","120"
"16","1","2","3","100","100","100"
"17","1","2","3","120","120","105"
"18","1","2","3","120","105","120"
"19","1","2","3","105","100","105"
"20","1","2","3","100","105","105"
"21","1","2","3","100","100","105"
"22","1","2","3","120","120","120"
"23","1","2","3","105","100","100"
"24","1","2","3","120","120","120"
"25","1","2","3","105","120","105"
"26","1","2","3","100","100","100"
"27","1","2","3","100","100","100"
"28","1","2","3","100","100","100"
"29","1","2","3","120","120","120"
"30","1","2","3","105","105","120"
