2aa514843d840ba6809bc2104769d024c97682ca19262d53af08eb2d89a24174,63e435edecb2f2e2809ff146156acd4972aaae43844ff419500433a7ca118240,6262d7a700e5b919c7f197e2f7ac90a5a381e832abf7158ec968ef7d9ed2be72,9dba6fd7188c3254d12ac06bdfc92155e686a885f877f3ee3d8c694ae9784eac,c10e88c3aa18ca2968cb5541b5b3eaeda386fd8df314d2da40fb0b8dccdce960,ecf0c47060b11a623335858471ddf113df1f5a5c2a5efcfc618ad2eeb4399500,a5e9260f151d43af54e7db90971f497271ff049d96f44120c5303c2f286efadf,a79130d40f4e383cb1611c02a543a770c6046f51c6e1fa3a23513b82c16d13e8
"170","-401","1","1","1","71","-90","182"
"170","-401","1","2","2","81","-90","182"
"255","-255","1","3","3","121","90","182"
"255","-255","1","4","4","131","90","182"
"255","-255","1","5","5","141","90","182"
"229","-107","1","6","6","191","-80","176"
"229","-107","1","7","7","201","-80","176"
"218","136","1","8","8","271","-85","151"
"218","136","1","9","9","281","-85","151"
"218","136","1","10","10","291","-85","151"
"156","280","1","11","11","331","80","219"
"156","280","1","12","12","341","80","219"
"156","280","1","13","13","351","80","219"
"213","417","1","14","14","401","-97","183"
"213","417","1","15","15","411","-97","183"
"242","-259","2","2","1","451","-73","229"
"226","-222","2","4","2","481","124","179"
"219","-101","2","6","3","501","-67","192"
"168","-26","2","8","4","521","-27","190"
"192","117","2","11","5","551","-50","260"
"159","241","2","14","6","601","120","138"
"159","241","2","14","7","611","120","138"
"224","243","2","14","8","621","-71","229"
"71","-353","3","1","1","781","32","43"
"235","-228","3","2","2","801","-30","268"
"80","-243","3","3","3","831","144","45"
"221","20","3","4","4","851","-76","225"
"211","230","3","5","5","861","-74","222"
"115","-100","3","6","6","891","44","136"
"115","-100","3","7","7","901","44","136"
"306","116","3","8","8","991","76","250"
"306","116","3","9","9","1001","76","250"
"306","116","3","10","10","1011","76","250"
"96","322","3","11","11","1041","40","188"
"96","322","3","12","12","1051","40","188"
"294","-211","4","1","1","1091","-6","272"
"92","-288","4","2","2","1101","129","115"
"92","-288","4","3","3","1111","129","115"
"135","-58","4","4","4","1121","128","174"
"222","143","4","5","5","1151","133","184"
"134","-277","4","6","6","1161","-129","98"
"134","-277","4","7","7","1171","-129","98"
"67","-60","4","8","8","1211","-12","70"
"67","-60","4","9","9","1221","-12","70"
"132","116","4","10","10","1231","-55","185"
"93","-17","4","11","11","1261","-103","89"
"93","-17","4","12","12","1271","-103","89"
"150","232","4","13","13","1311","23","239"
"114","-289","5","1","1","1391","-161","72"
"114","-289","5","2","2","1401","-161","72"
"228","-261","5","3","3","1411","80","248"
"223","-103","5","4","4","1431","-91","211"
"186","-87","5","5","5","1471","95","181"
"132","69","5","6","6","1551","-122","176"
"132","69","5","7","7","1561","-122","176"
"143","54","5","8","8","1611","91","184"
"211","204","5","9","9","1641","45","247"
"137","308","5","10","10","1651","141","167"
"175","282","5","11","11","1661","-46","174"
"222","-252","6","1","1","1741","-11","240"
"311","-19","6","2","2","1761","-96","245"
"261","-46","6","3","3","1771","95","221"
"166","152","6","4","4","1781","83","237"
"183","227","6","5","5","1782","-100","229"
"223","-249","7","1","1","1811","-46","183"
"337","-159","7","2","2","1881","54","247"
"202","30","7","3","3","1921","-70","191"
"176","173","7","4","4","1941","0","215"
"204","292","7","5","5","1981","77","236"
"209","-472","8","1","1","2001","89","254"
"250","-375","8","2","2","2031","-77","282"
"241","-280","8","3","3","2051","110","223"
"243","-148","8","4","4","2101","-85","270"
"274","3","8","5","5","2131","74","264"
"321","155","8","6","6","2171","-36","302"
"199","283","8","7","7","2201","82","277"
"349","374","8","8","8","2271","0","344"
"240","-275","9","1","1","2321","-30","301"
"106","-132","9","2","2","2361","-115","108"
"106","-132","9","3","3","2371","-115","108"
"202","-73","9","4","4","2381","32","246"
"114","-43","9","5","5","2411","-140","84"
"114","-43","9","6","6","2421","-140","84"
"86","50","9","8","7","2461","65","84"
"86","50","9","9","8","2471","65","84"
"185","80","9","10","9","2481","-110","137"
"185","80","9","11","10","2491","-110","137"
"301","131","9","7","11","2521","24","377"
"190","280","9","12","12","2531","-50","305"
"123","-527","10","3","1","2601","-137","145"
"123","-527","10","4","2","2611","-137","145"
"408","-379","10","1","3","2621","35","295"
"171","-299","10","2","4","2622","103","192"
"342","-138","10","6","5","2623","-64","244"
"224","-47","10","5","6","2701","9","254"
"253","131","10","8","7","2781","-88","204"
"110","89","10","9","8","2791","23","139"
"110","89","10","10","9","2801","23","139"
"292","275","10","7","10","2811","42","249"
"126","274","10","11","11","2821","-120","151"
"126","274","10","12","12","2831","-120","151"
"276","448","10","13","13","2841","-17","316"
"158","-292","11","1","1","2901","-87","203"
"256","-224","11","2","2","3011","123","187"
"144","-65","11","3","3","3031","-80","225"
"149","80","11","4","4","3111","-84","214"
"201","227","11","5","5","3131","112","194"
"161","159","11","6","6","3141","-111","111"
"161","159","11","7","7","3151","-111","111"
"166","307","11","8","8","3171","-80","209"
"364","-185","12","3","1","3211","-106","206"
"160","-304","12","1","2","3221","34","277"
"249","-107","12","2","3","3231","45","275"
"167","31","12","5","4","3321","-46","233"
"174","135","12","7","5","3381","-122","130"
"174","135","12","8","6","3391","-122","130"
"244","127","12","4","7","3431","101","223"
"235","254","12","6","8","3441","-24","246"
"167","303","12","9","9","3461","-114","156"
"167","303","12","10","10","3471","-114","156"
"108","338","12","11","11","3491","152","94"
"108","338","12","12","12","3501","152","94"
"210","-286","13","3","1","3531","-48","270"
"92","-310","13","2","2","3541","144","103"
"228","-152","13","3","3","3551","-90","219"
"94","-148","13","4","4","3561","99","103"
"110","-12","13","5","5","3571","-157","71"
"209","-5","13","1","6","3581","-2","274"
"219","141","13","6","7","3691","-72","292"
"88","146","13","7","8","3701","143","104"
"160","299","13","8","9","3741","131","135"
"160","299","13","9","10","3751","131","135"
"179","301","13","10","11","3791","-82","268"
"197","-470","14","2","1","3801","6","286"
"134","-520","14","3","2","3811","-123","89"
"204","-369","14","1","3","3821","103","236"
"176","-283","14","5","4","3861","-74","241"
"156","-151","14","6","5","3891","-83","236"
"219","-174","14","4","6","3911","108","226"
"107","-51","14","10","7","3921","-130","96"
"179","-5","14","9","8","3931","50","251"
"113","100","14","11","9","3941","-106","102"
"242","268","14","12","10","3951","-41","317"
"209","138","14","7","11","3961","79","240"
"209","138","14","8","12","3971","79","240"
"125","441","14","14","13","4021","-125","93"
"219","485","14","13","14","4031","22","279"
