4aff934efc3ad78d954ecb3202a5713a880a32bc13ac9be14ed8a31f4772ef5e,2709a52df6e8d3e9ba86925e13c9b79500ebcb35567084521bdfccfff5c44c2c,4213d1409b0a7af6765c15c3b44e0ff2c7ee389ebdb3746c4ac98e2123a94a3d,aac1e141f2a9ef96427751e6ef6f80eee9b69cb6b841b2cacb5b6e5ba34cb826,d71c27cbf1117109e2137b5f5c5ba0b626c6b884373c39f8a55cf9edc8e85b17,f168a066befcda51d17810d622766ef6219fd1859275cf32d31630386b1356d2,cea0926a786f2091e0e51e7bebd9d2e513eacfec138d01b16c8fa32afa39246e,7f99ddb5215877ab92988507e09d6412f5ae87cbd614e8a28146980286ccee9a,0e35cc306a5d35dfd0069f4266a2d2610a661979b14cd44a6b0ef878e58d2f4e,02bdd49d35c24f45d5996868dcc81b80510fb6b6af2354e47cc806e35373c1b7,9b3780bac6b544390a9d3bc777fbf358f5b78efdb11d777a3dd8047934139b9e,23aab60303714fbd76d5c51b72619fbec036ad724361311a1ee43a5d07ca6ce1,ae9456939681be0637818e1f77d72abda95922aa583215ffdbc984d1445fe59f,bb03bcf2a2817884bd394148cd249fb0f6cf6b4c620301ab989709f5bb572f98,cc594f71899d3d62e165435bba43d90dae448bc20bc8210e9646f0d05a3f3708,791bcf2b5011cdd0efec60ae9559306df95c608d205b9c770ce4ea0f90a8a49f
"12","1001001","8","94002","500000","25011","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001002","8","94002","500000","25012","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001003","8","94002","500000","25013","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001004","8","94002","500000","25014","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001005","8","94002","500000","25015","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001006","8","94002","500000","25011","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001007","8","94002","500000","25012","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001008","8","94002","500000","25013","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001009","8","94002","500000","25014","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001010","8","94002","500000","25015","10","2","2","400","10","200","2","91002","90008","25001"
"12","1001011","8","94002","500000","25011","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001012","8","94002","500000","25012","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001013","8","94002","500000","25013","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001014","8","94002","500000","25014","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001015","8","94002","500000","25015","50","2","2","400","10","200","2","91002","90008","25021"
"12","1001016","8","94002","500000","0","50","0","2","0","10","200","2","91002","90008","25021"
