877d8a99f14eafd688f443657c2a92b1fa2ebe32df9cc0a37e37ed3ec05f40f4,2f7a35702dcb414ba3e2c5f10a15edab4ee45c0fd59367f72fda177441d61f21,f98fc50eacd5d96127a7996327cb12bc0632175adad864865fe60c26fe0d1c76,fdfd144245df34179baa824d4737fb725c78de22bc14a5f7e3b367da8cc5e8b6,712f86db4556b13d668dbfa1d786467cdd181861b3b92ff6ccf1ca17fb098ea4,8a21e521a086d43531c80509f3a5e9186e557ecf772d7f1311884abbab1f2c4d,939d6c55f197a6cc06f2dd4b3ff239d1847059344c9be5e0107f2810879a94d0,fefe76352243e6476d22f942629289c0fbb36d9aeb69de130d5dfb15f6fa4ab4,daea4f2386bcde4c1288ecbf0f415d35f67a24e4f1327b0cc4ec40307ab126f2
"5","1","10001","22","8","-1","6","7","53003"
"5","1","10002","22","4","-1","6","7","53002"
"4","1","10101","22","6","5","5","6","53003"
"4","1","10102","22","5","5","5","6","53002"
"3","1","10201","22","5","4","4","5","53003"
"3","1","10202","22","5","4","4","5","53002"
"3","1","10301","22","4","3","3","4","53003"
"3","1","10302","22","3","3","3","4","53002"
"2","1","10401","22","3","2","2","3","53003"
"2","1","10402","22","2","2","2","3","53002"
"1","1","10501","22","2","1","1","2","53003"
"1","1","10502","22","1","1","1","2","53002"
"1","1","10601","22","2","0","0","1","53002"
"5","2","10701","22","8","-1","6","7","53003"
"5","2","10702","22","4","-1","6","7","53002"
"4","2","10801","22","6","5","5","6","53003"
"4","2","10802","22","5","5","5","6","53002"
"3","2","10901","22","5","4","4","5","53003"
"3","2","10902","22","5","4","4","5","53002"
"3","2","11001","22","4","3","3","4","53003"
"3","2","11002","22","3","3","3","4","53002"
"2","2","11101","22","3","2","2","3","53003"
"2","2","11102","22","2","2","2","3","53002"
"1","2","11201","22","2","1","1","2","53003"
"1","2","11202","22","1","1","1","2","53002"
"1","2","11301","22","2","0","0","1","53002"
"5","3","11401","22","8","-1","6","7","53003"
"5","3","11402","22","4","-1","6","7","53002"
"4","3","11501","22","6","5","5","6","53003"
"4","3","11502","22","5","5","5","6","53002"
"3","3","11601","22","5","4","4","5","53003"
"3","3","11602","22","5","4","4","5","53002"
"3","3","11701","22","4","3","3","4","53003"
"3","3","11702","22","3","3","3","4","53002"
"2","3","11801","22","3","2","2","3","53003"
"2","3","11802","22","2","2","2","3","53002"
"1","3","11901","22","2","1","1","2","53003"
"1","3","11902","22","1","1","1","2","53002"
"1","3","12001","22","2","0","0","1","53002"
"5","4","12101","22","8","-1","6","7","53003"
"5","4","12102","22","4","-1","6","7","53002"
"4","4","12201","22","6","5","5","6","53003"
"4","4","12202","22","5","5","5","6","53002"
"3","4","12301","22","5","4","4","5","53003"
"3","4","12302","22","5","4","4","5","53002"
"3","4","12401","22","4","3","3","4","53003"
"3","4","12402","22","3","3","3","4","53002"
"2","4","12501","22","3","2","2","3","53003"
"2","4","12502","22","2","2","2","3","53002"
"1","4","12601","22","2","1","1","2","53003"
"1","4","12602","22","1","1","1","2","53002"
"1","4","12701","22","2","0","0","1","53002"
"5","5","12801","22","8","-1","6","7","53003"
"5","5","12802","22","4","-1","6","7","53002"
"4","5","12901","22","6","5","5","6","53003"
"4","5","12902","22","5","5","5","6","53002"
"3","5","13001","22","5","4","4","5","53003"
"3","5","13002","22","5","4","4","5","53002"
"3","5","13101","22","4","3","3","4","53003"
"3","5","13102","22","3","3","3","4","53002"
"2","5","13201","22","3","2","2","3","53003"
"2","5","13202","22","2","2","2","3","53002"
"1","5","13301","22","2","1","1","2","53003"
"1","5","13302","22","1","1","1","2","53002"
"1","5","13401","22","2","0","0","1","53002"
"5","6","13501","22","8","-1","6","7","53003"
"5","6","13502","22","4","-1","6","7","53002"
"4","6","13601","22","6","5","5","6","53003"
"4","6","13702","22","5","5","5","6","53002"
"3","6","13801","22","5","4","4","5","53003"
"3","6","13902","22","5","4","4","5","53002"
"3","6","14001","22","4","3","3","4","53003"
"3","6","14002","22","3","3","3","4","53002"
"2","6","14101","22","3","2","2","3","53003"
"2","6","14102","22","2","2","2","3","53002"
"1","6","14201","22","2","1","1","2","53003"
"1","6","14202","22","1","1","1","2","53002"
"1","6","14301","22","2","0","0","1","53002"
"5","7","14401","22","8","-1","6","7","53003"
"5","7","14402","22","4","-1","6","7","53002"
"4","7","14501","22","6","5","5","6","53003"
"4","7","14502","22","5","5","5","6","53002"
"3","7","14601","22","5","4","4","5","53003"
"3","7","14701","22","5","4","4","5","53002"
"3","7","14801","22","4","3","3","4","53003"
"3","7","14802","22","3","3","3","4","53002"
"2","7","14901","22","3","2","2","3","53003"
"2","7","14902","22","2","2","2","3","53002"
"1","7","15001","22","2","1","1","2","53003"
"1","7","15002","22","1","1","1","2","53002"
"1","7","15101","22","2","0","0","1","53002"
"5","8","15201","22","8","-1","6","7","53003"
"5","8","15202","22","4","-1","6","7","53002"
"4","8","15301","22","6","5","5","6","53003"
"4","8","15302","22","5","5","5","6","53002"
"3","8","15401","22","5","4","4","5","53003"
"3","8","15402","22","5","4","4","5","53002"
"3","8","15501","22","4","3","3","4","53003"
"3","8","15502","22","3","3","3","4","53002"
"2","8","15601","22","3","2","2","3","53003"
"2","8","15602","22","2","2","2","3","53002"
"1","8","15701","22","2","1","1","2","53003"
"1","8","15702","22","1","1","1","2","53002"
"1","8","15901","22","2","0","0","1","53002"
