9bd4f1730fdaa08980990ab97cf1d01407aa1a12dfe76bc8b049674b4215d2c7,80251b073b8c2e0927283a9a3a1b29782667aeade3c0f83c4159fb9c312c0336,7f123b6ad968ce9bc50d7488952afdb880f292eb6560795026587ba768823fc9,0369ea0e9dab59823d211601a0b2001999e35744c14b54895d62be6f5f9e8124,f8800210b1bbf68950c344485881c9cc5a1b81488900ecea24260ff37bd1c11d,30ab9c4db48aa48c62455de6b6382306885979bfa2218e91e197537999621105,5c659bd773993cf3d819a17e7ebc832b492fab511386b1de51e59b16c0103eae,c6731fa300ead48e2aaabef576edb3f09bfd6818a88e0a5865bb1503e0a35ed9,29a5d732cc035abe2e09ce781690f020fb10e679ed599f4b9f6e1efb1658388d,7ab75dedb27811f988eef62371dd56288901e36d2b88b300f499aae240126fb4,5c96ec7fe8e1c8220e17058897bc0c2fa5cd0d91f23109b38d5b01a19b30aa1a
"1.7","1","1001","100","psy_miyako_idle","0","-220","1","119931","-200","1"
"1.7","5","1002","100","psy_idle_normal","1","-220","1","1","1000","1"
"1.7","5","1003","105","psy_fairy_idle","0","-220","1","2","-50","1"
"1","31","1004","0","","","1","1","11","0","1"
"0.2","3","1005","1","","","","1","psy_item00_run","","1"
"","2","1006","-220","","","0","1","285","2.5","1"
"","93","1007","","","","","1","","","2.5"
"0.2","3","1008","1","","","","1","psy_item00_idle","","1"
"","93","1009","","","","","1","","","0.5"
"0.2","3","1010","1","","","","1","psy_miyako_talk1","","119931"
"","21","1011","0","","","","1","vo_minigame_1008_drama_0101","0","vo_minigame_1008"
"0","11","1012","5","0.5","0","0","1","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","1","119931"
"","93","1013","","","","","1","1","","6"
"0.2","3","1014","0","","0.2","1","1","psy_miyako_doya_in","psy_miyako_doya_loop","119931"
"","91","1015","","","","","1","","","1012"
"","22","1016","","","","","1","0","","0"
"0.2","3","1017","1","","","","1","psy_fairy_talk","","2"
"","21","1018","0","","","","1","vo_minigame_1008_drama_9901","0","vo_minigame_1008"
"0","11","1019","3","0.5","0","0","1","啾啾！","1","2"
"","91","1020","","","","","1","","","0"
"0.2","3","1021","1","","","","1","psy_fairy_idle","","2"
"0.2","3","1022","1","","","","1","psy_miyako_talk2","","119931"
"","21","1023","0","","","","1","vo_minigame_1008_drama_0102","0","vo_minigame_1008"
"0","11","1024","3","0.5","0","0","1","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","1","119931"
"","93","1025","","","","","1","1","","2"
"0.2","3","1026","1","","","","1","psy_miyako_talk_joy2","","119931"
"","91","1027","","","","","1","","","1024"
"","22","1028","","","","","1","0","","0"
"0.2","3","1029","1","","","","1","psy_miyako_idle","","119931"
"","4","1030","","","","","1","1","","2"
"0.2","3","1031","0","","0","1","1","psy_fairy_run_in","psy_fairy_run","2"
"","93","1032","","","","","1","","","1.3"
"","2","1033","-220","","","0","1","1000","1","2"
"","93","1034","","","","","1","","","2"
"0.2","3","1035","0","","0.2","1","1","psy_miyako_doya_in","psy_miyako_doya_loop","119931"
"","21","1036","0","","","","1","vo_minigame_1008_drama_0103","0","vo_minigame_1008"
"0","11","1037","4","0.5","0","0","1","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","1","119931"
"","91","1038","","","","","1","","","0"
"","22","1039","","","","","1","0","","0"
"0","12","1040","1","0","0","0","1","11","0","1"
"0.2","3","1041","0","","0.2","1","1","psy_item00_talk_guts","psy_item00_idle_guts","1"
"","93","1042","","","","","1","","","2"
"0.2","3","1043","1","","","","1","psy_miyako_talk_joy2","","119931"
"","21","1044","0","","","","1","vo_minigame_1008_drama_0104","0","vo_minigame_1008"
"0","11","1045","4","0.5","0","0","1","把所有人都\n變成好吃的布丁喲～♪","1","119931"
"","93","1046","","","","","1","1","","4"
"0.2","3","1047","0","","0.2","1","1","psy_miyako_fight_in","psy_miyako_fight_loop","119931"
"0.2","3","1048","0","","0.2","1","1","psy_item00_handsup","psy_item00_handsup_loop","1"
"","93","1049","","","","","1","","","1.5"
"","91","1050","","","","","1","","","1045"
"","22","1051","","","","","1","0","","0"
"1.7","1","2001","100","psy_miyako_start","0","-200","2","119931","-300","1"
"1.7","1","2002","100","psy_walk","1","-220","2","106011","300","1"
"1","31","2003","0","","","1","2","11","0","1"
"1.7","5","2004","101","psy_smoke_start","0","-200","2","1","-300","1"
"","2","2005","-220","","","0","2","185","2","106011"
"","93","2006","","","","","2","","","2"
"0.2","3","2007","0","","0","1","2","psy_kyaru_talk_arm_crossed","psy_kyaru_talk_arm_crossed_loop","106011"
"","21","2008","0","","","","2","vo_minigame_1008_drama_0305","0","vo_minigame_1008"
"0","11","2009","5","0.5","0","0","2","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……","1","106011"
"","91","2010","","","","","2","","","0"
"","21","2011","0","","","","2","vo_minigame_1008_drama_0306","0","vo_minigame_1008"
"0.2","3","2012","1","","","","2","psy_talk_sad","","106011"
"0","11","2013","7","0.5","0","0","2","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。","1","106011"
"","93","2014","","","","","2","1","","4"
"0.2","3","2015","1","","","","2","psy_talk_sad","","106011"
"","91","2016","","","","","2","","","2013"
"0.2","3","2017","1","","","","2","psy_idle_sad","","106011"
"0.2","3","2018","0","","0.2","1","2","psy_miyako_appear","psy_miyako_thinking4","119931"
"0","3","2019","0","","0","0","2","psy_smoke_appear","psy_smoke_start","1"
"","21","2020","0","","","","2","vo_minigame_1008_drama_0301","0","vo_minigame_1008"
"0","11","2021","4","1","0","0","2","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……","1","119931"
"","93","2022","","","","","2","1","","1"
