01317295b50911c53c300f6013a4301385cc3e0aab09897f38075a1ef6452b8f,c01b2aa8b902837233b9fb4cf5a9cbe530fc0824b74af4b1145f247ff2bd068f,1a56a509be95c60c2edd9eeb76a5eea868e47c97160cda930afe5ce17fc5e062,66493909bbee1a87b31027a6446815707fc9aec5afb16828d7f286fbbc473a6d,705424e630ad3e30ce77d7615e132648d580fa4fcae5eb4e06ede70964c8e817,c68323b49fd3396687cc12eb3f24109e6b87b5435493c829d72a35cc84c36f2f,4589895bd26382f63a209475deae6ccc61caa37fb7f944715ac93f70d0117d76,467b6cb4737f372778e06f87892ac2ba6d1e86ebec469e79d4e4fe1e92b266d8,5b5d396d427960f62d6b5242a6d9803b43207d7488956709825c971b9a509731
"1","1010","7008","32000101","1","32000101","所有玩家合力打倒100,000次蠻賊三姊妹","100000","1002"
"1","1010","7008","32000102","2","32000102","所有玩家合力打倒150,000次蠻賊三姊妹","150000","1002"
"1","1010","7008","32000103","3","32000103","所有玩家合力打倒200,000次蠻賊三姊妹","200000","1002"
"1","1010","7008","32000104","4","32000104","所有玩家合力打倒100,000次芙蕾雅","100000","1003"
"1","1010","7008","32000105","5","32000105","所有玩家合力打倒150,000次芙蕾雅","150000","1003"
"1","1010","7008","32000106","6","32000106","所有玩家合力打倒200,000次芙蕾雅","200000","1003"
"0","1010","7008","32000107","7","32000107","所有玩家合力打倒200,000次阿剌克涅","200000","1004"
"0","1010","7008","32000108","8","32000108","所有玩家合力打倒300,000次阿剌克涅","300000","1004"
"0","1010","7008","32000109","9","32000109","所有玩家合力打倒400,000次阿剌克涅","400000","1004"
"1","1009","7007","32000110","10","32000110","挑戰1次成群的寶石蜘蛛","1","1001"
"1","1009","7007","32000111","11","32000111","打倒1次蠻賊三姊妹","1","1002"
"1","1009","7007","32000112","12","32000112","打倒1次芙蕾雅","1","1003"
"0","1009","7007","32000113","13","32000113","打倒1次阿剌克涅","1","1004"
