3fbe86707b929f95bbbbe93381209982ac6d569c15e5c2a3bf5a8edd9aa8e760,07ec3abadf3618991602ed88bd41feef7625b28a7da3fd74e2ca815bfa252628,ed10542e1dfb800aaf46b99da22a2a24a190f87aa67d0e9f096b751782f0f4df,87813031bf537cb7c3b16c88529740e4f4f517397acd26b3890663ef21139a59,46bd416e99c19ca231bb61370e821c2427f392b2466eedde1df8ab1f3f740180,059bee1a4f6152af4189d25a195e69199aaff4ffa5b6eb3c966fe05792754402,1cec244565f3d6cf0715de57bb89d20ec54f9b6b32e50fd9bdf49cacae6b3301,47f403fdd3f6ef640601fd35437757e2b8a6cd6bd9ebe364d0714413848fbfce,eb49dfa013bb84d576f8a45cd1b6f8ed0f186398909354a2d2fe6b12d2742e5f,580b879765410010c0abccd59322ec7b2a83009ffdb4ccb8e5c4627e0e57eaa6,fdf2e743442a510813ec9975029b8f9cdab68b82b1566720c7951c7c0127f2b6
"se_travel_start_1pt","se_travel","111","","","","101110001","0","","23",""
"10010","10010","111","1","0","","101110002","0","","31","1"
"10011","10011","111","1","0","","101110003","0","","31","1"
"10020","10020","111","0","0","","101110004","0","","31","1"
"1001001","2","111","0.68","-150","<weapon>_idle","101110005","62","0","1","-150"
"1001002","2","111","0.68","-250","<weapon>_idle","101110006","61","0","1","-75"
"1001003","2","111","0.68","-350","<weapon>_idle","101110007","63","0","1","-180"
"1001004","2","111","0.68","-450","<weapon>_idle","101110008","61","0","1","-75"
"1001005","2","111","0.68","-550","<weapon>_idle","101110009","62","0","1","-150"
"1001001","10012","111","1","-150","","101110010","-150","0","31","0.68"
"1001002","10012","111","1","-75","","101110011","-250","0","31","0.68"
"1001003","10012","111","1","-180","","101110012","-350","0","31","0.68"
"1001004","10012","111","1","-75","","101110013","-450","0","31","0.68"
"1001005","10012","111","1","-150","","101110014","-550","0","31","0.68"
"10030","10030","111","0","0","","101110015","0","","31","1"
"10031","10031","111","0","0","","101110016","0","","31","1"
"0","","111","","","","101110017","","","91",""
"1","10030","111","","","","101110018","","","32",""
"0","0","111","","","","101110019","","","91",""
"<weapon>_run","1001001","111","0","","","101110020","1","","3","0"
"<weapon>_run","1001002","111","0","","","101110021","1","","3","0"
"<weapon>_run","1001003","111","0","","","101110022","1","","3","0"
"<weapon>_run","1001004","111","0","","","101110023","1","","3","0"
"<weapon>_run","1001005","111","0","","","101110024","1","","3","0"
"800","1001001","111","","3","","101110025","-150","","2","0"
"700","1001002","111","","3","","101110026","-75","","2","0"
"600","1001003","111","","3","","101110027","-180","","2","0"
"500","1001004","111","","3","","101110028","-75","","2","0"
"400","1001005","111","","3","","101110029","-150","","2","0"
"800","1001001","111","","3","","101110030","-150","","33","0"
"700","1001002","111","","3","","101110031","-75","","33","0"
"600","1001003","111","","3","","101110032","-180","","33","0"
"500","1001004","111","","3","","101110033","-75","","33","0"
"400","1001005","111","","3","","101110034","-150","","33","0"
"1","10020","111","","","","101110035","","","32",""
"0","2.5","111","","","","101110036","","","93",""
"1","10031","111","","","","101110037","","","32",""
"0","0.4","111","","","","101110038","","","93",""
"0","0","111","","","","101110039","","","91",""
"se_travel_start_2pt","se_travel","211","","","","102110001","0","","23",""
"10010","10010","211","1","0","","102110002","0","","31","1"
"10011","10011","211","1","0","","102110003","0","","31","1"
"10020","10020","211","0","0","","102110004","0","","31","1"
"1001001","2","211","0.68","-100","<weapon>_idle","102110005","62","0","1","-90"
"1001002","2","211","0.68","-170","<weapon>_idle","102110006","61","0","1","-15"
"1001003","2","211","0.68","-240","<weapon>_idle","102110007","63","0","1","-105"
"1001004","2","211","0.68","-310","<weapon>_idle","102110008","61","0","1","-15"
"1001005","2","211","0.68","-380","<weapon>_idle","102110009","62","0","1","-90"
"1001001","10012","211","1","-90","","102110010","-100","0","31","0.68"
"1001002","10012","211","1","-15","","102110011","-170","0","31","0.68"
"1001003","10012","211","1","-105","","102110012","-240","0","31","0.68"
"1001004","10012","211","1","-15","","102110013","-310","0","31","0.68"
"1001005","10012","211","1","-90","","102110014","-380","0","31","0.68"
"1002001","2","211","0.68","-500","<weapon>_idle","102110015","52","0","1","-240"
"1002002","2","211","0.68","-570","<weapon>_idle","102110016","51","0","1","-165"
"1002003","2","211","0.68","-640","<weapon>_idle","102110017","53","0","1","-255"
"1002004","2","211","0.68","-710","<weapon>_idle","102110018","51","0","1","-165"
"1002005","2","211","0.68","-780","<weapon>_idle","102110019","52","0","1","-240"
"1002001","10012","211","1","-240","","102110020","-500","0","31","0.68"
"1002002","10012","211","1","-165","","102110021","-570","0","31","0.68"
"1002003","10012","211","1","-255","","102110022","-640","0","31","0.68"
"1002004","10012","211","1","-165","","102110023","-710","0","31","0.68"
"1002005","10012","211","1","-240","","102110024","-780","0","31","0.68"
"10030","10030","211","0","0","","102110025","0","","31","1"
"10031","10031","211","0","0","","102110026","0","","31","1"
"0","","211","","","","102110027","","","91",""
"1","10030","211","","","","102110028","","","32",""
"0","0","211","","","","102110029","","","91",""
"<weapon>_run","1001001","211","0","","","102110030","1","","3","0"
"<weapon>_run","1001002","211","0","","","102110031","1","","3","0"
"<weapon>_run","1001003","211","0","","","102110032","1","","3","0"
"<weapon>_run","1001004","211","0","","","102110033","1","","3","0"
"<weapon>_run","1001005","211","0","","","102110034","1","","3","0"
"850","1001001","211","","3","","102110035","-90","","2","0"
"780","1001002","211","","3","","102110036","-15","","2","0"
"710","1001003","211","","3","","102110037","-105","","2","0"
"640","1001004","211","","3","","102110038","-15","","2","0"
"570","1001005","211","","3","","102110039","-90","","2","0"
"850","1001001","211","","3","","102110040","-90","","33","0"
"780","1001002","211","","3","","102110041","-15","","33","0"
"710","1001003","211","","3","","102110042","-105","","33","0"
"640","1001004","211","","3","","102110043","-15","","33","0"
"570","1001005","211","","3","","102110044","-90","","33","0"
"<weapon>_run","1002001","211","0","","","102110045","1","","3","0"
"<weapon>_run","1002002","211","0","","","102110046","1","","3","0"
"<weapon>_run","1002003","211","0","","","102110047","1","","3","0"
"<weapon>_run","1002004","211","0","","","102110048","1","","3","0"
"<weapon>_run","1002005","211","0","","","102110049","1","","3","0"
"450","1002001","211","","3","","102110050","-240","","2","0"
"380","1002002","211","","3","","102110051","-165","","2","0"
"310","1002003","211","","3","","102110052","-255","","2","0"
"240","1002004","211","","3","","102110053","-165","","2","0"
"170","1002005","211","","3","","102110054","-240","","2","0"
"450","1002001","211","","3","","102110055","-240","","33","0"
"380","1002002","211","","3","","102110056","-165","","33","0"
"310","1002003","211","","3","","102110057","-255","","33","0"
"240","1002004","211","","3","","102110058","-165","","33","0"
"170","1002005","211","","3","","102110059","-240","","33","0"
"1","10020","211","","","","102110060","","","32",""
"0","2.5","211","","","","102110061","","","93",""
"1","10031","211","","","","102110062","","","32",""
"0","0.4","211","","","","102110063","","","93",""
"0","0","211","","","","102110064","","","91",""
"se_travel_start_3pt","se_travel","311","","","","103110001","0","","23",""
"10010","10010","311","1","0","","103110002","0","","31","1"
"10011","10011","311","1","0","","103110003","0","","31","1"
"10020","10020","311","0","0","","103110004","0","","31","1"
"1001001","2","311","0.68","0","<weapon>_idle","103110005","62","0","1","-240"
"1001002","2","311","0.68","-70","<weapon>_idle","103110006","61","0","1","-165"
"1001003","2","311","0.68","-140","<weapon>_idle","103110007","63","0","1","-255"
"1001004","2","311","0.68","-210","<weapon>_idle","103110008","61","0","1","-165"
"1001005","2","311","0.68","-280","<weapon>_idle","103110009","62","0","1","-240"
"1001001","10012","311","1","-240","","103110010","0","0","31","0.68"
"1001002","10012","311","1","-165","","103110011","-70","0","31","0.68"
"1001003","10012","311","1","-255","","103110012","-140","0","31","0.68"
"1001004","10012","311","1","-165","","103110013","-210","0","31","0.68"
"1001005","10012","311","1","-240","","103110014","-280","0","31","0.68"
"1002001","2","311","0.68","-250","<weapon>_idle","103110015","52","0","1","-60"
"1002002","2","311","0.68","-320","<weapon>_idle","103110016","51","0","1","15"
"1002003","2","311","0.68","-390","<weapon>_idle","103110017","53","0","1","-75"
"1002004","2","311","0.68","-460","<weapon>_idle","103110018","51","0","1","15"
"1002005","2","311","0.68","-530","<weapon>_idle","103110019","52","0","1","-60"
"1002001","10012","311","1","-60","","103110020","-250","0","31","0.68"
"1002002","10012","311","1","15","","103110021","-320","0","31","0.68"
"1002003","10012","311","1","-75","","103110022","-390","0","31","0.68"
"1002004","10012","311","1","15","","103110023","-460","0","31","0.68"
"1002005","10012","311","1","-60","","103110024","-530","0","31","0.68"
"1003001","2","311","0.68","-500","<weapon>_idle","103110025","62","0","1","-250"
"1003002","2","311","0.68","-570","<weapon>_idle","103110026","61","0","1","-175"
"1003003","2","311","0.68","-640","<weapon>_idle","103110027","63","0","1","-265"
"1003004","2","311","0.68","-710","<weapon>_idle","103110028","61","0","1","-175"
"1003005","2","311","0.68","-780","<weapon>_idle","103110029","62","0","1","-250"
"1003001","10012","311","1","-250","","103110030","-500","0","31","0.68"
"1003002","10012","311","1","-175","","103110031","-570","0","31","0.68"
"1003003","10012","311","1","-265","","103110032","-640","0","31","0.68"
"1003004","10012","311","1","-175","","103110033","-710","0","31","0.68"
"1003005","10012","311","1","-250","","103110034","-780","0","31","0.68"
"10030","10030","311","0","0","","103110035","0","","31","1"
"10031","10031","311","0","0","","103110036","0","","31","1"
"0","","311","","","","103110037","","","91",""
"1","10030","311","","","","103110038","","","32",""
"0","0","311","","","","103110039","","","91",""
"<weapon>_run","1001001","311","0","","","103110040","1","","3","0"
"<weapon>_run","1001002","311","0","","","103110041","1","","3","0"
