13ee8a60c90e4f2537f701e805c144f20c0c17b3a4c99967b69617506ad3c4b7,a36a0132b83e706321b657effe2f6ef7015edc729107bc0d514376baa5375494
"1","異"
"2","遺"
"3","域"
"4","宇"
"5","映"
"6","延"
"7","沿"
"8","我"
"9","灰"
"10","擴"
"11","革"
"12","閣"
"13","割"
"14","株"
"15","干"
"16","卷"
"17","看"
"18","簡"
"19","危"
"20","機"
"21","揮"
"22","貴"
"23","疑"
"24","吸"
"25","供"
"26","胸"
"27","鄉"
"28","勤"
"29","筋"
"30","系"
"31","敬"
"32","警"
"33","劇"
"34","激"
"35","穴"
"36","絹"
"37","權"
"38","憲"
"39","源"
"40","嚴"
"41","己"
"42","呼"
"43","誤"
"44","后"
"45","孝"
"46","皇"
"47","紅"
"48","降"
"49","鋼"
"50","刻"
"51","穀"
"52","骨"
"53","困"
"54","砂"
"55","座"
"56","濟"
"57","裁"
"58","策"
"59","冊"
"60","蠶"
"61","至"
"62","私"
"63","姿"
"64","視"
"65","詞"
"66","誌"
"67","磁"
"68","射"
"69","捨"
"70","尺"
"71","若"
"72","樹"
"73","收"
"74","宗"
"75","就"
"76","眾"
"77","從"
"78","縱"
"79","縮"
"80","熟"
"81","純"
"82","處"
"83","署"
"84","諸"
"85","除"
"86","將"
"87","傷"
"88","障"
"89","城"
"90","蒸"
"91","針"
"92","仁"
"93","垂"
"94","推"
"95","寸"
"96","盛"
"97","聖"
"98","誠"
"99","宣"
"100","專"
"101","泉"
"102","洗"
"103","染"
"104","善"
"105","奏"
"106","窗"
"107","創"
"108","裝"
"109","層"
"110","操"
"111","藏"
"112","贜"
"113","存"
"114","尊"
"115","宅"
"116","擔"
"117","探"
"118","誕"
"119","段"
"120","暖"
"121","值"
"122","宙"
"123","忠"
"124","著"
"125","廳"
"126","頂"
"127","潮"
"128","賃"
"129","痛"
"130","展"
"131","討"
"132","黨"
"133","糖"
"134","屆"
"135","難"
"136","乳"
"137","認"
"138","納"
"139","腦"
"140","派"
"141","拜"
