30396ae1496460d7582e58e5b4ec89bb50cb987544d7821d202b9c8f55db2190,e97256940d89e57581083de18e36a5af1c0543bd378d949b75c235be753b344c,422cc46635f30d2934bd09ededf86583b9f53ed51fd1a02b3ef8e0869cf86320,f1e6ad28a2df800bad94ab6ed2e8dbfc9a8773dc6d2075148e768eb9502d362e,f7d17443dfee3a5e3a1e8db39ea445858351323fab72c731645242cb56c580d7,b756d5f0383c0abee124b18f10ca2eb767e713a4c296432587794d1e5a376d81,0ff2e6eef4354b051ff7599ce37be5906bdedc1c3c52cc617c654ad80a9620be,048547a3668167dea42088b5ef26e979ae2f2c9664fb7e74310676e04ae52715
"ㄧㄥ","10001","1","1000100","ㄨㄛ","1","蘋果","紅色又酸酸甜甜的水果。"
"ㄧㄣ","10001","2","1000101","ㄕ","1","禁忌的果實","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。"
"ㄓ","10001","2","1000102","ㄨㄛ","1","智慧之果","吃了可以增強記憶力，提高智能的水果。"
"ㄟ","10002","1","1000200","ㄧㄥ","1","黑猩猩","又強又黑還很強壯。最愛香蕉的生物。"
"ㄧㄥ","10002","2","1000201","ㄟ","1","靈長類","動物分類中的一種。"
"ㄨ","10002","2","1000202","ㄡ","1","嗚吼嗚吼","形容大猩猩兇猛叫聲的擬聲語。"
"ㄓ","10002","3","1000203","ㄧㄢ","1","擲岩猴仙","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。"
"ㄚ","10003","1","1000300","ㄚ","1","喇叭","統稱特定的銅管樂器的說法。"
"ㄧㄠ","10003","2","1000301","ㄠ","1","小號","銅管樂器中的一種。"
"ㄨㄢ","10003","2","1000302","ㄧ","1","管樂器","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。"
"ㄥ","10004","1","1000400","ㄧ","1","鳳梨","生長在溫暖地區，黃色且味道酸甜的水果。"
"ㄛ","10004","1","1000401","ㄨㄛ","1","菠蘿","在某些地區就是這樣叫這種水果的。"
"ㄨㄤ","10004","1","1000402","ㄞ","1","旺來","「鳳梨」的台語讀音。"
"ㄨㄥ","10005","1","1000500","ㄕ","1","紅寶石","也有人稱其為寶石女王，鮮艷的紅色寶石。"
"ㄠ","10005","1","1000501","ㄕ","1","寶石","用在裝飾品中，既美麗又珍貴的礦物。"
