000e9e4a01b112fe5a6efb3e211529524cc0edcfb55f409d9ee258359ece6f8c,b20778c57cd1ef6064672f86a4cbd24db6c7ca1213720da8018b3567a74c481c,c55f3dc4006b06591e855f96bb34bfa2dcd302c0a8530a9ea9c5a29f502ce01b,a33f0b526576898a620432af0fff03386a98cfd7f5627bb320c48ec2f7f4034b,1c145fcb5e5299ace196f343c3fa2d8bc6555a66a2fab52ddd8f5b96a4ece285,2de5e3606e20ce33def9134947853baa715bd0a818f199b01bb1c8fac3cce688,7b511234e3110475acadba5b0aa388b2cf647d8de4fd766e031473d9a45a7aa4,4422c9d105f7fabbadf9f904eca08b2698a14b266198c9018c9da18a128fa316,ebd46db2ca114a3861a951eb44fc306790fbd8a25ea6ae88245caf41be61dc5b,a15a1863bcf518102dd04ce73cd3a0b46b5a441c2e18ff7733758e836ebf7940,ff118b51aeaaf27550d57cab4af13e059fb3830b50f4b963e29ea470b82df6df,a6db37ace16effc17f6021e028948dcfcf600f497b39af291908b5317ad3fef0,465e703dc1d2d36f5bb63dab432f28375df0e69af9ee958ce826bfbc03b767b9,29993004903901ac1e815ff4669b4cce37c31a3986f39cbd1685348f31a78b89,eae64f9a8642e3015dbab2d5af7f35efeca1c9bb60e3ce996e537f81569b6972,f210256d7f97aea8eb9a4482359c1f1facdb6d7fbd49dd13c8623f3be9bfd960,79a4e94d0738bb76816d4a965a6b078f8480b891a060fa93b58db2dd7681b6cd,27f4c0f9cdba2c80cbeb5db40f88eb8d17e027089bbd0552ba78367d5f2abe82,1acfb8d5baa670670d8e67217c0ed51f70e4f3d12fbf096d5825dead5c197115,0979fdf6b1853f69b2f0ec7c427936ff611c948d53b17e3d069231d1af1a43a0,593f1a5d2200adfc69862cf20bedc10e5be2f85cc9f82e503937666219dde3e7,fee255fefda8e1be18be09f9fd3988eacba50c1422671fd5335ed9b262682d43,060538f243a03eed40448ef2d4d867b597e1f1857f53fa4e1e7b146e7269253e,f6a4cec96ba2ec050a036fbf60ca8406d15709fb8212e2f144bcfba22c82d6f7,743d389eda4c6fe4e2e9d77c5c9eeea5271b86ce7df2c0e9b5e0966594bcf8ad,9bb810b185e35daa4c2ce6e656ed33caf8e7006105f5d5942d2182c1ba408f0a
"25","215","0","0","0","2030/12/17 14:59:59","81001","281001001","81001001","90","25011","10","181001001","2024/06/14 16:00:00","10","10","100160","25021","10","0","0","0","紅焰的深域1-1","381001001","810010011","182100"
"100","215","0","0","0","2030/12/17 14:59:59","81001","281001002","81001002","90","25011","10","181001002","2024/06/14 16:00:00","10","10","100160","25021","10","200","0","0","紅焰的深域1-2","381001002","810010021","182100"
"175","215","0","0","0","2030/12/17 14:59:59","81001","281001003","81001003","90","25011","10","181001003","2024/06/14 16:00:00","10","10","100160","25021","10","400","0","0","紅焰的深域1-3","381001003","810010031","182100"
"50","215","0","0","0","2030/12/17 14:59:59","81001","281001004","81001004","90","25011","10","181001004","2024/06/14 16:00:00","10","10","100160","25021","10","550","0","0","紅焰的深域1-4","381001004","810010041","182100"
"125","215","0","0","0","2030/12/17 14:59:59","81001","281001005","81001005","90","25011","10","181001005","2024/06/14 16:00:00","10","10","100160","25021","10","750","0","0","紅焰的深域1-5","381001005","810010051","182100"
"200","215","0","0","0","2030/12/17 14:59:59","81001","281001006","81001006","90","25011","10","181001006","2024/06/14 16:00:00","10","10","100170","25021","10","950","0","0","紅焰的深域1-6","381001006","810010061","182100"
"25","215","0","0","0","2030/12/17 14:59:59","81001","281001007","81001007","90","25011","10","181001007","2024/06/14 16:00:00","10","10","100160","25021","10","1100","0","0","紅焰的深域1-7","381001007","810010071","182100"
"100","215","0","0","0","2030/12/17 14:59:59","81001","281001008","81001008","90","25011","10","181001008","2024/06/14 16:00:00","10","10","100160","25021","10","1300","0","0","紅焰的深域1-8","381001008","810010081","182100"
"175","215","0","0","0","2030/12/17 14:59:59","81001","281001009","81001009","90","25011","10","181001009","2024/06/14 16:00:00","10","10","100160","25021","10","1500","0","0","紅焰的深域1-9","381001009","810010091","182100"
"50","215","0","0","0","2030/12/17 14:59:59","81001","281001010","81001010","90","25011","10","181001010","2024/06/14 16:00:00","10","10","81001","25021","10","1750","0","0","紅焰的深域1-10","381001010","810010101","182100"
"25","215","0","0","0","2030/12/17 14:59:59","81001","281001011","81001011","90","25011","10","181001011","2024/06/14 16:00:00","10","20","100160","25021","10","2000","0","0","紅焰的深域2-1","381001011","810010111","182100"
