0108eb045db7b4117d3391a4b5460fdc44b64bfdbfa003c115b2df33b5acd6c1,a41fa8fcfa236ad558f06393a8e859cad5d005ec296225bf0c1277139093415c,aabd3076dbc175306eb658c65c5d55b68d3f8897f258605996696c1a27b1e082,ab1ec06b1a5aec9f04cb56700a6ba3a9eb04f8d7f2b64ec5534a0b6743c6529b,01b39c9a599e301ad30581da90def595612c55e836b8b66fa7d44c2e5aa92f6a,e819d99bda72419ea68ab7e9e108290ad36e2b495cef86b959426f0bc75084eb,9d63c02223103e9f46869d01aeb33d9875125162b6a8a94eadeb01533eddad8c
"10070","20039101","1007001","0","圖畫日記之1","0","0"
"10070","20039101","1007002","0","圖畫日記之2","1007001","0"
"10070","20039103","1007003","0","圖畫日記之3","1007002","0"
"10070","20039106","1007004","0","圖畫日記之4","1007003","0"
"10070","20039107","1007005","0","圖畫日記之5","1007004","0"
"10070","20039110","1007006","0","圖畫日記之6","1007005","0"
"10070","20039112","1007007","0","圖畫日記之7","1007006","0"
"10070","0","1007008","2003901","圖畫日記之8","1007007","0"
"10070","0","1007009","2003901","惠理子的圖畫日記","1007007","0"
"10070","0","1007010","2003901","靜流的圖畫日記","1007007","0"
"10070","20039101","1007011","0","圖畫日記之1(批閱)","0","2021/11/15 16:00:00"
"10070","20039101","1007012","0","圖畫日記之2(批閱)","0","2021/11/15 16:00:00"
"10070","20039103","1007013","0","圖畫日記之3(批閱)","0","2021/11/15 16:00:00"
"10070","20039106","1007014","0","圖畫日記之4(批閱)","0","2021/11/15 16:00:00"
"10070","20039107","1007015","0","圖畫日記之5(批閱)","0","2021/11/15 16:00:00"
"10070","20039110","1007016","0","圖畫日記之6(批閱)","0","2021/11/15 16:00:00"
"10070","20039112","1007017","0","圖畫日記之7(批閱)","0","2021/11/15 16:00:00"
"10070","0","1007018","2003901","圖畫日記之8(批閱)","0","2021/11/15 16:00:00"
"10070","0","1007019","2003901","惠理子的圖畫日記(批閱)","0","2021/11/15 16:00:00"
"10070","0","1007020","2003901","靜流的圖畫日記(批閱)","0","2021/11/15 16:00:00"
