cacfb2c8b31b20fda36bb4992ec4bada34890492670566847a882e98fdad0adb,4e7e44c1180b826de7c3693ce8abdde0f530e0489c0b7400bad5d4ebd5b89a9b,96367c0ef2d427a0e3767346694740bc39ada4e8ebf421b267a241163c30f557,7024a99b595e7e443caec5d33a1ebf007175d3d949bc54aca4d57fa0b380de09,d0449a417853a88fdd5c99616079fe362e98f8d0a66df51dc1cba06e95945ed3,42f80972fe4701b84b53c47ed30a210c03b8c487b2c495c687ccb1ab5c3bdb80,0f9e418aeafb0d301857a165dd740440eeffc0bbdc9c1402864d2ef9931a3273,aaece7f6496362341ba01f6646298e52c166f5b426476295373fb98d4ca137c2,011cece186a611b39f70cf0db8ccc686f50083a39f975bb742fcdefc0e7d43f5,ea49eeb18030ef589fd6e64cc0cb396598d80c5ad642c388eccba2b08e5af23e,72aa6116774bda42ddeb39891b537f88b415b6b421bf9c7d4814f1dd861c776e
"","","0","101110001","se_travel_start_1pt","","","","111","se_travel","23"
"0","1","0","101110002","10010","","","1","111","10010","31"
"0","1","0","101110003","10011","","","1","111","10011","31"
"0","0","0","101110004","10020","","","1","111","10020","31"
"-150","0.68","62","101110005","1001001","0","<weapon>_idle","-150","111","2","1"
"-250","0.68","61","101110006","1001002","0","<weapon>_idle","-75","111","2","1"
"-350","0.68","63","101110007","1001003","0","<weapon>_idle","-180","111","2","1"
"-450","0.68","61","101110008","1001004","0","<weapon>_idle","-75","111","2","1"
"-550","0.68","62","101110009","1001005","0","<weapon>_idle","-150","111","2","1"
"-150","1","-150","101110010","1001001","0","","0.68","111","10012","31"
"-75","1","-250","101110011","1001002","0","","0.68","111","10012","31"
"-180","1","-350","101110012","1001003","0","","0.68","111","10012","31"
"-75","1","-450","101110013","1001004","0","","0.68","111","10012","31"
"-150","1","-550","101110014","1001005","0","","0.68","111","10012","31"
"0","0","0","101110015","10030","","","1","111","10030","31"
"0","0","0","101110016","10031","","","1","111","10031","31"
"","","","101110017","0","","","","111","","91"
"","","","101110018","1","","","","111","10030","32"
"","","","101110019","0","","","","111","0","91"
"","0","1","101110020","<weapon>_run","","","0","111","1001001","3"
"","0","1","101110021","<weapon>_run","","","0","111","1001002","3"
"","0","1","101110022","<weapon>_run","","","0","111","1001003","3"
"","0","1","101110023","<weapon>_run","","","0","111","1001004","3"
"","0","1","101110024","<weapon>_run","","","0","111","1001005","3"
"3","","-150","101110025","800","","","0","111","1001001","2"
"3","","-75","101110026","700","","","0","111","1001002","2"
"3","","-180","101110027","600","","","0","111","1001003","2"
"3","","-75","101110028","500","","","0","111","1001004","2"
"3","","-150","101110029","400","","","0","111","1001005","2"
"3","","-150","101110030","800","","","0","111","1001001","33"
"3","","-75","101110031","700","","","0","111","1001002","33"
"3","","-180","101110032","600","","","0","111","1001003","33"
"3","","-75","101110033","500","","","0","111","1001004","33"
"3","","-150","101110034","400","","","0","111","1001005","33"
"","","","101110035","1","","","","111","10020","32"
"","","","101110036","0","","","","111","2.5","93"
"","","","101110037","1","","","","111","10031","32"
"","","","101110038","0","","","","111","0.4","93"
"","","","101110039","0","","","","111","0","91"
"","","0","102110001","se_travel_start_2pt","","","","211","se_travel","23"
"0","1","0","102110002","10010","","","1","211","10010","31"
"0","1","0","102110003","10011","","","1","211","10011","31"
"0","0","0","102110004","10020","","","1","211","10020","31"
"-100","0.68","62","102110005","1001001","0","<weapon>_idle","-90","211","2","1"
"-170","0.68","61","102110006","1001002","0","<weapon>_idle","-15","211","2","1"
"-240","0.68","63","102110007","1001003","0","<weapon>_idle","-105","211","2","1"
"-310","0.68","61","102110008","1001004","0","<weapon>_idle","-15","211","2","1"
"-380","0.68","62","102110009","1001005","0","<weapon>_idle","-90","211","2","1"
"-90","1","-100","102110010","1001001","0","","0.68","211","10012","31"
"-15","1","-170","102110011","1001002","0","","0.68","211","10012","31"
"-105","1","-240","102110012","1001003","0","","0.68","211","10012","31"
"-15","1","-310","102110013","1001004","0","","0.68","211","10012","31"
"-90","1","-380","102110014","1001005","0","","0.68","211","10012","31"
"-500","0.68","52","102110015","1002001","0","<weapon>_idle","-240","211","2","1"
"-570","0.68","51","102110016","1002002","0","<weapon>_idle","-165","211","2","1"
"-640","0.68","53","102110017","1002003","0","<weapon>_idle","-255","211","2","1"
"-710","0.68","51","102110018","1002004","0","<weapon>_idle","-165","211","2","1"
"-780","0.68","52","102110019","1002005","0","<weapon>_idle","-240","211","2","1"
"-240","1","-500","102110020","1002001","0","","0.68","211","10012","31"
"-165","1","-570","102110021","1002002","0","","0.68","211","10012","31"
"-255","1","-640","102110022","1002003","0","","0.68","211","10012","31"
"-165","1","-710","102110023","1002004","0","","0.68","211","10012","31"
"-240","1","-780","102110024","1002005","0","","0.68","211","10012","31"
"0","0","0","102110025","10030","","","1","211","10030","31"
"0","0","0","102110026","10031","","","1","211","10031","31"
"","","","102110027","0","","","","211","","91"
"","","","102110028","1","","","","211","10030","32"
"","","","102110029","0","","","","211","0","91"
"","0","1","102110030","<weapon>_run","","","0","211","1001001","3"
"","0","1","102110031","<weapon>_run","","","0","211","1001002","3"
"","0","1","102110032","<weapon>_run","","","0","211","1001003","3"
"","0","1","102110033","<weapon>_run","","","0","211","1001004","3"
"","0","1","102110034","<weapon>_run","","","0","211","1001005","3"
"3","","-90","102110035","850","","","0","211","1001001","2"
"3","","-15","102110036","780","","","0","211","1001002","2"
"3","","-105","102110037","710","","","0","211","1001003","2"
