bdece4fa269fbbb3ddc181bd0d8b15c45611259172adb6064363bc52bb49c60c,932f0cab1aa5d9fcd43558c4f10fadca18f978219dd7875d63ab0d90dcd8dde2,278c330ad00397f6621b55e769eca246570bc45bbec25801c845e35e3db696a4,7bb8e724f7887c0fe7a236f6c8445fb9627a53c87809b2efa837b77e7764f93a,b153a01852d6c2b8fb234c0d5763c0811e0e9441fa491a0052411a0da3adc63d
"3030100","1","0","1","0"
"3050100","1","0","2","0"
"3040100","1","0","3","0"
"3020100","1","0","4","0"
"2040100","1","0","5","0"
"2040100","2","0","5","0"
"2020100","1","0","6","0"
"2020100","2","0","6","0"
"1030100","1","0","7","314"
"4030100","1","0","8","0"
"1050100","1","0","9","502"
"4020100","1","0","10","0"
"2030100","1","0","11","0"
"2030100","2","0","11","0"
"3040100","1","10301010","12","0"
"1020100","1","0","13","202"
"1040102","1","20201010","14","406"
"1010200","1","0","15","105"
"2010200","2","0","15","0"
"2010200","3","0","15","0"
"3050200","1","0","16","0"
"3040200","1","0","17","0"
"3020200","1","0","18","0"
"2040200","1","0","19","0"
"2040200","2","0","19","0"
"2020200","1","0","20","0"
"2020200","2","0","20","0"
"1030200","1","0","21","315"
"1020200","1","0","22","205"
"1050200","1","0","23","509"
"4020200","1","0","24","0"
"2030200","1","0","25","0"
"2030200","2","0","25","0"
"4030200","1","0","26","0"
"3020200","1","10101020","27","0"
"1040200","1","20201020","28","408"
"3040200","1","10101020","29","0"
"3010200","1","10101020","30","0"
"1010300","1","0","31","102"
"2010300","2","0","31","0"
"2010300","3","0","31","0"
"3050300","1","0","32","0"
"3040300","1","0","33","0"
"3020300","1","0","34","0"
"2040300","1","0","35","0"
"2040300","2","0","35","0"
"2020300","1","0","36","0"
"2020300","2","0","36","0"
"1030300","1","0","37","306"
"1020300","1","0","38","206"
"1050300","1","0","39","502"
"4020300","1","0","40","0"
"2030300","1","0","41","0"
"2030300","2","0","41","0"
"4030300","1","0","42","0"
"3020300","1","10101030","43","0"
"1040300","1","20201030","44","406"
"3010300","1","10101050","45","0"
"3040300","1","10101050","46","0"
"3030300","1","10101050","47","0"
"3010300","1","10101050","48","0"
"3020300","1","10101050","49","0"
"1010300","1","30102050","50","112"
