949391fe3ee601b84d16a8d9868a63aea967cd904102cb172dda4b6ba1ad1975,4f0c60abf2e606147bad7cd026214256e2a96044bcaa6ae249657f38897be8bb,27e728cc71c3bf1254ae3cea58249b1d6ca680ed32d23f9fb6911d1deb36ae1f,a7c3a9f54a01019c84249291c199eaf418dd08062570633a82d52cf8ceb00c45,0ff48471b289ec7ed6e7ddcb7cf73bc76c56a1eb4dc9ff78ad63a12d2e0918ee,f1d1a22b0f9c41a9dbec116240545f1baf8cbc96da4f3ffff1c936d2b5ab4290,4f0db3dc3666a4c8a33814087778fc65cd3f6749d537796d32421b463f26aabb,920ac6657fa7b4cbea8df910ef5fba385010ab015cb12af788e747258cd6d85e,28eb20766e2f9df659c28d2084dd3168fea9ea83c013df6bd93b2bd429236932,be80a88d65038cb1e91baadcbd3e71998b1a5f6158a072f72861337784e82db9,a6cfd76393e13a58f2d75529a0fdc8493b2127ba51a4c1428cba565130cb9a74,4cc122b9658c31fe0d771cedd34264455ec341d6e7aa0853de3a7288b2e0fa42,ac9daffac774c2ae59138ddf4c38b3802422fe853d9dcdae9ab350731fa6c410,3cdf19d706a1005f7b9227b1a1e8d44248cb39994ecca7841200c824575ba427
"10001","126401","2023/11/01 16:00:00","-470","1","2","0","克蘿茜","1.47","2024/01/16 15:59:59","1","2002","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","1"
"10002","126401","2023/11/01 16:00:00","-470","2","1","0","克蘿茜","2.15","2024/01/16 15:59:59","1","2002","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","2"
"10003","126501","2023/11/01 16:00:00","-470","1","2","0","萊拉耶爾","0","2024/01/16 15:59:59","1","2002","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","2"
"10004","126501","2023/11/01 16:00:00","-470","2","1","0","萊拉耶爾","0","2024/01/16 15:59:59","1","2002","還請在此商店\n購買東西，\n享受愉快的旅途吧","1"
"10005","127702","2024/01/16 16:00:00","-470","1","2","0","琳德","0","2024/04/23 15:59:59","2","2002","歡迎光臨\n可以利用巡遊幣\n來買東西喔","2"
"10006","127702","2024/01/16 16:00:00","-470","2","2","0","琳德","0","2024/04/23 15:59:59","2","2002","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","2"
"10007","127802","2024/01/16 16:00:00","-470","1","1","0","烏爾姆","0","2024/04/23 15:59:59","2","2002","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","1"
"10008","127802","2024/01/16 16:00:00","-470","2","1","0","烏爾姆","6.5","2024/04/23 15:59:59","2","2002","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","2"
"10009","129602","2024/04/16 16:00:00","-470","1","1","0","安涅默涅","0","2024/07/23 15:59:59","3","2002","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","2"
"10010","129602","2024/04/16 16:00:00","-470","2","1","0","安涅默涅","0","2024/07/23 15:59:59","3","2002","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","2"
"10011","129701","2024/04/16 16:00:00","-470","1","1","0","涅妃‧涅羅","0","2024/07/23 15:59:59","3","2002","歡迎光臨\n用巡遊幣在這裡進行交換吧","1"
"10012","129701","2024/04/16 16:00:00","-470","2","1","0","涅妃‧涅羅","6.2","2024/07/23 15:59:59","3","2002","話說回來，\n要花多少錢才能買到你呢？\n──呵呵，開玩笑的","2"
"10013","130301","2024/07/16 16:00:00","-470","1","5","0","華音","3.1","2024/10/23 15:59:59","4","2002","歡、歡迎光臨！\n……唔……本小姐\n竟然要顧店……真是屈辱。","3"
"10014","130301","2024/07/16 16:00:00","-470","2","2","0","華音","6.15","2024/10/23 15:59:59","4","2002","哎呀，你需要我嗎？\n真遺憾，用那點錢\n……就可以買了嗎！？","3"
"10015","130401","2024/07/16 16:00:00","-470","1","2","0","拿娜","0","2024/10/23 15:59:59","4","2002","歡迎光臨～♪\n聽說可以交換\n巡遊幣──？","2"
"10016","130401","2024/07/16 16:00:00","-470","2","1","0","拿娜","3.35","2024/10/23 15:59:59","4","2002","要是給我甜食，\n就給你拿娜撿到的\n松果作為謝禮喔！","2"
"10017","130502","2024/10/16 16:00:00","-470","1","1","0","鳳凰","0","2025/01/23 15:59:59","5","2002","歡迎光臨本店。\n就由本鳳凰\n為大家獻上祝福吧。","1"
"10018","130502","2024/10/16 16:00:00","-470","2","1","0","鳳凰","3.18","2025/01/23 15:59:59","5","2002","我可沒有對外販售\n喊小鳳的權利哦？\n這是騎士先生的特別待遇！","2"
"10019","130503","2024/10/16 16:00:00","-470","3","4","0","鳳凰","0","2025/01/23 15:59:59","5","2002","唔啊啊啊！\n又變成這副模樣了！\n拜託捐贈點什麼吧～！","4"
"10020","123301","2024/10/16 16:00:00","-470","1","2","0","涅婭","4.9","2025/01/23 15:59:59","5","2002","你好～♪\n什麼都可以交換～\n小卡里莎除外。","1"
"10021","123301","2024/10/16 16:00:00","-470","2","2","0","涅婭","4.8","2025/01/23 15:59:59","5","2002","順便問一下，\n小騎士要多少盧幣呀？\n說‧真‧的♡","1"
"10022","133301","2025/01/16 16:00:00","-470","1","1","0","卡里莎","4.922","2025/04/24 15:59:59","6","2002","哼，為什麼我得當\n店員……別過來，黃的，\n我可不是商品啊！","3"
"10023","133301","2025/01/16 16:00:00","-470","2","5","0","卡里莎","9.638","2025/04/24 15:59:59","6","2002","一、一定要說不可嗎？\n「……歡迎光臨……」\n可惡，不准笑！","3"
"10024","133401","2025/01/16 16:00:00","-470","1","2","0","米亞","2.88","2025/04/24 15:59:59","6","2002","歡迎光臨商店～\n就由有如涅羅殿下之心腹的\n我來擔任店員～","1"
