c56a89e6205e161408a8e2a4ce4462abdcdf91ae3ef3df168da083e66aad3661,0662a582dc50d9e8fda5f28f6dc0cc51271e85e595eb17eb9615a1f6b861b3a7,71164610632079e7a6727b3b4324fcd77d2710b033c236a8a43e74839935f00a,1e9fa946e969e2b1ab68f5b1fd086a772da985379313f0941f21771d6d5d964b,2f255e0139ad8c5945827c6ec86d0cf939c549f9fcb862de7a5269240702d742,e9466875c63628382e8d191936bc39441081579e17320a308d44c066fa0bbb11,abe52b1302e9d4cd8a2e8026f34246c71160855919debe99a567ca2054c0f9b2,a614914a5f0c2eda7304575369350ed9cbe5563c452c7cdafbf738c04733bea6,c3b5f63ce94459660a9ce551102485ca28d75e42197a94de911b49ae22bb0543,b11f99489845247d74169319775d65d973c32405d5ceb1de6141097d54279229,5c4ed447ff9f3c60bb5b7b25c4bfabbf9d946cfa17591c757c652a18a91fb2fa
"0","1","-496","100","01_uek_cmn_idol_def_N","1.3","1","105831","-157","1","1010001"
"0","1","-355","110","01_uek_cmn_idol_def_N","1.3","1","105931","-178","1","1010002"
"1","1","410","100","01_uek_cmn_idol_def_N","1.3","1","112631","-124","1","1010003"
"1","1","389","110","01_uek_cmn_idol_def_N","1.3","1","112531","-258","1","1010004"
"0","1","-415","120","01_uek_cmn_idol_def_N","1.3","1","106031","-234","1","1010005"
"1","1","262","120","01_uek_cmn_idol_def_N","1.3","1","112431","-235","1","1010006"
"0.2","1","01_uek_cmn_pose03","0","","0","105831","01_uek_01_peko","1","3","1010007"
"0.2","1","01_uek_talk_normal","0","","0","105931","01_uek_01_kokkoro","1","3","1010008"
"0.2","1","01_uek_cmn_pose02","0","","0","106031","01_uek_01_kyaru","1","3","1010009"
"0.2","1","01_uek_cmn_pose03","0","","0","112631","01_uek_01_mio","1","3","1010010"
"0.2","1","01_uek_cmn_pose02","0","","0","112531","01_uek_01_rin","1","3","1010011"
"0.2","1","01_uek_cmn_pose01","0","","0","112431","01_uek_01_uduki","1","3","1010012"
"","1","","","","","3","","","93","1010013"
"","1","","1","","0.2","112631","01_uek_cmn_pose03","0","3","1010014"
"","1","","1","","0.2","112431","01_uek_cmn_pose01","0","3","1010015"
"","1","","1","","0.2","105831","01_uek_cmn_pose03","0","3","1010016"
"0.1","1","01_uek_cmn_idol_def_N","0","","0.2","105931","01_uek_talk_normal","1","3","1010017"
"0.1","1","01_uek_cmn_idol_def_N","0","","0.2","106031","01_uek_cmn_pose02","1","3","1010018"
"0.1","1","01_uek_cmn_idol_def_N","0","","0.2","112531","01_uek_cmn_pose02","1","3","1010019"
"","1","","10","","","105831","唔哇……！\n變得超大的，\n太讚了吧☆","","11","1010020"
"","1","","","","","0","","","91","1010021"
"","1","","10","","","105931","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","","11","1010022"
"","1","","","","","0","","","91","1010023"
"","1","","10","","","112631","這種情況下，\n就讓人想看看\n上面是怎樣呢！","","11","1010024"
"","1","","","","","0","","","91","1010025"
"","1","","10","","","112531","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","","11","1010026"
"","1","","","","","0","","","91","1010027"
