46a26f242e969aa8b9765c2c9845a06cc7bd80dd2733cd494f7ba94541534412,9156a0eb0a127e4cca8fbab9315dc87065e98923ed365bac5222adf226fab8f6,0dce8d5a3b6c96b63ef1f300630174fbb3ec5a4c0c6435fe297277004d93d31d,b25394a7b15a92d76ee4817090621a306386c7d2ff35054ec6417faa4869e2f4,9d2de52f2b2bd7438876d8ef8bc7aa9f95c9086f27e3971a96225650cb074ca1,aea94d5f9a53200bad1f7ed1c43016484edba20f997fd8d2f65f427ed24eae73,d2f983f4fff96e6cf62058c8fcb61c21bdee13a387fa8ed02bef7f74ec4041dc,36a065cae690d756c37e1deb2895e11e00f1ccdff2a52d53c6ab2de086e06c5d,790ace5a1f5278efe2492a0054baa83ef7ccc5c9ce3e3c8e8b6b3b09322e0398,2fa67fbf58807c48d61154bca3613d90df14432934d397fdf0f0641c8f96a426,7235ddf70cbcd23c12c312ca47dce20b11a242a9daab2671f6c43409a30f07e9
"31","25021","2","282001001","10","91002","2","8","25012","8","1"
"31","25021","2","282001002","10","91002","2","8","25012","8","2"
"32","25021","2","282001003","10","91002","2","8","25012","8","3"
"32","25021","2","282001004","10","91002","2","8","25012","8","4"
"33","25021","2","282001005","10","91002","2","8","25012","8","5"
"33","25021","2","282001006","10","91002","2","8","25012","9","6"
"34","25021","2","282001007","10","91002","2","8","25012","9","7"
"35","25021","2","282001008","10","91002","2","8","25012","9","8"
"35","25021","2","282001009","10","91002","2","8","25012","9","9"
"37","25021","2","282001010","30","91002","2","8","25012","10","10"
"41","25021","2","282001011","10","91002","2","8","25012","10","11"
"43","25021","2","282001012","10","91002","2","8","25012","11","12"
"46","25021","2","282001013","10","91002","2","8","25012","11","13"
"48","25021","2","282001014","10","91002","2","8","25012","12","14"
"50","25021","2","282001015","10","91002","2","8","25012","12","15"
"53","25021","2","282001016","10","91002","2","8","25012","13","16"
"55","25021","2","282001017","10","91002","2","8","25012","14","17"
"58","25021","2","282001018","10","91002","2","8","25012","14","18"
"60","25021","2","282001019","10","91002","2","8","25012","15","19"
"62","25021","2","282001020","30","91002","2","8","25012","15","20"
"68","25021","2","282001021","10","91002","2","8","25012","16","21"
"70","25021","2","282001022","10","91002","2","8","25012","16","22"
"72","25021","2","282001023","10","91002","2","8","25012","16","23"
"75","25021","2","282001024","10","91002","2","8","25012","17","24"
"77","25021","2","282001025","10","91002","2","8","25012","18","25"
"79","25021","2","282001026","10","91002","2","8","25012","18","26"
"82","25021","2","282001027","10","91002","2","8","25012","19","27"
"84","25021","2","282001028","10","91002","2","8","25012","19","28"
"86","25021","2","282001029","10","91002","2","8","25012","19","29"
"89","25021","2","282001030","30","91002","2","8","25012","20","30"
"94","25021","2","282001031","10","91002","2","8","25012","20","31"
"96","25021","2","282001032","10","91002","2","8","25012","21","32"
"99","25021","2","282001033","10","91002","2","8","25012","21","33"
"101","25021","2","282001034","10","91002","2","8","25012","22","34"
"103","25021","2","282001035","10","91002","2","8","25012","22","35"
"106","25021","2","282001036","10","91002","2","8","25012","23","36"
"108","25021","2","282001037","10","91002","2","8","25012","23","37"
"111","25021","2","282001038","10","91002","2","8","25012","24","38"
"113","25021","2","282001039","10","91002","2","8","25012","25","39"
"115","25021","2","282001040","30","91002","2","8","25012","25","40"
"121","25021","2","282001041","10","91002","2","8","25012","26","41"
"123","25021","2","282001042","10","91002","2","8","25012","27","42"
"125","25021","2","282001043","10","91002","2","8","25012","28","43"
"128","25021","2","282001044","10","91002","2","8","25012","28","44"
"130","25021","2","282001045","10","91002","2","8","25012","29","45"
"132","25021","2","282001046","10","91002","2","8","25012","30","46"
"135","25021","2","282001047","10","91002","2","8","25012","30","47"
"137","25021","2","282001048","10","91002","2","8","25012","31","48"
"139","25021","2","282001049","10","91002","2","8","25012","31","49"
"142","25021","2","282001050","30","91002","2","8","25012","31","50"
"144","25021","2","282001051","10","91002","2","8","25012","32","51"
"146","25021","2","282001052","10","91002","2","8","25012","32","52"
"149","25021","2","282001053","10","91002","2","8","25012","32","53"
"152","25021","2","282001054","10","91002","2","8","25012","33","54"
"155","25021","2","282001055","10","91002","2","8","25012","33","55"
"157","25021","2","282001056","10","91002","2","8","25012","33","56"
"160","25021","2","282001057","10","91002","2","8","25012","34","57"
"163","25021","2","282001058","10","91002","2","8","25012","34","58"
"166","25021","2","282001059","10","91002","2","8","25012","34","59"
"169","25021","2","282001060","30","91002","2","8","25012","35","60"
"171","25021","2","282001061","10","91002","2","8","25012","35","61"
"174","25021","2","282001062","10","91002","2","8","25012","35","62"
"177","25021","2","282001063","10","91002","2","8","25012","36","63"
"180","25021","2","282001064","10","91002","2","8","25012","36","64"
"182","25021","2","282001065","10","91002","2","8","25012","36","65"
"185","25021","2","282001066","10","91002","2","8","25012","37","66"
"187","25021","2","282001067","10","91002","2","8","25012","37","67"
"190","25021","2","282001068","10","91002","2","8","25012","37","68"
"193","25021","2","282001069","10","91002","2","8","25012","38","69"
"196","25021","2","282001070","30","91002","2","8","25012","38","70"
