828774ec5d19ca66d2fabd718676c47a8075ccbde9052b18da7b47abac8ec953,83a449a52e0c66a58c033dcc703cecd744b9513ca6bbfca1ab5bca17e31288cf,e5db810de3887470a6637523e85a23e4be08411d8bc2406898e7ab059df36e01,52e93741f708ca6862ad109627a863c37c2dd12b2f29b989a49e6ed7942a41c0,50da88f899f386e4fa203a3b2f0dd20072573849588cc94fe5f7009380702c25
"1","1025","1045","1048","1037"
"2","1003","1006","1004","1062"
"3","1003","1006","1007","1029"
"4","1047","1062","1045","1025"
"5","1043","1022","1013","1003"
"6","1006","1019","1004","1048"
"7","1062","1003","1033","1037"
"8","1056","1059","1053","1050"
"9","1001","1034","1011","1030"
"10","1063","1026","1023","1046"
"11","1020","1044","1038","1014"
"12","1017","1040","1049","1008"
"13","1023","1020","1044","1017"
"14","1017","1020","1038","1001"
"15","1030","1008","1048","1036"
"16","1044","1011","1038","1004"
"17","1043","1022","1011","1005"
"18","1046","1047","1016","1042"
"19","1014","1063","1028","1041"
"20","1052","1058","1055","1061"
"21","1025","1024","1001","1031"
"22","1024","1005","1063","1064"
"23","1040","1044","1000","1066"
"24","1000","1010","1038","1076"
"25","1003","1043","1019","1077"
"26","1070","1068","1069","1071"
"27","1092","1090","1091","1089"
"28","1098","1099","1100","1097"
"29","1102","1103","1104","1101"
"30","1106","1107","1108","1105"
"31","1012","1021","1006","1083"
"32","1087","1084","1085","1086"
"33","1094","1096","1095","1093"
