85266909c8537c3554e34426ac3617043392f20202e45bb41e0a99f7fbf7ac05,116d5ea5ea445880de6b35b26873bd8a6c056821366d288166f789f4a3193408,78d52cdd3ef12ea62ec679bf9095ffbc05127fc0e7141834f4b96f917035625b,bc7db4bd7d3a9756698656e6865a55c0616b4f0d61a5ac0ccedb60bf5991fbd5,7be111bfb0001cf7092d724ee304f37449837a03b649a034653fbe539c114b2c,ace72ba46386a5e935010300825a09d401e72957fb1d35088d9f37b0905b8406,3bdc8ffb4943e542bcef44e72f72c1d3b9fc68aff1f344c8fe56d576539a5e87,d023f3fc52cff825bc01d1041e48a029b0e2fc85fdb6b8e3b4230776f29caed3,fcd86ad69260a48b22e060c7aa13664ddf34359d15020e48631b341e093852a1,e0d271ec8a77ac72c9c27f0ae724c76967130f047c57e63bbfd9967015182d5f,3d54afdc6f93945df40ef8e6bdfcedb5de393a128f6998fc8576e95df64d4ebc
"1","1","0","0","100","100211","1.7","mhp_sit_idle","1002011","1002011001","0"
"3","100211","","","1","mhp_sit_talk_memory","0.2","","1002011","1002011002",""
"21","vo_mhp","","","0","vo_mhp_0401","","","1002011","1002011003","0"
"11","100211","0","0","5","好久沒見到\n深月小姐了，\n我有點期待♪","0","0","1002011","1002011004","0"
"91","0","","","","","","","1002011","1002011005",""
"3","100211","","","1","mhp_sit_idle_memory","0.2","","1002011","1002011006",""
"1","1","0","0","100","100211","1.7","mhp_sit_idle","1002012","1002012001","0"
"3","100211","","","1","mhp_sit_talk_sad","0.2","","1002012","1002012002",""
"21","vo_mhp","","","0","vo_mhp_0402","","","1002012","1002012003","0"
"11","100211","0","0","5","唉……如果是什麼\n不好的病，\n我該怎麼辦……","0","0","1002012","1002012004","0"
"91","0","","","","","","","1002012","1002012005",""
"3","100211","","","1","mhp_sit_idle_sad","0.2","","1002012","1002012006",""
"1","1","0","0","100","100211","1.7","mhp_sit_idle","1002013","1002013001","0"
"3","100211","","","1","mhp_yui_sit_talk_wish","0.2","","1002013","1002013002",""
"21","vo_mhp","","","0","vo_mhp_0403","","","1002013","1002013003","0"
"11","100211","0","0","4","診察結果終於……\n我、我緊張到\n心跳加快了……！","0","0","1002013","1002013004","0"
"91","0","","","","","","","1002013","1002013005",""
"3","100211","","","1","mhp_sit_idle_sad","0.2","","1002013","1002013006",""
"1","1","-240","0","100","100211","1.7","mhp_idle_normal","1007401","1007401001","-1000"
"1","1","-220","1","100","117531","1.7","mhp_sit_idle","1007401","1007401002","185"
"1","1","-200","1","100","117631","1.7","mhp_sit_idle","1007401","1007401003","365"
"31","1","0.85","","-240","1","1","","1007401","1007401004","-154"
"31","23","0.85","","-230","123","0","","1007401","1007401005","-18"
"5","1","-220","0","110","11","1.7","NoItem","1007401","1007401006","-200"
"5","1","-220","0","105","12","1.7","NoItem","1007401","1007401007","-200"
"5","1","-220","1","110","21","1.7","NoItem","1007401","1007401008","185"
"5","1","-220","1","105","22","1.7","NoItem","1007401","1007401009","185"
"6","11","0","0","1","1","0","","1007401","1007401010","1"
"6","12","0","0","1","1","0","","1007401","1007401011","1"
"6","21","0","0","1","1","0","","1007401","1007401012","1"
"6","22","0","0","1","1","0","","1007401","1007401013","1"
"5","1","-220","0","110","31","1.7","NoItem","1007401","1007401014","-1000"
"91","0","","","","","","","1007401","1007401015",""
"3","117531","","","1","mhp_sit_talk_normal","0.2","","1007401","1007401016",""
"21","vo_mhp_1007401","","","0","vo_mhp_4001","","","1007401","1007401017","0"
"11","117531","0","0","7","下一位請進～","0","0.5","1007401","1007401018","0"
"91","0","","","","","","","1007401","1007401019",""
"3","117531","","","1","mhp_sit_idle","0.2","","1007401","1007401020",""
"3","100211","","","1","mhp_anna_walk_sad","0.2","","1007401","1007401021",""
"2","100211","0","","-220","-200","","","1007401","1007401022","4"
"3","31","","","1","NoItem","0.2","","1007401","1007401023",""
"2","31","0","","-220","-200","","","1007401","1007401024","4"
"91","0","","","","","","","1007401","1007401025",""
"3","100211","1","0.2","0","mhp_sit_in_sad","0.2","","1007401","1007401026","mhp_sit_idle_sad"
"93","1","","","","","","","1007401","1007401027",""
"3","100211","","","1","mhp_sit_talk_sad","0.2","","1007401","1007401028",""
"21","vo_mhp_1007401","","","0","vo_mhp_4002","","","1007401","1007401029","0"
"11","100211","0","0","7","那、那個……久疏問候，好久不見。","0","0.5","1007401","1007401030","1"
"91","0","","","","","","","1007401","1007401031",""
"3","100211","","","1","mhp_sit_idle_sad","0.2","","1007401","1007401032",""
"3","117531","","","1","mhp_sit_talk_normal","0.2","","1007401","1007401033",""
"21","vo_mhp_1007401","","","0","vo_mhp_4003","","","1007401","1007401034","0"
"11","117531","0","0","6","好久不見，優衣。\n上次見面是在大家\n一起去大江戶町的那時候呢。","0","0.5","1007401","1007401035","1"
"91","0","","","","","","","1007401","1007401036",""
"3","117531","","","1","mhp_sit_idle","0.2","","1007401","1007401037",""
"3","100211","","","1","mhp_sit_talk_memory","0.2","","1007401","1007401038",""
"3","31","","","1","mhp_yui_sit_talk_memory","0","","1007401","1007401039",""
"21","vo_mhp_1007401","","","0","vo_mhp_4004","","","1007401","1007401040","0"
"11","100211","0","0","3","是啊，那時候雖然很辛苦，\n卻過得很開心呢，\n真想再去泡溫泉──\n溫、泉……啊，啊……","0","1.5","1007401","1007401041","1"
"93","14","","","","1","","","1007401","1007401042",""
"3","100211","","","1","mhp_yui_hot","0.2","","1007401","1007401043",""
"3","31","","","1","mhp_yui_hot","0.2","","1007401","1007401044",""
