9548ef6d0441bcf3da6c081c51e1dc48f3be2a1b2878f566e36116ed04dd8191,4cc9f7fce429f2562820dc9f16c2afca5e622b1b0996df4a48daf2b0ad604a1d,d0a6e07a04dab7835aee34fb6f7ec147f28f85d6eb27fe1eead9a5967ef5f90e
"50183","1","101"
"50183","2","102"
"50183","3","103"
"50183","4","104"
"50183","5","1"
"50183","6","2"
"50183","7","3"
"50183","8","4"
"50183","9","5"
"50183","10","6"
"50217","1","105"
"50217","2","101"
"50217","3","102"
"50217","4","103"
"50217","5","104"
"50217","6","1"
"50217","7","2"
"50217","8","3"
"50217","9","4"
"50217","10","5"
"50217","11","6"
"50248","1","105"
"50248","2","101"
"50248","3","102"
"50248","4","103"
"50248","5","104"
"50248","6","1"
"50248","7","2"
"50248","8","3"
"50248","9","4"
"50248","10","5"
"50248","11","6"
"50278","1","105"
"50278","2","101"
"50278","3","102"
"50278","4","103"
"50278","5","104"
"50278","6","1"
"50278","7","2"
"50278","8","3"
"50278","9","4"
"50278","10","5"
"50278","11","6"
"50309","1","105"
"50309","2","101"
"50309","3","102"
"50309","4","103"
"50309","5","104"
"50309","6","1"
"50309","7","2"
"50309","8","3"
"50309","9","4"
"50309","10","5"
"50309","11","6"
