3ad5c71fce4ff24eae41009b4202fcf22558b837dee9f15f44d6b2c140d8b86d,ba0ee0bd44adbfee21a4c480ae5a22c07ce6daa368650a2ef6f5c32af0599f92,3feca8201ecfb382a7d319c982d0a926690ecf7a829654235aed12950f90f506,0f4c58aa2d6f8bdf70fa557bbfd2345bd7af0857f273a0ea4c9997be6d0c0150,d168c5002d4644c042c94e54c2bf6731279f09e85e0c52a85c1ce6f509edd62e,bbc9e7c03f3a346414e15ac87d3d870d0d4d1f0926421ea48be0f08a119032e6,7bba9dc4f0002708ef2bd4a53cbd4f2a2d8ba2302e2a4eddaf953cb986ed7190,27de051d82276083417175a78404d92406ad501915a432038fa4f60d9464df94,57640b49e342dd3194608e5cea3a781abdebb096f26572777a9bc422a679b350
"1002","達成公主騎士RANK 5","20021","5","1","0","129","1001","1001"
"1002","達成公主騎士RANK 10","20021","10","1","0","129","1002","1002"
"1002","達成公主騎士RANK 30","20021","30","1","0","129","1003","1003"
"1002","達成公主騎士RANK 50","20021","50","1","0","129","1004","1004"
"1002","達成公主騎士RANK 100","20021","100","1","0","129","1005","1005"
"1002","達成公主騎士RANK 150","20021","150","1","0","129","1006","1006"
"1002","達成公主騎士RANK 200","20021","200","1","0","129","1007","1007"
"1002","達成公主騎士RANK250","20021","250","1","0","129","1007","1008"
"1002","達成公主騎士RANK300","20021","300","1","0","129","1007","1009"
"1003","讓火屬性的屬性等級提升到50","20022","50","2","1","129","2001","2001"
"1003","讓火屬性的屬性等級提升到100","20022","100","2","1","129","2002","2002"
"1003","讓火屬性的屬性等級提升到150","20022","150","2","1","129","2003","2003"
"1003","讓火屬性的屬性等級提升到200","20022","200","2","1","129","2004","2004"
"1003","讓火屬性的屬性等級提升到250","20022","250","2","1","129","2005","2005"
"1003","讓火屬性的屬性等級提升到300","20022","300","2","1","129","2006","2006"
"1003","讓火屬性的屬性等級提升到350","20022","350","2","1","129","2007","2007"
"1003","讓火屬性的屬性等級提升到400","20022","400","2","1","129","2008","2008"
"1003","讓火屬性的屬性等級提升到450","20022","450","2","1","129","2009","2009"
"1003","讓火屬性的屬性等級提升到500","20022","500","2","1","129","2010","2010"
"1003","讓水屬性的屬性等級提升到50","20022","50","3","2","129","2001","3001"
"1003","讓水屬性的屬性等級提升到100","20022","100","3","2","129","2002","3002"
"1003","讓水屬性的屬性等級提升到150","20022","150","3","2","129","2003","3003"
"1003","讓水屬性的屬性等級提升到200","20022","200","3","2","129","2004","3004"
"1003","讓水屬性的屬性等級提升到250","20022","250","3","2","129","2005","3005"
"1003","讓水屬性的屬性等級提升到300","20022","300","3","2","129","2006","3006"
"1003","讓水屬性的屬性等級提升到350","20022","350","3","2","129","2007","3007"
"1003","讓水屬性的屬性等級提升到400","20022","400","3","2","129","2008","3008"
"1003","讓水屬性的屬性等級提升到450","20022","450","3","2","129","2009","3009"
"1003","讓水屬性的屬性等級提升到500","20022","500","3","2","129","2010","3010"
"1003","讓風屬性的屬性等級提升到50","20022","50","4","3","129","2001","4001"
"1003","讓風屬性的屬性等級提升到100","20022","100","4","3","129","2002","4002"
"1003","讓風屬性的屬性等級提升到150","20022","150","4","3","129","2003","4003"
"1003","讓風屬性的屬性等級提升到200","20022","200","4","3","129","2004","4004"
"1003","讓風屬性的屬性等級提升到250","20022","250","4","3","129","2005","4005"
"1003","讓風屬性的屬性等級提升到300","20022","300","4","3","129","2006","4006"
"1003","讓風屬性的屬性等級提升到350","20022","350","4","3","129","2007","4007"
"1003","讓風屬性的屬性等級提升到400","20022","400","4","3","129","2008","4008"
"1003","讓風屬性的屬性等級提升到450","20022","450","4","3","129","2009","4009"
"1003","讓風屬性的屬性等級提升到500","20022","500","4","3","129","2010","4010"
"1003","讓光屬性的屬性等級提升到50","20022","50","5","4","129","2001","5001"
"1003","讓光屬性的屬性等級提升到100","20022","100","5","4","129","2002","5002"
"1003","讓光屬性的屬性等級提升到150","20022","150","5","4","129","2003","5003"
"1003","讓光屬性的屬性等級提升到200","20022","200","5","4","129","2004","5004"
"1003","讓光屬性的屬性等級提升到250","20022","250","5","4","129","2005","5005"
"1003","讓光屬性的屬性等級提升到300","20022","300","5","4","129","2006","5006"
"1003","讓光屬性的屬性等級提升到350","20022","350","5","4","129","2007","5007"
"1003","讓光屬性的屬性等級提升到400","20022","400","5","4","129","2008","5008"
"1003","讓光屬性的屬性等級提升到450","20022","450","5","4","129","2009","5009"
"1003","讓光屬性的屬性等級提升到500","20022","500","5","4","129","2010","5010"
"1003","讓闇屬性的屬性等級提升到50","20022","50","6","5","129","2001","6001"
"1003","讓闇屬性的屬性等級提升到100","20022","100","6","5","129","2002","6002"
"1003","讓闇屬性的屬性等級提升到150","20022","150","6","5","129","2003","6003"
"1003","讓闇屬性的屬性等級提升到200","20022","200","6","5","129","2004","6004"
"1003","讓闇屬性的屬性等級提升到250","20022","250","6","5","129","2005","6005"
"1003","讓闇屬性的屬性等級提升到300","20022","300","6","5","129","2006","6006"
"1003","讓闇屬性的屬性等級提升到350","20022","350","6","5","129","2007","6007"
"1003","讓闇屬性的屬性等級提升到400","20022","400","6","5","129","2008","6008"
"1003","讓闇屬性的屬性等級提升到450","20022","450","6","5","129","2009","6009"
"1003","讓闇屬性的屬性等級提升到500","20022","500","6","5","129","2010","6010"
"1004","完成強化10個節點","20023","10","7","0","129","7001","7001"
"1004","完成強化20個節點","20023","20","7","0","129","7002","7002"
"1004","完成強化30個節點","20023","30","7","0","129","7003","7003"
"1004","完成強化40個節點","20023","40","7","0","129","7004","7004"
"1004","完成強化50個節點","20023","50","7","0","129","7005","7005"
"1004","完成強化60個節點","20023","60","7","0","129","7006","7006"
"1004","完成強化70個節點","20023","70","7","0","129","7007","7007"
"1004","完成強化80個節點","20023","80","7","0","129","7008","7008"
"1004","完成強化90個節點","20023","90","7","0","129","7009","7009"
"1004","完成強化100個節點","20023","100","7","0","129","7010","7010"
"1004","完成強化110個節點","20023","110","7","0","129","7011","7011"
"1004","完成強化120個節點","20023","120","7","0","129","7012","7012"
"1004","完成強化130個節點","20023","130","7","0","129","7013","7013"
"1004","完成強化140個節點","20023","140","7","0","129","7014","7014"
"1004","完成強化150個節點","20023","150","7","0","129","7015","7015"
"1004","完成強化160個節點","20023","160","7","0","129","7016","7016"
"1004","完成強化170個節點","20023","170","7","0","129","7017","7017"
"1004","完成強化180個節點","20023","180","7","0","129","7018","7018"
"1004","完成強化190個節點","20023","190","7","0","129","7019","7019"
"1004","完成強化200個節點","20023","200","7","0","129","7020","7020"
"1004","完成強化210個節點","20023","210","7","0","129","7021","7021"
"1004","完成強化222個節點","20023","222","7","0","129","7022","7022"
"1005","完成強化5個節點","20024","5","8","0","129","8001","8001"
"1005","完成強化10個節點","20024","10","8","0","129","8002","8002"
"1005","完成強化15個節點","20024","15","8","0","129","8003","8003"
"1005","完成強化20個節點","20024","20","8","0","129","8004","8004"
"1005","完成強化25個節點","20024","25","8","0","129","8005","8005"
"1005","完成強化33個節點","20024","33","8","0","129","8006","8006"
"1005","完成強化40個節點","20024","40","8","0","129","8007","8007"
"1005","完成強化50個節點","20024","50","8","0","129","8007","8008"
"1005","完成強化60個節點","20024","60","8","0","129","8007","8009"
"1005","完成強化66個節點","20024","66","8","0","129","8007","8010"
