0103f1a962740743aed5d27499eb368410e9b0955b98b083afc61f2d9a35052f,121190a07023aea332890c21918e683329fe591d9584ab2af8f2cab4b01be0fd,a904e253b75461d2461370a79ed607373e01bbb1b833b3085d96cbc100df4cb5,9c051ec6296fd0de975b9b4fadc67d3a15b312b0b32f7062f56f0b67aac74d51
"4","10011","【加速】4以上：\nＴＰ上升＋30\n可重複的行動速度＋100％\n","1"
"9","10012","【加速】9以上：\n必殺技發動時【烈風】＋１（最大99）\n每20秒展開物理/魔法造成傷害提升的領域\n（【烈風】數×1％）\n","1"
"15","10013","【加速】15以上：\n每9秒恢復ＴＰ1000\n","1"
"4","10021","【虛弱】4以上：\n對敵方全體施加黑炎（每秒1萬傷害，每次提升5％傷害）\n","2"
"9","10022","【虛弱】9以上：\n對敵方的持續傷害＋1000％（最大50萬傷害）\n","2"
"15","10023","【虛弱】15以上：\n依照虛弱效果數提升敵方受到的傷害（目標的虛弱效果數\n×50％，最大＋500％）\n且對敵方的持續傷害＋1000％（最大50萬傷害）\n","2"
"4","10031","【會心】4以上：\n物理/魔法暴擊傷害＋100％\n","3"
"9","10032","【會心】9以上：\n物理/魔法暴擊＋2000\n","3"
"15","10033","【會心】15以上：\n暴擊發生時【看破】＋１（最大99）\n每20秒隨機給予1位敵人固定傷害×５次\n（每次5萬＋目標的【看破】數×5萬傷害）\n","3"
"4","10041","【強化】4以上：\n戰鬥開始20秒後，展開提升物理/魔法攻擊力的領域（目前數值＋30％）\n緩和對敵方的傷害值衰減量\n","4"
"9","10042","【強化】9以上：\n且戰鬥開始40秒後，展開提升物理/魔法攻擊力的領域（目前數值＋50％）\n並緩和對敵方的傷害值衰減量\n","4"
"15","10043","【強化】15以上：\n且戰鬥開始60秒後，展開提升物理/魔法攻擊力的領域（目前數值＋70％）\n並緩和對敵方的傷害值衰減量\n","4"
"4","10051","【守備】4以上：\n全傷害降低33%\n","5"
"9","10052","【守備】9以上：\n每15秒對1位敵人造成物理和魔法固定傷害\n（我方全體的目前ＨＰ合計×200傷害）\n","5"
"15","10053","【守備】15以上：\n每15秒展開物理/魔法造成傷害提升的領域\n（我方全體的目前ＨＰ合計×0.0001％，最大200％）\n","5"
