1cec05db4346251cd24056a68b2235da3d61c999bb2d898ca8c10cc2254c5d10,ee8046e5a756ee93b9d6734af590ce678bacd779a81599257930a30eb2976205,e2a29441d2add4ef27f49760e1f17f86338b5e13b5db28d4e4ced912b7c6d714,aef375f74db4b69c2c089919678ee7ead40299d60966d45aa6abf2a0a88eee67,e28ae48e17bc88b79166f25a9e7f90595c0a77c42d0ed4d8ed276e46eaea2359,77f4604f6871ca05f2cee144cab4606025f306d0ba083a98054843c428816442,2c3cc830608d8391ab312e1005b65c039008b5e8439af5902cded218d49e9874,d825c09861290c7ecfc39a3b2869493824390abb71c4ce69470487ea8fcf2944,6593a037e99b8b4e5882e3d09a09afe74a9116b7c7da4a29b3d62279bc18095c,7c8293a787c65425c2d5353e4805f047936a4f8ab5dc594a309f7ba9235d4eef,662326148720d7c0da751571cfbcd28fabd6e12864b4bce2a581b4b44357d38f,e7d040d96d98160b42a0b583d6a1c77be914306ddbb446598dae42cccea028c9,f3d36ff251c94104645a553a0707e8c57b92a9a9b7672853047ad247817c7045,47b0abed9f990121ee0d87f86587e1b3ac9b24a4369c81eb049af8605f0e40bf,9ea60b69cddaeb788ffe717a0be17a14979557b96275c525c7be362097d14be6,42ebec93f840e4877273e89b6a66afedbfea89cf3034709030bf493fb88c70cf,ba474095b4792a8f22fb35114baa9854e1f5d2916c615aa24269f3f2745330b3,8e0085a27136e80234faf3581ce028ab07543a6339b0355d79fdb2c4a19c093d,30943dca50e913fb5383b911367b769d5136de86e961844ce0f4c2d2bac6ac49,008f3563305b85ac221df2f5eb48db7c112c8846dc70e46aa5ea78afc3d096ab,b4f512ed6497cb08e6010666bdc795c83d3859bba478697ae8a693ff8c81fa7c
"30","1","3","30","0","2.4","單體物理傷害+{0}","100100101","0","0","0","0","1","0","1","-1","1","1","1","0","對敵方單體造成{0}的物理傷害"
"0","3","3","50","0","500","","100100102","0","0","0","0","1","0","3","-1","1","1","99","0",""
"13.5","1","3","13.5","0","1.08","範圍物理傷害+{0}","100100103","0","0","0","0","1","0","1","400","2","1","99","0","對範圍內的敵人造成{0}的物理傷害"
"20","1","3","20","0","1.6","物理傷害+{0}","100100201","0","0","0","0","1","0","1","-1","1","1","1","0","對敵方單體造成{0}的物理傷害"
"8","1","1","8","0","0.6","物理傷害+{0}","100100301","0","0","0","0","1","0","1","0","1","1","1","0","對敵方單體造成{0}的物理傷害"
"11","10","7","1","0","11","物理攻擊力提升+{0}","100100302","0","12","1","1","1","0","10","0","1","2","1","0","提升自身{0}的物理攻擊力"
"60","1","3","60","0","4.8","單體物理傷害+{0}","100101101","0","0","0","0","1","0","1","-1","1","1","1","0","對敵方單體造成{0}的物理傷害"
"45","1","3","45","0","3.6","範圍物理傷害+{0}","100101102","0","0","0","0","1","0","1","600","2","1","99","0","對範圍內的敵人造成{0}的物理傷害"
"20","1","3","20","0","1.6","單體物理傷害+{0}","100101201","0","0","0","0","1","0","1","-1","1","1","1","0","對敵方單體造成{0}的物理傷害"
"9","1","3","9","0","0.72","範圍物理傷害+{0}","100101202","0","0","0","0","1","0","1","400","2","1","99","0","對範圍內的敵人造成{0}的物理傷害"
"15","90","0","1","0","15","物理攻擊力提升+{0}","100150101","0","1","0","0","1","0","2","0","0","0","0","0","提升自身{0}的物理攻擊力"
"240","90","0","1","0","15","物理攻擊力提升+{0}","100151101","0","1","0","0","1","0","2","0","0","0","0","0","提升自身{0}的物理攻擊力"
"6","4","3","1","0","6","HP回復量+{0}","100200101","0","0.45","0","0","1","0","2","2160","3","2","99","0","回復我方全體{0}的HP"
"15","1","3","15","0","1.2","魔法傷害+{0}","100200201","0","0","0","0","1","0","2","-1","1","1","1","0","對敵方單體造成{0}的魔法傷害"
