19c784c5ab2712dcfef2e2231ff08045774c42591155f8319c288cc55e76890e,98a27cc7028c0233ef53da41745840eddbbbc60568bb8a4ad4bd7ad2411132da,7cebcd40c294f999e91727b8550ed48b28c0326a11b0786f1fab86ccaf9c182b,a27759c3a6acbe38f8f49d51090aa6fbe0a8ae14af96b3420b975c7802d0ae1b,87e76d4e401f799399156f15610084da1fba95d8d3c40f7ab618cc980af544a5,5a22f5e486fa16a4a5839bf8fe17e9f70075bfc8ae8d9576359aaa96bf3fadd3,17c56c0d3da3841686fdeb05e512d40ea29e601ffb9801ebb8eb99b884046091,ffc754484bc84c9192481ba03f315b6eef4d0d6bc19893908ccd80947a2dc725,5b30e8da4c61b6e2958b33d5efb1b6c8419ceb4f3e1861de7c1067c4c1bbbcef,e41255a4e9165f5e9e306af67aecffe9a50c3e73cf473dc51513ff3396124757,5f74c8cb54b46a2320fc97b4062ab2dbccdfb8a604d5ab17d000a03036d89a4c,c0336d1bfba7c2dd9a909d20d1782f096b356b357b59fdd56dbd1b0961428a96,03fbc5c4ac876582c1552343ddb455de22cd5992c457d3aee328dbb00d422ef7,5e8f646b631eb45d7f5457427d8b6941bcc5ad4c21ace0f6ecd443cd0d17754e,756bfd7527f24a011c5789e159cf1c8ee76b1f7e0ae80fd0a32369795d902e8d,f03dac3ae2bb7dda53b65c24467b836a41cea43a80d34897270b2aad1dc54307,4221d04f72aaab513acc0a127cff1b855967213d5e35be818a4f645a891ebaf0,81b8f68f9a4cc75f9abc33e7a4c6cc5abc8849b8e494fe94d3804e8428625969
"1","王都滅亡前倒數　～04/01 23:59","2020/04/01 07:59:59","250000000001","bgm_M220","1","500000000000","2020/04/01","1001","1","0","1001001","0","480","bgm_M220","4004101","100584","機械莉瑪來襲！"
"2","王都滅亡前倒數　～04/01 23:59","2020/04/01 12:59:59","150000000001","bgm_M220","1","250000000000","2020/04/01 08:00:00","1001","2","0","1001002","0","300","bgm_M220","4004102","100584","機械莉瑪來襲！"
"3","王都滅亡前倒數　～04/01 23:59","2020/04/01 17:59:59","50000000001","bgm_M220","1","150000000000","2020/04/01 13:00:00","1001","3","0","1001003","0","300","bgm_M220","4004103","100584","機械莉瑪來襲！"
"4","王都滅亡前倒數　～04/01 23:59","2020/04/01 19:59:59","25000000001","bgm_M220","1","50000000000","2020/04/01 18:00:00","1001","1","0","1001001","0","120","bgm_M220","4004104","100584","機械莉瑪來襲！"
"5","王都滅亡前倒數　～04/01 23:59","2020/04/01 23:59:59","0","bgm_M220","1","25000000000","2020/04/01 20:00:00","1001","2","0","1001002","0","240","bgm_M220","0","100584","機械莉瑪來襲！"
"8","王都滅亡前倒數　～04/01 23:59","2020/04/01 07:59:59","0","bgm_M220","1","0","2020/04/01","1001","1","0","1001004","0","480","bgm_M220","4004109","100584","機械莉瑪來襲！"
"9","王都滅亡前倒數　～04/01 23:59","2020/04/01 12:59:59","0","bgm_M220","1","0","2020/04/01 08:00:00","1001","2","0","1001005","0","300","bgm_M220","0","100584","機械莉瑪來襲！"
"10","王都滅亡前倒數　～04/01 23:59","2020/04/01 17:59:59","0","bgm_M220","1","0","2020/04/01 13:00:00","1001","3","0","1001006","0","300","bgm_M220","0","100584","機械莉瑪來襲！"
"11","王都滅亡前倒數　～04/01 23:59","2020/04/01 20:59:59","0","bgm_M220","1","0","2020/04/01 18:00:00","1001","1","0","1001004","0","180","bgm_M220","0","100584","機械莉瑪來襲！"
"12","王都滅亡前倒數　～04/01 23:59","2020/04/01 23:59:59","0","bgm_M220","1","0","2020/04/01 21:00:00","1001","2","0","1001005","0","180","bgm_M220","0","100584","機械莉瑪來襲！"
"15","蘭德索爾之戰 巨影復活　～04/01 23：59","2023/04/01 07:59:59","1250000000001","bgm_M220","1","2500000000000","2023/04/01","1002","1","0","1002001","0","480","bgm_M220","4004101","100584","巨影復活"
"16","蘭德索爾之戰 巨影復活　～04/01 23：59","2023/04/01 12:59:59","750000000001","bgm_M220","1","1250000000000","2023/04/01 08:00:00","1002","2","0","1002002","0","300","bgm_M220","4004102","100584","巨影復活"
"17","蘭德索爾之戰 巨影復活　～04/01 23：59","2023/04/01 17:59:59","250000000001","bgm_M220","1","750000000000","2023/04/01 13:00:00","1002","3","0","1002003","0","300","bgm_M220","4004103","100584","巨影復活"
"18","蘭德索爾之戰 巨影復活　～04/01 23：59","2023/04/01 19:59:59","125000000001","bgm_M220","1","250000000000","2023/04/01 18:00:00","1002","1","0","1002001","0","120","bgm_M220","4004104","100584","巨影復活"
"19","蘭德索爾之戰 巨影復活　～04/01 23：59","2023/04/01 23:59:59","0","bgm_M220","1","125000000000","2023/04/01 20:00:00","1002","2","0","1002002","0","240","bgm_M220","0","100584","巨影復活"
"22","蘭德索爾之戰 巨影復活　～04/01 23：59","2023/04/01 07:59:59","0","bgm_M220","1","0","2023/04/01","1002","1","0","1002004","0","480","bgm_M220","4004109","100584","巨影復活"
"23","蘭德索爾之戰 巨影復活　～04/01 23：59","2023/04/01 12:59:59","0","bgm_M220","1","0","2023/04/01 08:00:00","1002","2","0","1002005","0","300","bgm_M220","0","100584","巨影復活"
