6c567e11a2bcc1787e55908b8a6d17906dd81997cd0df7fdd69633f566ff7ea1,7192ef615414565589476f5c7272a9df15c1003a6aa7fb11343c061e40fcb9e1,a3c1b32fe75be4f0e44e69303b30f108f4522652b9de8508641f0344fdc56298,de9ecc1c55e98774fafd41bec354e321c5e8a2b69f2bd3687e1dd008dfd2787b,20f0bf46e7d9b67f8be234c6962dd349ea3a3d189c9c04c947dcddfd73f3af6c,53d88631de27711ed6438d2717ae15ab498a35fedfc10aeef3b989a98ad99321,2ad7a92e26576a17c3f4e75b32001cefc6b3d2532b286c222b5a3aca0f6742a8,973e4272fb8796fc3e15b2936bc5fd1574a9f299ce02937dfdece123f2f23345,48d6bae0fc0d952d0839adba869a21a4eced8cfa046f53e59d206faca7f8a2ec
"1101002","0","0","0","0","0","21","1101001","600"
"1101003","0","0","0","600","0","22","1101002","2400"
"1","0","50","0","-1500","0","20","1101003","1"
"1101012","0","0","0","0","0","21","1101011","900"
"1101013","0","0","0","700","0","22","1101012","2100"
"1","0","200","0","-1500","0","20","1101013","1"
"1101022","0","0","0","0","0","21","1101021","400"
"1101023","0","0","0","500","0","22","1101022","2000"
"1","0","350","0","-1500","0","20","1101023","1"
"1101032","0","0","0","0","0","21","1101031","1000"
"1101033","0","0","0","900","0","22","1101032","1800"
"1","0","500","0","-1500","0","20","1101033","1"
"1101042","0","0","0","0","0","21","1101041","500"
"1101043","0","0","0","800","0","22","1101042","1600"
"1","0","750","0","-1500","0","20","1101043","1"
"25","2","2","0","2","0","1","1101101","1"
"1","0","-100","0","-2000","0","20","1102001","1"
"20","2","10","0","2","0","1","1102101","1"
"200000","2","0","0","0","0","10","1102102","2"
"1103002","0","0","0","0","0","21","1103001","500"
"1000","2","0","0","0","0","3","1103002","0"
"-15","2","0","0","3000","0","2","1202001","3"
"15","1","0","0","30000","0","2","1204001","3"
"10","1","0","0","30000","0","2","1205001","3"
"10","1","0","0","30000","0","2","1206001","3"
"10","1","0","0","30000","0","2","1207001","3"
"15","1","0","0","3000","0","2","1208001","2"
"25","1","0","0","3000","0","2","1209001","1"
"10","1","0","0","3000","0","2","1210001","2"
"1210003","0","0","0","0","0","21","1210002","3000"
"15","1","0","0","30000","0","2","1210003","1"
"-10","1","0","0","3000","0","2","1211001","2"
"1211003","0","0","0","0","0","21","1211002","3000"
"-15","2","0","0","30000","0","2","1211003","1"
"-10","2","0","0","30000","0","2","1213001","1"
"-10","2","0","0","30000","0","2","1213002","2"
"-25","2","0","0","1500","0","2","1214001","3"
"-20","2","0","0","3000","0","2","1216001","3"
"20","1","0","0","30000","0","2","1218001","3"
"15","1","0","0","30000","0","2","1219001","3"
"15","1","0","0","30000","0","2","1220001","3"
"15","1","0","0","30000","0","2","1221001","3"
"20","1","0","0","3000","0","2","1222001","2"
"30","1","0","0","3000","0","2","1223001","1"
"15","1","0","0","3000","0","2","1224001","2"
"1224003","0","0","0","0","0","21","1224002","3000"
"20","1","0","0","30000","0","2","1224003","1"
"-10","1","0","0","3000","0","2","1225001","2"
"1225003","0","0","0","0","0","21","1225002","3000"
"-20","2","0","0","30000","0","2","1225003","1"
"-15","2","0","0","30000","0","2","1227001","1"
"-15","2","0","0","30000","0","2","1227002","2"
"-35","2","0","0","1500","0","2","1228001","3"
"20","1","0","0","30000","0","2","1229001","3"
"20","1","0","0","3000","0","2","1230001","2"
"1230003","0","0","0","0","0","21","1230002","3000"
"50","1","0","0","30000","0","2","1230003","1"
"-25","2","0","0","3000","0","2","1232001","3"
