6a2936a2ec7f272445d31916c236dfe3db1a9b4cf78976504730125194d203ba,e4b53865dea85c2b3488d999d8895a18d3cd9a2bd215abd1b45545c4148ed4a8,a8e1f24a68d97f3fa839403a1587d16b033bb1803a2dfdabe673a89f3badcbfe,7e5387629a2fcfe960fcb18b66a7321fabc6612090569d22b3d3a9175afc4c02,84e02abdaf34cd6276ee8052016437d03fe1ae3d9c23b1fa798c5e4625178d4b,0052949e949336efd49ea188d31f2c062dcfb983a60670de81fe18e3810c5878,d4a832041f84a615fd9ba5ba63b5728cf52cc3e2fbdd22f3b42dd1859a6d330b,17b7261a7ab82eb12e442296dba8c811ad06c9932d168d2681dc0696c0c29180,c80e8ca5b7014dcf197988ac2b5f841648d649451f5b40823feb8d3df56dca42,27d06861bc1bc4711c822924dd321a9dd2d961c058f9ba5bd0705bd37be46eba,615c4661eb19205f01a2a85f865648807903684009f839e7fad0b159eabfccc4,74f822da1971aa5ae1b6449fd9fa4cf850a8bdf32c6a71350775715fc75f815e,657633a785bd1c6df7b871493bca972c3c9cd2446c250c733eb63c17f93c1357
"10010484","57","0","1","10010001","0","0","0","1","0","0","0","0"
"10010100","59","10010674","1","10010099","0","0","0","2","0","1","0","0"
"10010101","58","10010099","1","10010100","0","0","0","11","0","10001","0","0"
"10010102","57","10010100","1","10010101","0","0","0","12","0","0","0","0"
"10010103","56","10010101","1","10010102","0","0","0","2","0","1","0","0"
"10010104","55","10010102","1","10010103","0","0","0","2","0","2","0","0"
"10010105","54","10010103","1","10010104","0","0","0","4","0","0","0","0"
"10010106","53","10010104","1","10010105","0","0","0","3","0","1","0","0"
"10010107","52","10010105","1","10010106","0","0","0","12","0","0","0","0"
"10010559","51","10010106","1","10010107","0","0","0","5","0","0","0","0"
"10010111","48","10010560","1","10010110","0","0","0","2","0","2","0","0"
"10010561","47","10010110","1","10010111","0","0","0","6","0","0","0","0"
"10010114","45","10010561","1","10010113","0","0","0","2","0","3","0","0"
"10010562","44","10010113","1","10010114","0","0","0","11","0","10001","0","0"
"10010117","42","10010562","1","10010116","0","0","0","4","0","0","0","0"
"10010118","41","10010116","1","10010117","0","0","0","6","0","0","0","0"
"10010563","40","10010117","1","10010118","0","0","0","3","0","3","0","0"
"10010120","49","10010559","1","10010119","0","0","0","11","0","10001","0","0"
"10010121","48","10010119","1","10010120","0","0","0","4","0","0","0","0"
"10010565","47","10010120","1","10010121","0","0","0","2","0","3","0","0"
"10010566","45","10010565","1","10010123","0","0","0","2","0","2","0","0"
"10010126","43","10010566","1","10010125","0","0","0","7","0","10003","0","0"
"10010127","42","10010125","1","10010126","0","0","0","4","0","0","0","0"
"10010128","41","10010126","1","10010127","0","0","0","7","0","10001","0","0"
"10010563","40","10010127","1","10010128","0","0","0","2","0","2","0","0"
"10010131","38","10010563","1","10010130","0","0","0","7","0","10001","0","0"
"10010132","37","10010130","1","10010131","0","0","0","6","0","0","0","0"
"10010701","36","10010131","1","10010132","0","10010702","0","11","0","10001","0","0"
"10010705","34","10010701","1","10010153","0","0","0","12","0","0","0","0"
"10010161","29","10010708","1","10010158","0","0","0","14","0","5","0","0"
"10010162","28","10010158","1","10010161","0","0","0","4","0","0","0","0"
"10010163","27","10010161","1","10010162","0","0","0","2","0","2","0","0"
"10010164","26","10010162","1","10010163","0","0","0","3","0","1","0","0"
"10010165","25","10010163","1","10010164","0","0","0","14","0","3","0","0"
"10010166","24","10010164","1","10010165","0","0","0","11","0","10001","0","0"
"10010167","23","10010165","1","10010166","0","0","0","12","0","0","0","0"
"10010568","22","10010166","1","10010167","0","0","0","3","0","2","0","0"
"10010570","20","10010568","1","10010169","0","0","0","7","0","10002","0","0"
"10010174","18","10010570","1","10010173","0","0","0","3","0","2","0","0"
"10010175","17","10010173","1","10010174","0","0","0","7","0","10001","0","0"
"10010176","16","10010174","1","10010175","0","0","0","4","0","0","0","0"
"10010177","15","10010175","1","10010176","0","0","0","2","0","1","0","0"
"10010178","14","10010176","1","10010177","0","0","0","2","0","2","0","0"
"10010179","13","10010177","1","10010178","0","0","0","3","0","2","0","0"
"10010180","12","10010178","1","10010179","0","0","0","12","0","0","0","0"
"10010181","11","10010179","1","10010180","0","0","0","6","0","0","0","0"
