7ca6a18cd2e4ace89aec24e8edbef3e21a11ffd750924359dd7f63fdf7a0e397,d183aa2d018dfda0ead8da8f5bbe789471baa8bdf86e5030661d8ef188f28310,b76df451f7c25ae855395ebfe3d8de115d39450814e37f27b5f88c60cd080bb8,7bed0d27259379bfba8e3b9b4147a48bd2f6f7fd68579ac6c0705bb329b1fa6e
"0","9040001","11100","1"
"5","9050001","107101","2"
"5","9050001","108101","3"
"5","9050001","108301","4"
"0","9040002","11100","5"
"0","9040003","11100","6"
"0","9010001","91001","7"
"0","9020001","91001","8"
"0","9020001","91002","9"
"0","9040004","11101","10"
"0","9040005","11102","11"
