95582746ea3cc80aa4b7b4fb87b7beb28470cd236e49de6aa54d0ff4e6b31281,3a4f9f0a9d15743ca7f2d38213c9951d271a5ecd39ea584cd92dc825d4f0ef35,c3471de52b97b7906471f2129fe9b8354f85d09dd51395075c888b6e3d5f545c,3576233a27c235e8ce98bbe7197d80b52f9b2829a78f37500af83e9ef32c301a,7f781a0ae9d5b46621967ba076682552b695341cc64a75af38ec71ceec622c4f
"12","94002","1","100101","3000000"
"2","20004","2","100101","300"
"2","90008","3","100102","1000"
"2","25001","4","100103","6"
"12","94002","5","100104","1000000"
"2","20004","6","100104","300"
"2","90008","7","100105","1000"
"2","25001","8","100106","6"
"8","91002","9","100107","40"
"12","94002","10","100107","1000000"
"2","20004","11","100107","300"
"2","90008","12","100108","1000"
"2","41000","13","100109","1"
"2","25001","14","100109","7"
"12","94002","15","100110","1000000"
"2","20004","16","100110","400"
"2","90008","17","100111","1500"
"8","91002","18","100112","40"
"2","25001","19","100112","7"
"12","94002","20","100113","1000000"
"2","20004","21","100113","400"
"2","90008","22","100114","1500"
"2","41000","23","100115","1"
"2","25001","24","100115","7"
"12","94002","25","100116","1000000"
"2","20004","26","100116","500"
"8","91002","27","100117","40"
"2","90008","28","100117","1500"
"12","94002","29","100118","2000000"
"2","25001","30","100118","8"
"2","90008","31","100118","2000"
"12","94002","32","100201","3000000"
"2","20004","33","100201","300"
"2","90008","34","100202","1000"
"2","25001","35","100203","12"
"12","94002","36","100204","1000000"
"2","20004","37","100204","300"
"2","90008","38","100205","1000"
"2","25001","39","100206","10"
"8","91002","40","100207","40"
"12","94002","41","100207","1000000"
"2","20004","42","100207","300"
"2","90008","43","100208","1000"
"2","41000","44","100209","1"
"2","25001","45","100209","10"
"12","94002","46","100210","1000000"
"2","20004","47","100210","400"
"2","90008","48","100211","1500"
"8","91002","49","100212","40"
"2","25001","50","100212","9"
"12","94002","51","100213","1000000"
"2","20004","52","100213","400"
"2","90008","53","100214","1500"
"2","41000","54","100215","1"
"12","94002","55","100216","1000000"
"2","20004","56","100216","500"
"8","91002","57","100217","40"
"2","90008","58","100217","1500"
"12","94002","59","100218","2000000"
"2","90008","60","100218","2000"
"12","94002","61","100301","3000000"
"2","20004","62","100301","300"
"2","90008","63","100302","1000"
"2","25001","64","100303","12"
"12","94002","65","100304","1000000"
"2","20004","66","100304","300"
"2","90008","67","100305","1000"
"2","25001","68","100306","10"
"8","91002","69","100307","40"
"12","94002","70","100307","1000000"
"2","20004","71","100307","300"
"2","90008","72","100308","1000"
"2","41000","73","100309","1"
"2","25001","74","100309","10"
"12","94002","75","100310","1000000"
"2","20004","76","100310","400"
"2","90008","77","100311","1500"
"8","91002","78","100312","40"
"2","25001","79","100312","9"
"12","94002","80","100313","1000000"
"2","20004","81","100313","400"
"2","90008","82","100314","1500"
"2","41000","83","100315","1"
"12","94002","84","100316","1000000"
"2","20004","85","100316","500"
"8","91002","86","100317","40"
"2","90008","87","100317","1500"
"12","94002","88","100318","2000000"
"2","90008","89","100318","2000"
"12","94002","90","100401","3000000"
"2","20004","91","100401","300"
"2","90008","92","100402","1000"
"2","25001","93","100403","12"
"12","94002","94","100404","1000000"
