a13834f243a25564996298696769be0af0209519cb36db48fa317c30ab6e15e0,6614a787da53064881aa7e523e1377234762977fc844e158bbe424f288e2b878,370eb952c285bcdb0276976c4d2b2cc6eaa5bd0e5631edd1d783e1873db4f6bc
"106101","平常時","裝備中"
"106701","平常時","特殊技"
"106801","平常時","權能解放中"
"106901","平常時","特殊技"
"115801","平常時","變身中"
"116401","平常時","特殊技"
"118201","平常時","特殊技能"
"118501","平常時","特殊技"
"118601","平常時","特殊技能"
"120801","平常時","初次發動時"
"122001","平常時","特殊技"
"122301","平常時","共鬥中"
"122701","平常時","特殊技"
"123001","平常時","特殊技"
"125001","平常時","共鬥中"
"125801","平常時","特殊技能"
"126001","平常時","特殊技能"
"126101","平常時","特殊技能"
"126201","平常時","特殊技能"
"126401","平常時","【蓄電滿載】中"
"126501","平常時","特殊技能"
"129001","平常時","特殊技能"
"129301","平常時","特殊技能"
"129401","平常時","特殊技能"
"129501","平常時","初次發動時"
"129601","平常時","特殊技能"
"129701","平常時","特殊技能"
"130001","平常時","特殊技能"
"130101","平常時","特殊技能"
"131201","平常時","特殊技能"
"131801","平常時","特殊技能"
"132001","平常時","特殊技能"
"132101","平常時","鬼化中"
"132401","平常時","初次發動時"
"132901","平常時","初次發動時"
"133101","平常時","特殊技能"
"133801","平常時","召喚物技能"
"134501","平常時","特殊技能"
"134901","平常時","特殊技能"
"135001","平常時","特殊技能"
"135101","平常時","特殊技能"
"135201","平常時","特殊效果"
"135601","平常時","特殊技能"
"135901","平常時","初次發動時"
"136001","平常時","特殊技能"
"136101","平常時","特殊技能"
"137401","平常時","模式變動後"
"181201","平常時","特殊技能"
