2aeabb336c734a4c44abbf67da2c14eabc7f48fb12c3ace0664444e25969aeda,3b15480e2d3f1f592dceeff35d0bf720d9b5b95a21c75cda9745794f7181d335,f85547ce622480303587678650da3cf25c8581607e04c1749d7c3e69351e87f7,a5844f27eef8f436296650c54fa8f80e17222142643ca6e9135d8b0cbb8f4fac,3e2e984bd7a94942e9969f3370ad41d36d44f80d19bb79453058c2cfc12b4a41,0c8ff88ffb064742b5bfe64437f4331510148301dd7c11ccb2df13573bbbe270,04187945c46f607e80b0e60bc42b89525be57d309d030b135bbf2321051b7358,4b31c6c3286ba6b0c5d0f32be5108e0cb546d3ff535dd8606d5ab7eda3ee7c93,89550f3bb4662e77697c89bba360855c37d3fca46c1fcc7c96ea039385b7cf7c,6108c6c392332adeab4b973a5ef96c0ef508a3774f35229b40a816de65d1d7d1,41f9241576482e1702a1ae7bc6ea724709bf58fb90582ee40e74de48dca6d03b,bf5d91c1fea80e9be5efa657f8b12624df7a4e737625e82bc3968a596ce94a5f,bec4e668d1f710ccb0d0af3bce523bd63bfaaf832c1a9d0e042bf95cb4699880,95bd1c8f7102600eda2c8a5462afe88b5dc16d647a8c20c3e9808a06eed3329e,389961c8b75aea5cbc4b0ae41179061a37e73198e13a9e71222ad690541031a1,7324f02a18db283775f8275b61a027e50edc9d38dd5022873b014d57e5450f10,29b57f7c7c3d97998604355ebfe5e9024b163f48315479d77ea0d18edc79feef,04366a96ab83b11214861828d664b8ab6c8333e89c2da4fe8b35af0c528420de
"150000","0","1","8","12","22003","20","2","0","5","150","91002","0","94002","20003","1","5","2"
"100000","0","6","8","12","22003","15","2","0","2","145","91002","0","94002","20003","2","9","2"
"80000","0","10","8","12","22002","11","2","0","5","140","91002","0","94002","20003","3","19","2"
"80000","0","20","8","12","22002","10","2","0","5","130","91002","0","94002","20003","4","29","2"
"70000","0","30","8","12","22002","9","2","0","4","120","91002","0","94002","20003","5","39","2"
"70000","0","40","8","12","22002","8","2","0","4","110","91002","0","94002","20003","6","49","2"
"60000","0","50","8","12","22002","7","2","0","3","100","91002","0","94002","20003","7","99","2"
"40000","0","100","8","12","22002","2","2","0","2","80","91002","0","94002","20003","8","499","2"
"20000","0","500","8","12","22002","7","2","0","1","50","91002","0","94002","20002","9","999","2"
"16000","0","1000","8","12","22001","4","2","0","3","20","91002","0","94002","20002","10","4999","2"
"9000","0","5000","8","12","22001","3","2","0","2","15","91002","0","94002","20002","11","9999","2"
"4000","0","10000","8","12","22001","8","2","0","1","10","91002","0","94002","20001","12","11999","2"
"3000","0","12000","8","12","22001","7","2","0","1","5","91002","0","94002","20001","13","13999","2"
"2000","0","14000","8","12","22001","6","2","0","1","4","91002","0","94002","20001","14","14999","2"
"1800","0","15000","8","12","22001","5","2","0","1","3","91002","0","94002","20001","15","30000","2"
