90148182ba4a2c119dad1c7cd7d1f02b9e1f9ae154ea08a22a5159f0c7196752,65838c27b9b85997a4057416e2c120fdeb2bb3f7d1935ad94aebc26c9bd03972,196728550cf4305aec1e63bf79da22f7879368fb1ba727965aa9fbcb9327c489,c65b2afac326807a04ca46e1bd4bc29854faa20b31ff37c991121c6837a08187,3eb6af4b0e10c0a0e60b9ae8021e224a44a8dea7924973761fe8aec31cb60c4a,75307146e950e71f6db20d2eeb11cfdfbde4b1d178bf65860aa7f1417d7adca5,4df024f75348e8427ff6b67e3727b2a7100bf96bf289020808dfc8966e7397ea,5eff6920c9181360ef08b36a18b138bf2357c324fc1b74407139e559b613da11,1a7438cc01d9c5a7e38c0c12a79669034da2cb4e9e405359ba674fd6185a5be0
"3","1","1","1","2","獨一無二的","0","1","1"
"3","1","1","1","2","完美無缺的","0","1","2"
"3","1","1","1","2","蘭德索爾最快的","1","1","3"
"3","1","1","1","2","明鏡止水的","0","1","4"
"3","1","1","1","2","史上最快的","0","1","5"
"3","1","1","1","2","最強最快的","0","1","6"
"3","1","1","1","2","極限的","2","1","7"
"3","1","1","1","2","一百分滿分","0","1","8"
"3","1","1","1","2","最優秀的","0","1","9"
"3","1","1","1","2","橫掃千軍的","0","1","10"
"3","1","1","1","2","獨一無二的","0","1","11"
"3","1","1","1","2","天下無雙的","0","1","12"
"3","1","0","1","2","泰然自若的","0","1","13"
"3","1","0","1","2","極度的","0","1","14"
"3","1","0","1","2","Light Speed","0","1","15"
"3","1","0","1","2","稀世的","0","1","16"
"3","1","0","1","2","極限的","0","1","17"
"3","1","0","1","2","至高的","0","1","18"
"3","1","0","1","2","閃耀的","0","1","19"
"3","1","0","1","2","千錘百鍊的","0","1","20"
"3","1","0","1","2","疾風迅雷的","0","1","21"
"3","1","0","1","2","電光石火的","0","1","22"
"3","0","1","1","2","變化自如的","0","1","23"
"3","0","1","1","2","空前絕後的","0","1","24"
"3","0","1","1","2","代表性的","0","1","25"
"3","0","1","1","2","音速的","0","1","26"
"3","0","1","1","2","超乎常理的","0","1","27"
"3","0","1","1","2","勇猛奮鬥的","0","1","28"
"3","0","1","1","2","勇猛果敢的","2","1","29"
"3","0","1","1","2","威風凜凜的","2","1","30"
"3","0","1","1","2","欲速則不達的","0","1","31"
"3","0","1","1","2","心態良好的","0","1","32"
"3","0","0","1","2","夢想的","0","1","33"
"3","0","0","1","2","佳的","0","1","34"
"3","0","0","1","2","一般般的","0","1","35"
"3","0","0","1","2","新手標記的","2","1","36"
"3","0","0","1","2","有未來的","0","1","37"
"3","0","0","1","2","新手的","0","1","38"
"3","0","0","1","2","初出茅廬的","0","1","39"
"3","0","0","1","2","慢慢的","0","1","40"
"3","0","0","1","2","新銳的","0","1","41"
"3","0","0","1","2","不屈不撓的","0","1","42"
"3","0","0","1","2","百折不撓的","0","1","43"
"3","0","0","1","2","努力的","0","1","44"
"3","1","1","1","2","被選中的","0","2","45"
"3","1","1","1","2","極限的","2","2","46"
"3","1","1","1","2","海藍色的","1","2","47"
"3","1","1","1","2","受海所愛的","2","2","48"
"3","1","1","1","2","統御大海的","2","2","49"
"3","1","1","1","2","傳說的","0","2","50"
"3","1","1","1","2","震撼世界的","2","2","51"
"3","1","1","1","2","超級狂野的","1","2","52"
"3","1","1","1","2","奇蹟般的","0","2","53"
"3","1","1","1","2","一馬當先的","2","2","54"
"3","1","0","1","2","無人能擋的","1","2","55"
"3","1","0","1","2","熱血沸騰的","2","2","56"
"3","1","0","1","2","百萬的","0","2","57"
"3","1","0","1","2","與生俱來的","1","2","58"
"3","1","0","1","2","大海的","0","2","59"
"3","1","0","1","2","腎上腺素全開的","1","2","60"
