a0a3c7793a09059034d1dfb7d60137ddcdcd8d30420e4edf81c803d9eb4b83ab,9e3b09380fb3bd4759980f8a078f2ac14f34f2cf828695f0f49cb6d694226239,5db1414b239d697bf9fb269cb5c473341f9a3f49f1175d0ae5c3b83cc39b1006,5bd58631ee6143fc3af562f47f434405b0d53bf92730a31d0df8aa3edb71885e,4d3712e5833b48d05d7c0687b0c4279764af996cb70ebbbdb20d60c4e4f86172
"10001","53001","1","22","10001001"
"10001","53004","1","22","10001002"
"10001","53007","1","22","10001003"
"10001","53010","1","22","10001004"
"10001","53013","1","22","10001005"
"10001","53016","1","22","10001006"
"10001","53019","1","22","10001007"
"10001","53022","1","22","10001008"
"10001","53002","1","22","10001009"
"10001","53005","1","22","10001010"
"10001","53008","1","22","10001011"
"10001","53011","1","22","10001012"
"10001","53014","1","22","10001013"
"10001","53017","1","22","10001014"
"10001","53020","1","22","10001015"
"10001","53023","1","22","10001016"
"10002","53001","1","22","10002001"
"10002","53002","1","22","10002002"
"10002","53005","1","22","10002003"
"10002","53008","1","22","10002004"
"10002","53011","1","22","10002005"
"10002","53014","1","22","10002006"
"10002","53017","1","22","10002007"
"10002","53020","1","22","10002008"
"10002","53023","1","22","10002009"
"10002","53003","1","22","10002010"
"10002","53006","1","22","10002011"
"10002","53009","1","22","10002012"
"10002","53012","1","22","10002013"
"10002","53015","1","22","10002014"
"10002","53018","1","22","10002015"
"10002","53021","1","22","10002016"
"10002","53024","1","22","10002017"
"10003","53002","1","22","10003001"
"10003","53002","2","22","10003002"
"10003","53003","1","22","10003003"
"10003","53003","2","22","10003004"
"10003","53003","3","22","10003005"
"10003","53006","1","22","10003006"
"10003","53009","1","22","10003007"
"10003","53012","1","22","10003008"
"10003","53015","1","22","10003009"
"10003","53018","1","22","10003010"
"10003","53021","1","22","10003011"
"10003","53024","1","22","10003012"
"10003","53006","2","22","10003013"
"10003","53009","2","22","10003014"
"10003","53012","2","22","10003015"
"10003","53015","2","22","10003016"
"10003","53018","2","22","10003017"
"10003","53021","2","22","10003018"
"10003","53024","2","22","10003019"
"10003","53006","3","22","10003020"
"10003","53009","3","22","10003021"
"10003","53012","3","22","10003022"
"10003","53015","3","22","10003023"
"10003","53018","3","22","10003024"
"10003","53021","3","22","10003025"
"10003","53024","3","22","10003026"
