4c319e5c0464032b1e36913a9404087df8af465dcc21d618ffd210b1cf23fae4,f5dcb60819f07b1028a06d300c812ca5c65e5fe214b1bb0aca3f5047be0df7d6,23283593dfe7620b00a1e718ebb7b7de547b9c1b92796c847c9bf5cbf5b3487d,3eb5783053326679394828d3057c54ba607df698a73c0a2caaff36809606201d,ede661dcc008ef804dfb6b43eb1b81d8b7e183e568baad3423da0cf88f28fbc7,fa03dfb244302f63eba74a451c5ef6a084ebfcd0dbd82c354b9ba7c58740edd2,21ff6acf6625d18b3deed3450dc543f5e16dc246a8b8c352e40307cf8740b7be,9328805ff42592f2620c2a122200a9a659c6587887c91ec80a61f00f56afd487,be5de57c1bd42a599abbd99e76b6eaca0b50ebb602e847f88de4fde974fb4584,3c7c5ded0d2dc816479c5c4d59ec99d25e929b8b580a3bb9783a4fc9bb2769ae,19720f382b65f4bb0ce5ab8af31310b1add06f4a59e67e6e635a00e2de9ee7f5,37a94d4f5a8a7a3f7cb84997a711f2e3b0378e874ec4b6dc38db32e4adfee224
"102010001","5201061","10201","0","七冠專用群組聊天","","晶的末端裝置","101","0","4","0","5"
"102010002","5201062","10201","0","平時的群組聊天","","","102","0","4","0","5"
"102010003","5201063","10201","0","七冠會議‧變色龍篇","","變色龍玩偶","5201063","0","2","0","2"
"102010004","5201064","10201","0","七冠會議‧線上篇","","線上會議_紀錄","5201064","1","102","0","2"
"102010005","5201066","10201","0","美麗設計","","怪物設定資料","501","1","103","0","5"
"102010006","5201074","10201","0","正常的感性","","","5201074","1","103","0","2"
"102010007","5201075","10201","0","會議在跳舞，然而毫無進展","","企劃資料","5201075","1","104","0","2"
"102010008","5201076","10201","0","失控的創作者魂","","","5201076","1","104","0","2"
"102010009","5201077","10201","0","現士實似似花與蛋糕","","綜合莓果蛋糕","5201077","0","3","0","2"
"102010010","5201078","10201","0","由此而生的好感度","","","5201078","0","3","0","2"
"102010011","5201079","10201","0","華麗報導","","訪談新聞_校閱用","401","1","105","0","5"
"102010012","5201081","10201","0","華麗報導的背後","","","402","1","105","0","5"
"102010013","5201083","10201","0","嚮導老君的憂慮","","角色服裝設定資料","5201083","1","101","0","2"
"102010014","5201085","10201","0","何以何故獸人族","","種族設定資料","5201085","1","106","0","2"
"102010015","5201087","10201","0","停止的時間，殘留的思念","","埋沒在資料裡的照片","301","0","5","0","5"
"102010016","5201088","10201","0","前進的時間，刻下的回憶","","","5201088","0","5","0","2"
"102010101","0","10201","0","前往PC畫面","","","1","0","1","0","6"
"102020001","5202061","10202","0","安可曲要輕聲地唱","","","5202061","0","1","0","7"
"102020002","5202062","10202","0","教教我吧，千歌老師！","","","5202062","0","2","0","2"
"102020003","5202063","10202","0","因為想配合你的喜好","","","5202063","0","3","0","2"
"102020004","5202064","10202","0","於是心意相連","","","5202064","0","4","0","2"
"102030001","5203061","10203","0","也有助於殺時間！巨型護目罩","","","101","0","1","0","4"
"102030002","5203062","10203","0","克蘿茜大解密其一","","","5203062","0","2","0","2"
"102030003","5203063","10203","0","搭載令人驚愕的新武裝！巨型雙眼","","","102","0","3","0","4"
"102030004","5203064","10203","0","克蘿茜大解密其二","","","5203064","0","4","0","2"
"102030005","5203065","10203","0","熟能生巧才是對的？給新手駕駛員的考驗！","","","103","0","5","0","4"
"102030006","5203066","10203","0","克蘿茜大解密其三","","","5203066","0","6","0","2"
"102030007","5203067","10203","0","推動超重量的強大輸出！巨型推進器","","","104","0","7","0","4"
"102030008","5203068","10203","0","克蘿茜大解密其四","","","5203068","0","8","0","2"
"102030009","5203069","10203","0","克蘿茜大解密其五","","","5203069","0","9","0","2"
"102030010","5203070","10203","0","流線型的壓倒性質量！巨型雙腿","","","105","0","10","0","4"
"102030011","5203071","10203","0","可愛是最重要項目？多功能武裝護目罩","","","106","1","101","0","4"
"102030012","5203072","10203","0","克蘿茜大解密其六","","","5203072","1","102","0","2"
"102030013","5203073","10203","0","最大充電充滿胸腔！可變式能量儲存槽","","","107","1","103","0","4"
"102030014","5203074","10203","0","克蘿茜大解密其七","","","5203074","1","104","0","2"
"102030015","5203075","10203","0","柔軟Q彈新觸感！講究規格的美肌","","","108","1","105","0","4"
"102030016","5203076","10203","0","搭載能量供給機能！尾巴可不是虛有其表","","","109","1","106","0","4"
"102030017","5203077","10203","0","進行分離與合體！航空軀體的新裝備！","","","110","1","107","0","4"
"102030018","5203078","10203","0","克蘿茜瘋狂特訓！不擅長走路的新型雙腿","","","111","1","108","0","4"
"102030101","0","10203","0","航空軀體解說","","","1","0","11","0","6"
