a7526e298303ccf572646f5a1c9fcc81b9554c5a1a805f2d246f4ad50e21458f,6e2a41e55b195d635c3193806fefab6aab8d30fd6e97cba909a0e90188b3312a,785dd64bd14adbe773b09323c4e3666e847f605e9900f9b24589b32fab1d8d4a,39ddec22ee1cfb1e492628a85d1f518a48cc57dfa4e3661a87fd21ed43fcdd8d,1b004ce027bde7d10b0b3631e57f1fdf13184dc13458f041a72967cd1ed920e4
"box_rank_1-3","1","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"eq_rank_3-6","2","RANK3～6的裝備道具","角色於RANK1～4中必要的裝備道具","99002"
"eq_rank_4-7","3","RANK4～7的裝備道具","角色於RANK4～7中必要的裝備道具","99002"
"1000120101","4","初音的記憶碎片","","99002"
"1000120102","5","栞的記憶碎片","","99002"
"1000220101","6","禊的記憶碎片","","99002"
"1000220102","7","美美的記憶碎片","","99002"
"1000320101","8","真步的記憶碎片","","99002"
"1000320102","9","香織的記憶碎片","","99002"
"1000420101","10","可可蘿（夏日）的記憶碎片","","99002"
"1000420102","11","咲戀的記憶碎片","","99002"
"eq_rank_5-8","12","RANK5～8的裝備道具","角色於RANK5～8中必要的裝備道具","99002"
"1000520101","13","美冬（夏日）的記憶碎片","","99002"
"1000520102","14","秋乃的記憶碎片","","99002"
"1000620101","15","純的記憶碎片","","99002"
"1000620102","16","優花梨的記憶碎片","","99002"
"1000720101","17","宮子（萬聖節）的記憶碎片","","99002"
"1000720102","18","依里的記憶碎片","","99002"
"1000820101","19","杏奈的記憶碎片","","99002"
"1000820102","20","深月的記憶碎片","","99002"
"1000920101","21","胡桃（聖誕節）的記憶碎片","","99002"
"1000920102","22","望的記憶碎片","","99002"
"1001020101","23","怜（新年）的記憶碎片","","99002"
"1001020102","24","優衣的記憶碎片","","99002"
"1001120101","25","惠理子（情人節）的記憶碎片","","99002"
"1001120102","26","璃乃的記憶碎片","","99002"
"1001220101","27","真琴的記憶碎片","","99002"
"1001220102","28","雪的記憶碎片","","99002"
"1001320101","29","露的記憶碎片","","99002"
"1001320102","30","伊緒的記憶碎片","","99002"
"1001420101","31","初音的記憶碎片","","99002"
"1001420102","32","栞的記憶碎片","","99002"
"1001520101","33","空花的記憶碎片","","99002"
"1001520102","34","莫妮卡的記憶碎片","","99002"
"1001620101","35","禊的記憶碎片","","99002"
"1001620102","36","美美的記憶碎片","","99002"
"box_rank_2-4","37","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_2-5","38","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_3-6","39","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_4-5","40","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_6-7","41","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_7-8","42","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_8-10","43","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_8-11","44","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"box_rank_9-12","45","隨機裝備箱","能夠獲得隨機的裝備。","99002"
"1001720101","46","拉姆的記憶碎片","","99002"
"1001720102","47","鈴莓的記憶碎片","","99002"
"1001820101","48","真步的記憶碎片","","99002"
"1001820102","49","香織的記憶碎片","","99002"
"1001920101","50","伊緒（夏日）的記憶碎片","","99002"
"1001920102","51","美咲的記憶碎片","","99002"
"1002020103","52","可可蘿（夏日）的記憶碎片","","99002"
"1002020104","53","咲戀的記憶碎片","","99002"
"1002120103","54","香織（夏日）的記憶碎片","","99002"
"1002120104","55","霞的記憶碎片","","99002"
"1002220101","56","美冬（夏日）的記憶碎片","","99002"
"1002220102","57","秋乃的記憶碎片","","99002"
"1002320101","58","流夏的記憶碎片","","99002"
"1002320102","59","碧的記憶碎片","","99002"
"1002420101","60","純的記憶碎片","","99002"
"1002420102","61","優花梨的記憶碎片","","99002"
"1002520101","62","禊（萬聖節）的記憶碎片","","99002"
"1002520102","63","鏡華的記憶碎片","","99002"
"1002620101","64","宮子（萬聖節）的記憶碎片","","99002"
"1002620102","65","依里的記憶碎片","","99002"
"1002720101","66","智的記憶碎片","","99002"
"1002720102","67","茉莉的記憶碎片","","99002"
"1002820101","68","杏奈的記憶碎片","","99002"
"1002820102","69","深月的記憶碎片","","99002"
"1002920101","70","望（聖誕節）的記憶碎片","","99002"
"1002920102","71","伊莉亞的記憶碎片","","99002"
"1003020101","72","胡桃（聖誕節）的記憶碎片","","99002"
"1003020102","73","望的記憶碎片","","99002"
"1003120101","74","鈴莓（新年）的記憶碎片","","99002"
"1003120102","75","胡桃的記憶碎片","","99002"
"1003220101","76","怜（新年）的記憶碎片","","99002"
"1003220102","77","優衣的記憶碎片","","99002"
"1003320101","78","栞（魔法少女）的記憶碎片","","99002"
"1003320102","79","靜流的記憶碎片","","99002"
"1003420101","80","惠理子（情人節）的記憶碎片","","99002"
"1003420102","81","璃乃的記憶碎片","","99002"
"1003520101","82","未央（NGs）的記憶碎片","","99002"
"1003520102","83","千歌的記憶碎片","","99002"
"1003720101","84","真琴的記憶碎片","","99002"
"1003720102","85","雪的記憶碎片","","99002"
"1003820101","86","望（聖誕節）的記憶碎片","","99002"
"1003820102","87","伊莉亞的記憶碎片","","99002"
"1003920101","88","露的記憶碎片","","99002"
"1003920102","89","伊緒的記憶碎片","","99002"
