05c4e0f7387f3f54abff905fecfff544d800637785693bb166b92b43c72f75aa,bcbbbb2f83a4d6f3e2b986deaa7aabbb9ff8c851d550042eea696caf6673ed7b,4646346b489bf1cbf01a4361afabcc8ad035d1218cbf98106adedae943a5a71e,efa4b7f899a69e15a759a63dd7aa6febc1de44f9087b31b00e27c0569c41b786,1b5919f31c44ddb125545243821b71bbc58c7b4fc1ed5d0f5c9224b933cb7bf7
"1","1045","1048","1025","1037"
"2","1006","1004","1003","1062"
"3","1006","1007","1003","1029"
"4","1062","1045","1047","1025"
"5","1022","1013","1043","1003"
"6","1019","1004","1006","1048"
"7","1003","1033","1062","1037"
"8","1059","1053","1056","1050"
"9","1034","1011","1001","1030"
"10","1026","1023","1063","1046"
"11","1044","1038","1020","1014"
"12","1040","1049","1017","1008"
"13","1020","1044","1023","1017"
"14","1020","1038","1017","1001"
"15","1008","1048","1030","1036"
"16","1011","1038","1044","1004"
"17","1022","1011","1043","1005"
"18","1047","1016","1046","1042"
"19","1063","1028","1014","1041"
"20","1058","1055","1052","1061"
"21","1024","1001","1025","1031"
"22","1005","1063","1024","1064"
"23","1044","1000","1040","1066"
"24","1010","1038","1000","1076"
"25","1043","1019","1003","1077"
"26","1068","1069","1070","1071"
"27","1090","1091","1092","1089"
"28","1099","1100","1098","1097"
"29","1103","1104","1102","1101"
"30","1107","1108","1106","1105"
"31","1021","1006","1012","1083"
"32","1084","1085","1087","1086"
"33","1096","1095","1094","1093"
