1702d3dd564c482914392f4b7069a801bf56aacfebb903a5a2922b33619043e4,a12ad129881deb80a9389ff86eadbe342ccec35a63c84b70fc2b2d411bd674f7,763afc2ea7fabc6da56514c0ae1b5640150420bad2f6a419b6af8e0d4c614c5f,67d0bd4dd6f36ffb42408f837291fae0038edae6bf9c97107240e5b6986e7631,189b4a526633ff4c0ab14219f3189926cf6b3f393fada7ed0d205d2c9a123c4f,85da1dca34d4d5cd0738bd9f0b5d9e2e1a258016322767c2a289c540fb631d81,0f462efc3d5ff6d820a377bd4fb7631aa47e98511612b7da27d8f601323f11e0,925a290a4a0e81cd23ad6f99961104a226501909541fd9bd1097b5267a0c93de,ac3acb08b7f26642f1bd84c016831580b12dda7369f9824cde2fb795f7dc1cbf
"1001","100101","1","0","10000","1001","100101","全難易度合計取得10000分","0"
"1001","100102","1","0","30000","1001","100102","全難易度合計取得30000分","0"
"1001","100103","1","0","50000","1001","100103","全難易度合計取得50000分","0"
"1001","100104","1","0","70000","1001","100104","全難易度合計取得70000分","0"
"1001","100105","1","1","90000","1001","100105","全難易度合計取得90000分","0"
"1001","100106","1","1","105000","1001","100106","全難易度合計取得105000分","0"
"1001","100107","1","1","120000","1001","100107","全難易度合計取得120000分","0"
"1001","100108","1","1","135000","1001","100108","全難易度合計取得135000分","0"
"1002","100109","1","2","0","1001","100109","在NORMAL1難易度戰鬥1次","1"
"1003","100110","1","2","0","1001","100110","在NORMAL2難易度戰鬥1次","1"
"1004","100111","1","2","0","1001","100111","在NORMAL3難易度戰鬥1次","1"
"1001","100112","1","3","10000","1001","100112","在NORMAL難易度取得10000分","1"
"1001","100113","1","3","20000","1001","100113","在NORMAL難易度取得20000分","1"
"1001","100114","1","3","30000","1001","100114","在NORMAL難易度取得30000分","1"
"1002","100115","1","4","0","1001","100115","在HARD1難易度戰鬥1次","2"
"1003","100116","1","4","0","1001","100116","在HARD2難易度戰鬥1次","2"
"1004","100117","1","4","0","1001","100117","在HARD3難易度戰鬥1次","2"
"1001","100118","1","5","15000","1001","100118","在HARD難易度取得15000分","2"
"1001","100119","1","5","30000","1001","100119","在HARD難易度取得30000分","2"
"1001","100120","1","5","45000","1001","100120","在HARD難易度取得45000分","2"
"1002","100121","1","6","0","1001","100121","在EXTRA1難易度戰鬥1次","3"
"1003","100122","1","6","0","1001","100122","在EXTRA2難易度戰鬥1次","3"
"1004","100123","1","6","0","1001","100123","在EXTRA3難易度戰鬥1次","3"
"1001","100124","1","7","20000","1001","100124","在EXTRA難易度取得20000分","3"
"1001","100125","1","7","40000","1001","100125","在EXTRA難易度取得40000分","3"
"1001","100126","1","7","60000","1001","100126","在EXTRA難易度取得60000分","3"
"1001","100201","1","0","10000","1002","100201","全難易度合計取得10000分","0"
"1001","100202","1","0","30000","1002","100202","全難易度合計取得30000分","0"
"1001","100203","1","0","50000","1002","100203","全難易度合計取得50000分","0"
"1001","100204","1","0","70000","1002","100204","全難易度合計取得70000分","0"
"1001","100205","1","1","90000","1002","100205","全難易度合計取得90000分","0"
"1001","100206","1","1","105000","1002","100206","全難易度合計取得105000分","0"
"1001","100207","1","1","120000","1002","100207","全難易度合計取得120000分","0"
"1001","100208","1","1","135000","1002","100208","全難易度合計取得135000分","0"
"1002","100209","1","2","0","1002","100209","在NORMAL1難易度戰鬥1次","1"
"1003","100210","1","2","0","1002","100210","在NORMAL2難易度戰鬥1次","1"
"1004","100211","1","2","0","1002","100211","在NORMAL3難易度戰鬥1次","1"
"1001","100212","1","3","10000","1002","100212","在NORMAL難易度取得10000分","1"
