3e6555ee6088321f6ea15d3909218660722b027f2e8bd4a66c53c16daa4e89ad,92ead37a470edf92bba01f0caa3054db2a469f0f8c6578b22f4c36c71365d1bf,819b796a0c7d3dfbe9f902135fbb8d3a3ad00f646be98542b196cdf37cc613b0,ba268edf83a2a704bde10924aec14ef242a0ee930e0323efdacc7e14ed9dba22,5deadca5fac477d2e318a788da7b98d8b73fe533578e7b1cce8bb8b158fd38d8,73cff3a51c125904a9fab849f46c123ce4fae97e46d93cc3b1e5c47c535798c9,300b273027c345352c3976bb4e7cc52927d642721126d2db07ee82868a861a3a,a230b65b153cefa9861e3e33a045e2ae3979b7736429a64e89c51f4e44060c15,03b334f2e1616629eb4d7002d0b414a8e0c7b0bafc880cd5382af4741914d4a2,15ff23ed0b44049615cb3f6475605a124875f48d01cd473c0e1b484f3da651e2,35395bfbf9684f914a359ed39384e71070ccc3e7f5d344675ddc5b88795fdd21,07083d810d3ccb4ebc3e799e75b87f7485a712b77968b38e2a78d6d3b7e38bfa,56d7776bd11e712d9d9a40b9d2ccd037f9d3314c18960704644c3e6ba4f67c2d,1b981f31848b322afbcb9667265f3a85da53059d6e940317178faa899572aea4,1b22e8cbe0a3e17c7f2da524997f80546b0f958d0de872aa2e1a4592179cf935,fef3f6721a071fd4aa63838273df4e0e86e5216ad98bc54b2531929acc5ec73d,63a25459d32b7d2c2483829223c6592ab72b9bc6b4a9a3b2bc587c9cdb96d732,10b82a7b02b814242c568ed269909a556ff33cb805b6d5d0aa1bf25478b2c145,2d323ce85cb896d3598e0c4f5284395c333281af2c33d4e7763181435fce3d63,702a7cf3cd97f4164e3daa1ed0df0caf09b433b33d5ece9dc2960d53f816f9bb,b956e6d8cb71211ad69d7500af1021efdad6ac60e1c870905fb77dcfbbbe0035
"0","1","0","-1","1","物理傷害+{0}","30","0","0","100100101","1","0","0","對敵方單體造成{0}的物理傷害","3","1","30","1","1","0","2.4"
"0","1","0","-1","99","","0","0","0","100100102","3","0","0","","3","3","50","1","1","0","500"
"0","1","0","600","99","物理傷害+{0}","13.5","0","0","100100103","1","0","0","對範圍內的敵人造成{0}的物理傷害","3","1","13.5","1","1","0","1.08"
"0","1","0","-1","1","物理傷害+{0}","20","0","0","100100201","1","0","0","對敵方單體造成{0}的物理傷害","3","1","20","1","1","0","1.6"
"0","2","0","0","1","物理攻擊力提升+{0}","30","0","1","100100301","10","1","180","提升自身{0}的物理攻擊力","7","10","1","1","1","0","30"
"0","1","0","-1","1","物理傷害+{0}","22.5","0","0","100100302","1","0","0","對敵方單體造成{0}的物理傷害","3","1","22.5","1","1","0","1.8"
"0","1","100100304","2160","99","","2","0","0","100100303","28","0","0","","3","701","1","3","1","0","0"
"0","1","0","600","99","物理傷害+{0}","22.5","0","0","100100304","1","0","0","敵方角色數量為２名以上時，對範圍內敵人造成{0}的物理傷害","3","1","22.5","1","1","0","1.8"
"0","1","0","-1","1","物理傷害+{0}","75","0","0","100101101","1","0","0","對敵方單體造成{0}的物理傷害","3","1","75","1","1","0","6"
"0","1","0","600","99","物理傷害+{0}","45","0","0","100101102","1","0","0","對範圍內的敵人造成{0}的物理傷害","3","1","45","1","1","0","3.6"
"0","1","0","-1","1","物理傷害+{0}","30","0","0","100101201","1","0","0","對敵方單體造成{0}的物理傷害","3","1","30","1","1","0","2.4"
"0","1","0","600","99","物理傷害+{0}","9","0","0","100101202","1","0","0","對範圍內的敵人造成{0}的物理傷害","3","1","9","1","1","0","0.72"
