2d683226772a315948e14df4a9cf9351a177d806ae921ef35cb709696cfcc00f,ef2909ab375a368a90d3ddc06270392dfae8e4095d61e2f24c5a6064bd5cc683,5b08fc883b5eaec91f1012128142c8825180e55a479841f81fb73ae4e7da0341,d69c4570be34a434954a0793bbfd8f3904d1ed211d8f2fd6b54d2d97ffea1511,3528e14ecfd6b7c17a11b2408853efe2955c5e3de544373f712ebf26d8fdef99,1782ff5fca2f93c901cfa9d7337a5e5f6e83bdb5738b5bc8823f2e2b2c25b9ea
"10008103","1","1","0","10008","10008001"
"10008104","2","1","0","10008","10008002"
"10008105","3","1","0","10008","10008003"
"10008107","4","1","0","10008","10008004"
"10008111","5","1","0","10008","10008005"
"0","201","2","0","10008","10008006"
"10008105","101","201","0","10008","10008201"
"10008107","102","201","0","10008","10008202"
"10008111","103","201","0","10008","10008203"
"10008115","111","202","0","10008","10008204"
"0","105601","101","0","10008","10008301"
"10008103","100901","101","0","10008","10008302"
"10008104","101301","101","0","10008","10008303"
"10008105","105601","101","0","10008","10008304"
"10008107","101301","101","0","10008","10008305"
"10008111","100901","101","0","10008","10008306"
"0","105601","102","0","10008","10008307"
"0","201","2","0","10010","10010001"
"10010112","2","1","0","10010","10010002"
"10010115","3","1","0","10010","10010003"
"10010103","4","1","0","10010","10010004"
"10010105","5","1","0","10010","10010005"
"10010107","6","1","0","10010","10010006"
"10010109","7","1","0","10010","10010007"
"10010112","101","211","0","10010","10010201"
"10010115","0","211","0","10010","10010202"
"10010110","101461","501","101471","10010","10010501"
"10010110","101462","501","101472","10010","10010502"
"10010110","101463","501","101473","10010","10010503"
"1001004","211","3","0","10010","10010531"
"1001201","1","4","0","10012","10012001"
"1001202","2","4","0","10012","10012002"
"1001203","3","4","0","10012","10012003"
"1001204","4","4","0","10012","10012004"
"1001201","101","5","0","10012","10012301"
"1001202","101","5","0","10012","10012302"
"1001203","101","5","0","10012","10012303"
"0","501","6","0","10012","10012401"
"1001204","211","3","0","10012","10012531"
"1001304","211","3","0","10013","10013531"
"1001504","211","3","0","10015","10015531"
"10017102","1","1","0","10017","10017001"
"10017108","2","1","0","10017","10017002"
"10017115","3","1","0","10017","10017003"
"0","105801","101","0","10017","10017301"
"10017102","109901","101","0","10017","10017302"
"0","109901","102","0","10017","10017303"
"1001704","211","3","0","10017","10017531"
"10021112","101921","501","101931","10021","10021001"
"10021112","101922","501","101932","10021","10021002"
"10021112","101923","501","101933","10021","10021003"
"10021112","100011","501","100351","10021","10021004"
"10021112","100012","501","100352","10021","10021005"
"10021112","100013","501","100353","10021","10021006"
"10021112","100014","501","100354","10021","10021007"
"10021112","100015","501","100355","10021","10021008"
"10021112","100016","501","100356","10021","10021009"
"10021112","100017","501","100357","10021","10021010"
"10021112","100018","501","100358","10021","10021011"
"10021112","100019","501","100359","10021","10021012"
"1003904","211","3","0","10039","10039531"
"10053102","1","1","0","10053","10053001"
"10053108","2","1","0","10053","10053002"
"10053115","3","1","0","10053","10053003"
"0","105801","101","0","10053","10053301"
"10053102","109901","101","0","10053","10053302"
"0","109901","102","0","10053","10053303"
"1005304","211","3","0","10053","10053531"
"10084102","1","1","0","10084","10084001"
"10084112","2","1","0","10084","10084002"
"10084115","3","1","0","10084","10084003"
"10085102","1","1","0","10085","10085001"
"10085108","2","1","0","10085","10085002"
"10085115","3","1","0","10085","10085003"
"10112102","1","1","0","10112","10112001"
"10112112","2","1","0","10112","10112002"
"10112115","3","1","0","10112","10112003"
"10113102","1","1","0","10113","10113001"
"10113108","2","1","0","10113","10113002"
"10113115","3","1","0","10113","10113003"
"10153102","1","1","0","10153","10153001"
"10153108","2","1","0","10153","10153002"
"10153115","3","1","0","10153","10153003"
"0","105801","101","0","10153","10153301"
"10153102","109901","101","0","10153","10153302"
"0","109901","102","0","10153","10153303"
"1015304","211","3","0","10153","10153531"
"20008103","1","1","0","20008","20008001"
"20008104","2","1","0","20008","20008002"
"20008105","3","1","0","20008","20008003"
"20008107","4","1","0","20008","20008004"
"20008111","5","1","0","20008","20008005"
"0","201","2","0","20008","20008006"
"20008105","101","201","0","20008","20008201"
"20008107","102","201","0","20008","20008202"
"20008111","103","201","0","20008","20008203"
"20008115","111","202","0","20008","20008204"
"0","105601","101","0","20008","20008301"
"20008103","100901","101","0","20008","20008302"
"20008104","101301","101","0","20008","20008303"
"20008105","105601","101","0","20008","20008304"
"20008107","101301","101","0","20008","20008305"
"20008111","100901","101","0","20008","20008306"
"0","105601","102","0","20008","20008307"
"0","201","2","0","20010","20010001"
"20010110","1","1","0","20010","20010002"
"20010112","2","1","0","20010","20010003"
"20010115","3","1","0","20010","20010004"
"20010103","4","1","0","20010","20010005"
"20010105","5","1","0","20010","20010006"
"20010107","6","1","0","20010","20010007"
"20010109","7","1","0","20010","20010008"
"20010112","101","211","0","20010","20010201"
"20010115","0","211","0","20010","20010202"
"20010110","101461","501","101471","20010","20010501"
"20010110","101462","501","101472","20010","20010502"
"20010110","101463","501","101473","20010","20010503"
"2001004","211","3","0","20010","20010531"
"2001201","1","4","0","20012","20012001"
"2001202","2","4","0","20012","20012002"
"2001203","3","4","0","20012","20012003"
"2001204","4","4","0","20012","20012004"
"2001201","101","5","0","20012","20012301"
"2001202","101","5","0","20012","20012302"
"2001203","101","5","0","20012","20012303"
"0","501","6","0","20012","20012401"
"2001204","211","3","0","20012","20012531"
"2001404","211","3","0","20014","20014531"
"20016112","101921","501","101931","20016","20016001"
"20016112","101922","501","101932","20016","20016002"
"20016112","101923","501","101933","20016","20016003"
"20016112","100011","501","100351","20016","20016004"
"20016112","100012","501","100352","20016","20016005"
"20016112","100013","501","100353","20016","20016006"
"20016112","100014","501","100354","20016","20016007"
"20016112","100015","501","100355","20016","20016008"
"20016112","100016","501","100356","20016","20016009"
"20016112","100017","501","100357","20016","20016010"
"20016112","100018","501","100358","20016","20016011"
"20016112","100019","501","100359","20016","20016012"
"20046102","1","1","0","20046","20046001"
"20046112","2","1","0","20046","20046002"
"20046115","3","1","0","20046","20046003"
"20047102","1","1","0","20047","20047001"
"20047108","2","1","0","20047","20047002"
"20047115","3","1","0","20047","20047003"
