4138af59d7badeb865e5bcb94092c7f9d0122f20669a65bd63c10f9e8e8a15e4,9c8d705e4d06f65427e1e14e26162ee82e911c2a2325e71a38ac4c10ce0e6fbb,4a7676e7741f0d53803ca1de448526790187cab84f6094706bd0c41892e9ebf4,066ae74d555f7a311cc4c7678ca037c3f4d7b6ac787c6281bac5fc603b568026,7b3abed053604f0a6e313419b41d58a0375a2431a3b83a33c2e14f305dd231ce,ff6a24d305e3c799d99868aec3ef8736b9e4560257e40942c956d31967a74e7b,06194a8f8c171062dae6f96d31640105d37f7e88bde17ea296cc0fa6d516a285,0fdae240239147f1e25de167d64512d3c528a13592dbe7f4d950017d3d8e98d5,33cbccd19305c9e2ae3bb5de45d1b8bfda86b4520b443c73d929c726362f0bdf,63a5058001c9f3a337f74996151ba49b540d98ad99081d769ea1657b5e71b8f0,1c6c16b23200ca6b51ee3e843570e65df97cf086bd14990a91f650c078d93603,ddf892491fe30e7a93d449fe9e065d16f3f0c6decf5978efbee809cc8f578aef,3098a71d11cd24dc5a6e103d52ea70272304c6b53dd69ec3a48f5d63928cbe00,39fcaf00a00230eb91ee6ac471035082ff040f4f77b293cd7897e3e34b328c5c,9858cf94bd05c6080abd9c724aa6dacaff6c1393d1ef71da5ba4c58c0058ef78,d4ee17c683f99f909153748837b325f101c10bf1e2219dd1277b55a53308d784,9cc3aade1544d57cbc58f1e447b232674986813972cd6054e8f8b5dbd3403912,f04fd7e1d04ca22d96804a35b6ee93269292ce9901e93d43274d5b6e8b3743e6,4ebf2fb6fb0698f57c267620bf833cb6b6d75e36f2e2ee6eb5728778f678996a,20ff79ef5660e3f045e27ca44c3772ee9e93453737c3772476df0433c8124b6f,aff445f2e64def5f5978e987ec0be3a96a999a6cecffc51b8132b26c1e62c94c
"5000","5000","0","30","2","0","0","31043","1","1","0","0","1001","8","2","30","0","1","91002","0","90006"
"4500","4500","0","25","2","0","0","31043","31","2","0","0","1001","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31043","101","3","0","0","1001","8","2","300","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31043","301","4","0","0","1001","8","2","1000","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31043","1001","5","0","0","1001","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","14","2","0","0","31043","2001","6","0","0","1001","8","2","5000","0","1","91002","0","90006"
"1500","1500","0","12","2","0","0","31043","5001","7","0","0","1001","8","2","10000","0","1","91002","0","90006"
"1000","1000","0","10","2","0","0","31043","10001","8","0","0","1001","8","2","20000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31043","20001","9","0","0","1001","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31022","1","10","0","0","1002","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31022","2","11","0","0","1002","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31022","3","12","0","0","1002","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31022","4","13","0","0","1002","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31022","21","14","0","0","1002","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31022","51","15","0","0","1002","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31022","101","16","0","0","1002","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31022","251","17","0","0","1002","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31022","501","18","0","0","1002","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31022","1001","19","0","0","1002","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31022","2001","20","0","0","1002","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31022","3001","21","0","0","1002","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31022","5001","22","0","0","1002","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31022","10001","23","0","0","1002","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31042","1","24","0","0","1003","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31042","2","25","0","0","1003","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31042","3","26","0","0","1003","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31042","4","27","0","0","1003","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31042","21","28","0","0","1003","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31042","51","29","0","0","1003","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31042","101","30","0","0","1003","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31042","251","31","0","0","1003","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31042","501","32","0","0","1003","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31042","1001","33","0","0","1003","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31042","2001","34","0","0","1003","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31042","3001","35","0","0","1003","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31042","5001","36","0","0","1003","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31042","10001","37","0","0","1003","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31018","1","38","0","0","1004","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31018","2","39","0","0","1004","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31018","3","40","0","0","1004","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31018","4","41","0","0","1004","8","2","20","0","1","91002","0","90006"
"8000","4500","0","25","2","0","0","31018","21","42","0","0","1004","8","2","50","0","1","91002","0","90006"
"6000","4500","0","25","2","0","0","31018","51","43","0","0","1004","8","2","100","0","1","91002","0","90006"
"4000","4000","0","20","2","0","0","31018","101","44","0","0","1004","8","2","250","0","1","91002","0","90006"
"3500","3500","0","18","2","0","0","31018","251","45","0","0","1004","8","2","500","0","1","91002","0","90006"
"3000","3000","0","16","2","0","0","31018","501","46","0","0","1004","8","2","1000","0","1","91002","0","90006"
"2500","2500","0","14","2","0","0","31018","1001","47","0","0","1004","8","2","2000","0","1","91002","0","90006"
"2000","2000","0","12","2","0","0","31018","2001","48","0","0","1004","8","2","3000","0","1","91002","0","90006"
"1500","1500","0","10","2","0","0","31018","3001","49","0","0","1004","8","2","5000","0","1","91002","0","90006"
"1000","1000","0","8","2","0","0","31018","5001","50","0","0","1004","8","2","10000","0","1","91002","0","90006"
"500","500","0","5","2","0","0","31018","10001","51","0","0","1004","8","2","-1","0","1","91002","0","90006"
"20000","5000","0","30","2","0","0","31025","1","52","0","0","1005","8","2","1","0","1","91002","0","90006"
"15000","5000","0","30","2","0","0","31025","2","53","0","0","1005","8","2","2","0","1","91002","0","90006"
"12000","5000","0","30","2","0","0","31025","3","54","0","0","1005","8","2","3","0","1","91002","0","90006"
"10000","5000","0","30","2","0","0","31025","4","55","0","0","1005","8","2","20","0","1","91002","0","90006"
