03e46192a43081a1d6247882c5979c7cec84b9f8726432b0ef9e27da4a9f806a,66f186d2924eff748ee0c0ba41b6d129b7c11609c02916f7aa43700d5ce652ac,2978506d83b8557a35a5b2cb06cea22dd1f4e470a4cd1691d9f7d7fad8ea72fa,8086ef3ce39ebeb91845c9f177992436a3e65490700c0ed48abadd37d970946e,22f4d15d1417f014276f80b7f34703914581dbfc67e4b514b88a7e6003603db9,6775669e7d4a3d95c73867f5eb025dce1bdc2e1d2cf19af97630a1507afb71cf,6bbb587d3c427c9a302a95fd337257a137ade30a5d8d0548701a15401c6fd8f3,90a39bf67260c2c87bffe8351e21131e297ecfe95cbb2968a2ae14fecae554c4,1cc80a2e738d14f666c1d9733dc1e9c8beb45d1e27bbc9478abec5eba4726be0,45feb67c3df35e82cf6965caca6cf21fe8faff39b5a49bf5bcfcd0f19bfc4c9d,a7cf986ff7d56b0500cb9c8249cec9e970c8a6f67657ffb249acf48ffdc66eb3,75f4b20d4c811704efff44ac45d43710a5824ec998f12ed5a590843aad5ce9e9
"0","0","1","4","0","0.8","5154062","0","0","1","515406201","0"
"0","0","0","2","0","0","5154062","vo_abd","0","2","515406202","vo_abd_0101"
"2","300","0","1","0","0","5154062","0","1","3","515406203","0"
"0","0","1","4","0","2.1","5154062","0","0","4","515406204","0"
"0","0","0","2","0","0","5154062","vo_abd","0","5","515406205","vo_abd_0102"
"2.05","400","0","1","0","0","5154062","0","2","6","515406206","0"
"0","0","1","4","0","3.2","5154062","0","0","7","515406207","0"
"0","0","0","2","0","0","5154062","vo_abd","0","8","515406208","vo_abd_0103"
"1","60","0","1","0","0","5154062","0","3","9","515406209","0"
"0","0","1","4","0","1.4","5154062","0","0","10","515406210","0"
"2.5","430","0","1","60","0","5154062","0","3","11","515406211","0"
"0","0","1","4","0","3.3","5154062","0","0","12","515406212","0"
"0","0","0","2","0","0","5154062","vo_abd","0","13","515406213","vo_abd_0104"
"0.2","39","0","1","0","0","5154062","0","4","14","515406214","0"
"0","0","1","4","0","0.5","5154062","0","0","15","515406215","0"
"0.2","77","0","1","39","0","5154062","0","4","16","515406216","0"
"0","0","1","4","0","0.6","5154062","0","0","17","515406217","0"
"0.8","205","0","1","77","0","5154062","0","4","18","515406218","0"
"0","0","1","4","0","1.2","5154062","0","0","19","515406219","0"
"1.8","410","0","1","205","0","5154062","0","4","20","515406220","0"
"0","0","1","4","0","2.2","5154062","0","0","21","515406221","0"
"0","0","0","2","0","0","5154062","vo_abd","0","22","515406222","vo_abd_0105"
"0.6","69","0","1","0","0","5154062","0","5","23","515406223","0"
"0","0","1","4","0","1","5154062","0","0","24","515406224","0"
"0.7","195","0","1","69","0","5154062","0","5","25","515406225","0"
"0","0","1","4","0","1.5","5154062","0","0","26","515406226","0"
"0.8","315","0","1","195","0","5154062","0","5","27","515406227","0"
"0","0","1","4","0","1","5154062","0","0","28","515406228","0"
"0.7","415","0","1","315","0","5154062","0","5","29","515406229","0"
"0","0","1","4","0","2","5154062","0","0","30","515406230","0"
"0","0","0","2","0","0","5154062","vo_abd","0","31","515406231","vo_abd_0106"
"1","190","0","1","0","0","5154062","0","6","32","515406232","0"
"0","0","1","4","0","1.3","5154062","0","0","33","515406233","0"
"1","415","0","1","190","0","5154062","0","6","34","515406234","0"
"0","0","1","4","0","2.3","5154062","0","0","35","515406235","0"
"0","0","0","2","0","0","5154062","vo_abd","0","36","515406236","vo_abd_0107"
"0.7","47","0","1","0","0","5154062","0","7","37","515406237","0"
"0","0","1","4","0","0.8","5154062","0","0","38","515406238","0"
"0.8","360","0","1","47","0","5154062","0","7","39","515406239","0"
"0","0","1","4","0","2","5154062","0","0","40","515406240","0"
"0","0","0","2","0","0","5154062","vo_abd","0","41","515406241","vo_abd_0108"
"2.63","415","0","1","0","0","5154062","0","8","42","515406242","0"
"0","0","1","4","0","2.63","5154062","0","0","43","515406243","0"
"0","0","0","2","0","0","5154062","vo_abd","0","44","515406244","vo_abd_0109"
"1","0","0","1","0","0","5154062","0","9","45","515406245","0"
"0","0","1","4","0","2","5154062","0","0","46","515406246","0"
"0.5","61","0","1","0","0","5154062","0","9","47","515406247","0"
