3d202a0837cb2a05d5e61060f358b9388ad2d38305b1d723c63d43614b4c0b91,d236f9286a23605abb227dba17c88d428c39693eee665860855a4a5b582c8ab0,403464764ce322400181be232ce24eca8abf86b7c0b3a469a74f2ee884f08c74,d3c0fae99963034bc1c932ef0898a2dff660c5c3b1d2173cd504654f30dc2b90,868bedd0c6ee94b9233fd21d6d7115500569270d7c9a7eb88d2fd6963ad04549
"70","1","bgm_M125","81000104","0"
"110","2","bgm_M125","81000104","0"
"130","3","bgm_M125","81000104","0"
"150","4","bgm_M125","81000104","0"
"170","5","bgm_M125","81000104","0"
"190","6","bgm_M125","81000104","0"
"210","7","bgm_M125","81000104","0"
"230","8","bgm_M125","81000104","0"
"250","9","bgm_M125","81000104","0"
"270","10","bgm_M125","81000104","0"
"290","11","bgm_M125","81000104","0"
"310","12","bgm_M125","81000104","0"
"330","13","bgm_M125","81000104","0"
"350","14","bgm_M125","81000104","73140350"
"360","15","bgm_M125","81000104","73150360"
"370","16","bgm_M125","81000104","73160370"
"380","17","bgm_M125","81000104","73170380"
"390","18","bgm_M125","81000104","73180390"
"400","19","bgm_M125","81000104","73190400"
"410","20","bgm_M125","81000104","73200410"
"420","21","bgm_M125","81000104","73210420"
"430","22","bgm_M125","81000104","73220430"
"440","23","bgm_M125","81000104","73230440"
"450","24","bgm_M125","81000104","73240450"
"460","25","bgm_M125","81000104","73250460"
"470","26","bgm_M125","81000104","73260470"
"480","27","bgm_M125","81000104","73270480"
"490","28","bgm_M125","81000104","73280490"
"500","29","bgm_M125","81000104","73290500"
"510","30","bgm_M125","81000104","73300510"
"520","31","bgm_M125","81000104","73310520"
"530","32","bgm_M125","81000104","73320530"
"540","33","bgm_M125","81000104","73330540"
"550","34","bgm_M125","81000104","73340550"
"560","35","bgm_M125","81000104","73350560"
"570","36","bgm_M125","81000104","73360570"
"580","37","bgm_M125","81000104","73370580"
"590","38","bgm_M125","81000104","73380590"
"600","39","bgm_M125","81000104","73390600"
"610","40","bgm_M125","81000104","73400610"
"620","41","bgm_M125","81000104","73410620"
"630","42","bgm_M125","81000104","73420630"
"640","43","bgm_M125","81000104","73430640"
"650","44","bgm_M125","81000104","73440650"
"660","45","bgm_M125","81000104","73450660"
"670","46","bgm_M125","81000104","73460670"
"680","47","bgm_M125","81000104","73470680"
"690","48","bgm_M125","81000104","73480690"
"700","49","bgm_M125","81000104","73490700"
"710","50","bgm_M125","81000104","73500710"
"720","51","bgm_M125","81000104","73510720"
"730","52","bgm_M125","81000104","73520730"
"740","53","bgm_M125","81000104","73530740"
"750","54","bgm_M125","81000104","73540750"
"760","55","bgm_M125","81000104","73550760"
"770","56","bgm_M125","81000104","73560770"
"780","57","bgm_M125","81000104","0"
