fb2a017737e388058ae0dcf9dd6993c308f0acb19e4774f023f9916d9073b89c,c64c83c879f02a89726ce8f872f5ac2ae9f1fc19f16406fd07119b7a53241985,5b6582299b9d8ab2cfe32cdd375643c81596d7cb54e58563e9f37c9df9b0c6ea,c3f1f75301f8c299bce9358e34c138c95b5433962c9418efa18353cd3bff81e2
"10000","2019/08/15 04:59:00","1st Anniversary 特別登入獎勵","2019/08/01 05:00:00"
"10002","2020/02/07 04:59:59","1.5Year Anniversary 特別登入獎勵","2020/01/21 05:00:00"
"10003","2020/07/08 04:59:59","2nd Anniversary 特別登入獎勵","2020/06/22 05:00:00"
"10004","2021/02/26 04:59:59","2.5 Year Anniversary 特別登入獎勵","2021/02/09 05:00:00"
"10005","2021/08/15 04:59:59","3rd Anniversary 特別登入獎勵","2021/08/01 05:00:00"
"10006","2022/02/18 04:59:59","3.5 Year Anniversary 特別登入獎勵","2022/02/01 05:00:00"
"10007","2022/08/15 04:59:59","4th Anniversary 特別登入獎勵","2022/08/01 05:00:00"
"10008","2023/02/06 04:59:59","4.5 Year Anniversary 特別登入獎勵","2023/01/20 05:00:00"
"10009","2023/08/15 04:59:59","5th Anniversary 特別登入獎勵","2023/08/01 05:00:00"
"10010","2024/02/24 04:59:59","5.5 Year Anniversary 特別登入獎勵","2024/02/07 05:00:00"
"10011","2024/08/16 04:59:59","6th Anniversary 特別登入獎勵","2024/08/01 05:00:00"
"10012","2025/02/18 04:59:59","6.5 Year Anniversary 特別登入獎勵","2025/02/01 05:00:00"
"10013","2025/08/15 04:59:59","7th Year Anniversary 特別登入獎勵","2025/08/01 05:00:00"
"10014","2026/03/01 04:59:59","7.5 Year Anniversary 特別登入獎勵","2026/02/12 05:00:00"
"10015","2026/09/01 04:59:59","8th Anniversary 特別登入獎勵","2026/08/18 05:00:00"
