3336ad54d8195d2c07d6f8a3f8c7229306672d51cbd037e3d67dc953b5b4a185,ba5fa5430e436e23ba6d5cc8ada27605c860c9a37f317dc3a08038a7419c51c8,bdce23421ac1dab9636c0ae498d5157347f5f33e42586bb25ffd59ca3c58a184,e1a7f624c0036cb6888bae9e1372394b235d968dc6dff161c7255493ae4b835a,b03964464ccc34cc9f292102f75b1f27dd5c777d0c2c740ca7021027b3c98060
"1","803100201","0","3001","3"
"2","803100202","0","3001","3"
"3","803100203","0","3001","3"
"1","803100204","0","3002","3"
"2","803100205","0","3002","3"
"3","803100206","0","3002","3"
"1","803100207","0","3003","3"
"2","803100208","0","3003","3"
"3","803100209","0","3003","3"
"1","803100210","0","3004","3"
"2","803100211","0","3004","3"
"3","803100212","0","3004","3"
"1","803100213","0","3005","3"
"2","803100214","0","3005","3"
"3","803100215","0","3005","3"
"1","803100216","0","3006","3"
"2","803100217","0","3006","3"
"3","803100218","0","3006","3"
"1","803100219","0","3007","3"
"2","803100220","0","3007","3"
"3","803100221","0","3007","3"
