2c660c7736e409ee9db1909de6ac19b829f9e8794e5dfd4a8bf18c547d245121,605f7daf5d2c2b8439b754ea025a90f5b4b0fc2276e2e28435d96557ea2b2a81,58944c6ab7352ed4704be01dbcb90d16d97aa2dbfc27b62069297265c7abb131,a8ec06dda570af7905f080315c4584a76993bb8a0596c8ce8909d376c582679e,f42fe4de73a84562fb7197073bbb2783f1eaccf22e3829ea7f47df3e9a3b96b1,3208e84d5ccf5110557aed74c2bab74d14284a76e1093976838e8e955429a0bf,eeeb3b5aa1edcc636b13b7b7914a4d10d0bc6f633cf2500d86d672d73624356e
"1","50","0","9999999","50","0","1"
"2","20","0","9999999","80","0","2"
"3","70","0","2000","30","0","3"
"3","30","0","5000","40","30","4"
"3","0","20","10000","40","40","5"
"3","0","30","15000","30","40","6"
"3","0","35","20000","25","40","7"
"3","0","40","25000","20","40","8"
"3","0","45","30000","15","40","9"
"3","0","50","35000","10","40","10"
"3","0","55","40000","10","35","11"
"3","0","60","45000","5","35","12"
"3","0","65","50000","5","30","13"
"3","0","70","55000","0","30","14"
"3","0","75","60000","0","25","15"
"3","0","80","65000","0","20","16"
"3","0","85","70000","0","15","17"
"3","0","90","75000","0","10","18"
"3","0","95","80000","0","5","19"
"3","0","100","9999999","0","0","20"
