6f8ba5fe2a2bc5ef0e181fd7847e058ac20e201bc3242120da22f46b36f61a1b,d6124aec2ce43b9d3dd468c3441cee2fde1275cf9b9a6dde94e605e47908091f,b229557f137b66c2e8c7667110a5eff2d3391cfef54b090529cdc11b0bb69236,8c98b46d25e5843c8298f0213d3a4144c8ded2b7440887a5f2e3ca46f9db61b8,b9c25b00fa3b5fab65a65fc0e978556744884b38f47820f3dc95a2e45259b983,c4556493138005bec0a1c1a93adc2bfb41de38dae696e227b5091dd2c8e40f2f,7c39b22e9794ea174c7a611de77f96bedf6405abd0747ce143f0fb6ac6e5ef4d,ff158c5d7e6ed5aa22ad53d98c0bfa6a86eca8c028d0e7f120c27d8d8fe02989,a703f3a8e3508d9c4ec17135c0bc8a55ee18d899e891f744bd39ae1ab1219734,dbe456c3743813550ebc0b2c733d031e7a747706146d89e2d593214f7eb5ecd1,eb211ac931f89fb0d1802b2087c21615c6fdbc708e56e6b99269c8946969fa6c,377d339253ee4562e2987b1d49b0d89e1d313fe824cfdb15b0976baeb98e491b
"0","0","1009801","0","0.8","0","0","1","1","0","100980101","4"
"0","vo_lsv_0101","1009801","0","0","0","vo_lsv","2","0","0","100980102","2"
"0","0","1009801","1","0","300","0","3","0","2","100980103","1"
"0","0","1009801","0","2.3","0","0","4","1","0","100980104","4"
"0","0","1009801","2","0","280","0","5","0","2","100980105","1"
"0","0","1009801","0","3","0","0","6","1","0","100980106","4"
"0","vo_lsv_0102","1009801","0","0","0","vo_lsv","7","0","0","100980107","2"
"0","0","1009801","3","0","300","0","8","0","2.05","100980108","1"
"0","0","1009801","0","2.05","0","0","9","1","0","100980109","4"
"0","0","1009801","4","0","327","0","10","0","1.8","100980110","1"
"0","0","1009801","0","2.8","0","0","11","1","0","100980111","4"
"0","vo_lsv_0103","1009801","0","0","0","vo_lsv","12","0","0","100980112","2"
"0","0","1009801","5","0","300","0","13","0","2.3","100980113","1"
"0","0","1009801","0","2.5","0","0","14","1","0","100980114","4"
"0","0","1009801","6","0","275","0","15","0","1.9","100980115","1"
"0","0","1009801","0","2.9","0","0","16","1","0","100980116","4"
"0","vo_lsv_0104","1009801","0","0","0","vo_lsv","17","0","0","100980117","2"
"0","0","1009801","7","0","300","0","18","0","2.7","100980118","1"
"0","0","1009801","0","2.9","0","0","19","1","0","100980119","4"
"0","0","1009801","8","0","310","0","20","0","2.3","100980120","1"
"0","0","1009801","0","2.3","0","0","21","1","0","100980121","4"
"0","0","1009801","9","0","250","0","22","0","1.8","100980122","1"
"0","0","1009801","0","2.8","0","0","23","1","0","100980123","4"
"0","vo_lsv_0105","1009801","0","0","0","vo_lsv","24","0","0","100980124","2"
"0","0","1009801","10","0","320","0","25","0","2.5","100980125","1"
"0","0","1009801","0","2.5","0","0","26","1","0","100980126","4"
"15","0","1009801","11","0","165","0","27","0","0.7","100980127","1"
"0","0","1009802","0","0.8","0","0","1","1","0","100980201","4"
"0","vo_lsv_0201","1009802","0","0","0","vo_lsv","2","0","0","100980202","2"
"0","0","1009802","1","0","300","0","3","0","1.51","100980203","1"
"0","0","1009802","0","1.51","0","0","4","1","0","100980204","4"
"300","0","1009802","1","0","300","0","5","0","1.5","100980205","1"
"0","0","1009802","0","2.5","0","0","6","1","0","100980206","4"
"0","vo_lsv_0202","1009802","0","0","0","vo_lsv","7","0","0","100980207","2"
"0","0","1009802","2","0","300","0","8","0","1.8","100980208","1"
"0","0","1009802","0","1.8","0","0","9","1","0","100980209","4"
"0","0","1009802","3","0","300","0","10","0","1.1","100980210","1"
"0","0","1009802","0","2.1","0","0","11","1","0","100980211","4"
"0","vo_lsv_0203","1009802","0","0","0","vo_lsv","12","0","0","100980212","2"
"0","0","1009802","4","0","300","0","13","0","1.95","100980213","1"
"0","0","1009802","0","1.95","0","0","14","1","0","100980214","4"
"0","0","1009802","5","0","310","0","15","0","2.05","100980215","1"
"0","0","1009802","0","2.05","0","0","16","1","0","100980216","4"
"310","0","1009802","5","0","310","0","17","0","0.8","100980217","1"
"0","0","1009802","0","1.8","0","0","18","1","0","100980218","4"
"0","vo_lsv_0204","1009802","0","0","0","vo_lsv","19","0","0","100980219","2"
"0","0","1009802","6","0","300","0","20","0","1.7","100980220","1"
"0","0","1009802","0","2.1","0","0","21","1","0","100980221","4"
"0","0","1009802","7","0","327","0","22","0","2.3","100980222","1"
"0","0","1009802","0","3.3","0","0","23","1","0","100980223","4"
"0","vo_lsv_0205","1009802","0","0","0","vo_lsv","24","0","0","100980224","2"
"0","0","1009802","8","0","300","0","25","0","1.83","100980225","1"
"0","0","1009802","0","2.4","0","0","26","1","0","100980226","4"
"0","0","1009802","9","0","300","0","27","0","1.7","100980227","1"
"0","0","1009802","0","2.1","0","0","28","1","0","100980228","4"
"0","0","1009802","10","0","210","0","29","0","1.1","100980229","1"
"0","0","1009802","0","0.5","0","0","30","1","0","100980230","4"
"0","0","1009803","0","0.8","0","0","1","1","0","100980301","4"
"0","vo_lsv_0301","1009803","0","0","0","vo_lsv","2","0","0","100980302","2"
"0","0","1009803","1","0","141","0","3","0","1.87","100980303","1"
"0","0","1009803","0","2","0","0","4","1","0","100980304","4"
"141","0","1009803","1","0","300","0","5","0","0.561","100980305","1"
"0","0","1009803","0","1.561","0","0","6","1","0","100980306","4"
"0","vo_lsv_0302","1009803","0","0","0","vo_lsv","7","0","0","100980307","2"
"0","0","1009803","2","0","320","0","8","0","1.3","100980308","1"
"0","0","1009803","0","1.3","0","0","9","1","0","100980309","4"
"0","0","1009803","3","0","227","0","10","0","1.2","100980310","1"
"0","0","1009803","0","2.2","0","0","11","1","0","100980311","4"
"0","vo_lsv_0303","1009803","0","0","0","vo_lsv","12","0","0","100980312","2"
"0","0","1009803","4","0","280","0","13","0","2.1","100980313","1"
"0","0","1009803","0","2.1","0","0","14","1","0","100980314","4"
"0","0","1009803","5","0","280","0","15","0","1.2","100980315","1"
"0","0","1009803","0","2.2","0","0","16","1","0","100980316","4"
"0","vo_lsv_0304","1009803","0","0","0","vo_lsv","17","0","0","100980317","2"
"0","0","1009803","6","0","350","0","18","0","1.305","100980318","1"
"0","0","1009803","0","1.305","0","0","19","1","0","100980319","4"
"350","0","1009803","6","0","350","0","20","0","2.181","100980320","1"
