a14b3740b1d232cc92fc1faced6894b2899bba8529d8dace6f37f04cfa7cb92c,34b9b06fdb8b6d4e0b98e0d6cd2615ec33f93aaa2dc7a33e2204ccc0459000a4,bc0e0dd1a37c32189658f9129a1c18213665c73308911eb8f5d31b8b52c7407f,d0c3255fddbff21c8724d850a747bdb4eefc82079394112663ddf049a34b91a4,75659ee72b94f1d8c9aec6fa1ab8e9c375ac209918793844fc7e93cf5f441317,8ca957b9573308f195e5909992401ee36cedf37efd3e03c334081af790b0513b,5b1936774afd0b70cae4d41bd81b6037361765176d66caaefcb0a2bada3bb5cb,a6de8294654aac6a3ec82f48b3e99043f609cab1da05d58518ada2f663f3f576,4b0ba1d9c5794a4d9983643cc861abcd67eba4e99d79dcd9b8cae81244245023,0cdd51039385fdfefd9dc714d5ac53e1b1851e20accba68d4bb8b35a2fe5a913,0ca9cdc9b83da3b43b5c2334420f9c474142dd4e68df0cb98dce2cccbaff18fe,d86c168b195903036cc575c61f6f7d65c26de91a2c7462e3427a0d5b39852276,79b76fe0a6da530d882ffd0534c571b2f1747f9263d0be254e7d6746705ffa70,f508963d3b975d66369b4687c375682b79b919bfc97e2b562cd3912631fb2889,f5fe57b90a9b94030526a372c450f432dd1a524c0e6860253e0d7cb67880363b,cc995e292dcdd20336506e45dd0ae63ff82ef1c98c085359f3baf8173b57600c,ff088f0ed8c81ade308ab42b2ca0e78cc22679fb6b2a35671cc84e45fb6d9233,2101533a3a9bc290f5f62d61dfd7623e5eaca79732f9c026afa2526880b928c4
"9","0","9401","1","2000","3","2","17001001","每日寶石禮包第{1}天的獎勵","403","1","2","每日寶石禮包未領取的獎勵","30","1","0","1","104"
"12","0","99401","101","0","3","1","17001101","每日瑪那禮包第{1}天的獎勵","403","1","2","每日瑪那禮包未領取的獎勵","30","0","0","1","0"
"13","0","99402","102","0","0","0","17001102","","403","1","2","","1","0","0","1","0"
"14","0","99403","103","0","1","0","17001103","","403","1","2","","7","0","0","1","0"
"15","0","99404","104","0","3","0","17001104","","403","1","2","","30","0","0","1","0"
"32","0","99445","105","0","3","1","17001105","每日體力禮包第{1}天的獎勵","403","1","0","每日體力未領取的獎勵","30","0","0","1","0"
"41","0","99456","106","0","3","1","17001106","每日秘石禮包第{1}天的獎勵","403","1","2","每日秘石未領取的獎勵","30","0","0","1","0"
"42","0","99401","107","0","3","1","17001107","每日瑪那禮包第{1}天的獎勵","403","1","2","每日瑪那禮包未領取的獎勵","30","0","0","1","0"
"75","0","9401","2","0","3","1","17001109","每日寶石禮包第{1}天的獎勵","403","1","2","每日寶石禮包未領取的獎勵","90","0","0","1","104"
"90","1","9402","0","1000","3","0","0","","0","0","1","","7","3","1","0","103"
"91","0","99517","108","0","3","1","17001108","公主之心碎片每日禮包第{1}天的獎勵","403","1","2","公主之心碎片每日禮包未領取的獎勵","30","0","0","1","0"
"139","1","9402","0","1000","3","0","0","","0","0","1","","30","3","1","0","103"
"211","0","99559","3","0","0","1","17001110","體力應援包第{1}天的獎勵","405","2","3","","7","1","0","0","103"
"212","0","9403","4","0","0","0","0","","0","2","4","","0","0","0","34","0"
"213","0","9404","5","0","0","0","0","","0","4","4","","0","0","0","31","0"
"214","0","9405","6","0","0","0","0","","0","6","4","","0","0","0","37","0"
"215","0","9406","7","0","0","0","0","","0","8","4","","0","0","0","38","0"
"517","0","9411","8","0","0","0","0","","0","31","4","","0","0","0","38","0"
"518","0","9412","9","0","0","0","0","","0","33","4","","0","0","0","38","0"
"519","0","9319","109","0","0","0","0","","0","1","5","","30","0","0","0","908"
"520","0","9407","4","0","0","0","0","","0","23","4","","0","0","0","34","0"
"521","0","9408","5","0","0","0","0","","0","25","4","","0","0","0","31","0"
"522","0","9409","6","0","0","0","0","","0","27","4","","0","0","0","37","0"
"523","0","9410","7","0","0","0","0","","0","29","4","","0","0","0","38","0"
"536","0","9413","4","0","0","0","0","","0","24","4","","0","0","0","34","0"
"537","0","9414","5","0","0","0","0","","0","26","4","","0","0","0","31","0"
"538","0","9415","6","0","0","0","0","","0","28","4","","0","0","0","37","0"
"539","0","9416","7","0","0","0","0","","0","30","4","","0","0","0","38","0"
"540","0","9417","8","0","0","0","0","","0","32","4","","0","0","0","38","0"
"541","0","9418","9","0","0","0","0","","0","34","4","","0","0","0","38","0"
