d8a6ea0541695ab8028927cec7b475c919c745fa38a545a0617c8cd2a43be8bf,239b67e15e7989e1b3127b4d68363b9a30c280e6b9ccd1630cd0987bca6416d2,1f4a45a4e0570ab82825c8a97cd86845d7d6b48eb898f41783fc99cec0a6ec17,f252ab8d54e6b1ecf726a7a7453e286c4e4de8a819460f0d9d09ef263669eff1,e0a6396525a7811543961222902c5e37237424f6c132a58e9a2da68bc4513516,27b5fcabbfe2c5626acbc32db953aa07bf6857860cfd9478e184385dbadce8ed,0122c92be50b51880d8b4771688d2c5cfa2b24ce83e686187dd3f72dd926dfac,b15f074020e8d18e0996c213d749a3b371dc04a5da2945909109b538f671630c,93c23b7c611c66c8370b933e7819f148364066f7579b6def4fd03a79bc4240d7,7c6a778e825d0092306eb9ff15d58a86500b337f545d2904eb5504eaa5362c00,8871cdb7963143ccd44cee696bdb6e946dc452911428c48e5e5f1fdc8b9d6ba4,4cb23dfe82f13c9b3308247c983e388f4803c5622afa85af1473f91e971fcb0a,4680cfe742d8a954df3fc96eace9df4b14a7edcfa6b5e5a4384a4787d07e61bb,ebf5dfaa2adcede25b12457fbd978b28260a82fc8f30f01f9a95f17c174b6f02
"180","-1","-1","180","0","1","1","-1","19","-1","0","1","-1","-1"
"180","-1","-1","180","0","1","1","-1","19","-1","0","2","-1","-1"
"180","-1","-1","180","0","1","1","-1","19","-1","0","3","-1","-1"
"180","-1","-1","180","0","0","1","-1","19","-1","0","4","-1","-1"
"180","-1","-1","180","0","1","1","-1","19","-1","0","5","-1","-1"
"180","-1","-1","180","0","1","1","-1","19","-1","0","6","-1","-1"
"180","-1","-1","180","0","1","1","-1","19","-1","0","7","-1","-1"
"180","-1","-1","180","0","1","1","-1","19","-1","0","8","-1","-1"
"215","-1","-1","215","0","1","1","-1","23","-1","0","9","-1","-1"
"215","-1","-1","215","0","1","1","-1","23","-1","0","10","-1","-1"
"215","-1","-1","215","0","0","1","-1","23","-1","0","11","-1","-1"
"215","-1","-1","215","0","1","1","-1","23","-1","0","12","-1","-1"
"215","-1","-1","215","0","1","1","-1","23","-1","0","13","-1","-1"
"215","-1","-1","215","0","1","1","-1","23","-1","0","14","-1","-1"
"215","-1","-1","215","0","1","1","-1","23","-1","0","15","-1","-1"
"215","-1","-1","215","0","1","1","-1","23","-1","0","16","-1","-1"
"250","-1","-1","250","0","1","1","-1","26","-1","0","17","-1","-1"
"250","-1","-1","250","0","0","1","-1","26","-1","0","18","-1","-1"
"250","-1","-1","250","0","1","1","-1","26","-1","0","20","-1","-1"
"250","-1","-1","250","0","1","1","-1","26","-1","0","21","-1","-1"
"250","-1","-1","250","0","1","1","-1","26","-1","0","22","-1","-1"
"260","-1","-1","260","0","0","1","-1","28","-1","0","23","-1","-1"
"250","-1","-1","250","0","1","1","-1","26","-1","0","24","-1","-1"
"250","-1","-1","250","0","1","1","-1","26","-1","0","25","-1","-1"
"280","-1","-1","280","0","0","1","-1","29","-1","0","26","-1","-1"
"280","-1","-1","280","0","1","1","-1","29","-1","0","27","-1","-1"
"280","-1","-1","280","0","1","1","-1","29","-1","0","28","-1","-1"
