2ebf7a640a14fb499038a66bb7862934d7cb9e0b819f39c04639e44ec41fb9f1,e48728ac43d6a5e9499f4f34ba84c2a96638db2bfc3a270e106615dc9944f65a,a07cd03fc933e55f875bdf38805fe29145f17477cd4a955e157898bc39639a86,2cf080b1084c224fdf3eda89c6d50eaa48593be2865d1dbfc1979c01dc1b13ee,b13935e993bf78c41b4c0cbb056bd60165542410b94e3756bf04b2fc936cf63d,6de6fb903c5b792e532971cb49c5029563c861bb02a67d8e893822e62ab43cf9,3e2e1994026b45e254eb3fb4df7c2675c4fc0ce48e01f6fb97054c770645f166,2068bd3bb9392534de2d73fb5d2492b836dbad7fa025d512d3a65ac2d7e096d2,4d73cf07c64bb67b013516aa742dca4e5326beaa751c5ed2d7d8d4bb6451f508,bc3d856c096b6293c4c59ddd4460eec27b38e0814b592e6bc5f9b288ba2b2938,b7c6baed6da2ec6c4a38b29417c4125d5558fa18dec56b8a333709dd4d36ccc1,c095e3673742a3f1b6357f019b421f0a4787120946286ebbaba4426751715583
"vo_10011600_1501","vo_10011600","0","1150001","0","0","0","0","0","1","15","2"
"0","0","0.997402597402597","1150002","0","0","0","240","1","2","15","1"
"0","0","0","1150003","2.4974025974026","0","1","0","1","3","15","4"
"vo_10011600_1502","vo_10011600","0","1150004","0","0","0","0","0","4","15","2"
"0","0","0.748051948051948","1150005","0","0","0","118","2","5","15","1"
"0","0","0","1150006","0.848051948051948","0","1","0","2","6","15","4"
"vo_10011600_1503","vo_10011600","0","1150007","0","0","0","0","0","7","15","2"
"0","0","1.16363636363636","1150008","0","118","0","460","2","8","15","1"
"0","0","0","1150009","1.96363636363636","0","1","0","2","9","15","4"
"vo_10011600_1504","vo_10011600","0","1150010","0","0","0","0","0","10","15","2"
"0","0","2.07792207792208","1150011","0","0","0","500","3","11","15","1"
"0","0","0","1150012","3.47792207792208","0","1","0","3","12","15","4"
"vo_10011600_1505","vo_10011600","0","1150013","0","0","0","0","0","13","15","2"
"0","0","1.24675324675325","1150014","0","0","0","248","4","14","15","1"
"0","0","0","1150015","2.24675324675325","0","1","0","4","15","15","4"
"vo_10011600_1506","vo_10011600","0","1150016","0","0","0","0","0","16","15","2"
"0","0","1.95324675324675","1150017","0","248","0","770","4","17","15","1"
"0","0","0","1150018","1.95324675324675","0","1","0","4","18","15","4"
"vo_10011600_1507","vo_10011600","0","1150019","0","0","0","0","0","19","15","2"
"0","0","2.07792207792208","1150020","0","0","0","359","5","20","15","1"
"0","0","0","1150021","2.97792207792208","0","1","0","5","21","15","4"
"vo_10011600_1508","vo_10011600","0","1150022","0","0","0","0","0","22","15","2"
"0","0","1.12207792207792","1150023","0","359","0","770","5","23","15","1"
"0","0","0","1150024","2.02207792207792","0","1","0","5","24","15","4"
"vo_10011600_1509","vo_10011600","0","1150025","0","0","0","0","0","25","15","2"
"0","0","1.32987012987013","1150026","0","0","0","277","6","26","15","1"
"0","0","0","1150027","2.57987012987013","0","1","0","6","27","15","4"
"vo_10011600_1510","vo_10011600","0","1150028","0","0","0","0","0","28","15","2"
"0","0","1.87012987012987","1150029","0","277","0","770","6","29","15","1"
"0","0","0","1150030","2.87012987012987","0","1","0","6","30","15","4"
"vo_10011600_1511","vo_10011600","0","1150031","0","0","0","0","0","31","15","2"
"0","0","1.55844155844156","1150032","0","0","0","361","7","32","15","1"
"0","0","0","1150033","1.75844155844156","0","1","0","7","33","15","4"
"vo_10011600_1512","vo_10011600","0","1150034","0","0","0","0","0","34","15","2"
