4b10e59f05ff69c08dec3958275d47533c827ee67ca167a2e60767c5688dc7b5,7ab489389644ea2446a983df29f67b1ab6153dfb4f9aa81c8181f315542936dd,6d61206b31cc388b39a6b84e29a1f7fd5cb173868ea86623daf9e0ad58340510,2cb1bd806d9632a8a1338a4d4b9d971cc39d80a685b67eef03f75b9c8ca0f17e,130e7ebfb01ea08b8c5fd124bdac0d08727e3bc8291760e660106dd4def35910,dd219de4c4a21759915057029959fe3b2c700ac76641208ed57021927e3641e9,3827cd4fb829cdbf55d0e9fe5c556d73105b9629b1cfc354f6d4545421623565,b1fb34264ba126b0cc1e8e130d328abbd4a9edf2be53ac0b18fab884487b8632,33f02f7dc3ab74c4cce5ad8f2a3fa7ddacf4dad5b7ea767a5c0c16ec7da57b5c,a347587ad48bf5c636788b9f6d47068a61aeef878392322d2501e14193b32e29,fc210a5a92089305364eca23a4a5879d6a24efab95af084315cd96299a6edc8a,ab96aab995b8a6d66e86bf9689e4038a8846a38a8264baba1e8992272a64a1f7,c90466e5e8de551206dfd755e41465bce4ef93fe4aa1d1b18803a7c1c7c4f574,1c2991ba08db3a74eea069d5d23808fe0ec4abf5ba6a10832ce978ab8d77ab4a,ea5e80008bf5e02646adf4f583d97d07f080cde4ca26d1c3688dc44dd3611611,1ba91568e125cf3d91ba29001c4604a9920f9cabbba8f7448f9fb79164e5c19a,bd5713c0cb8546701757508c01ec2fc88c9735f37d294503245cea74e8d0946c,295d7371b9420e63d3979d5032428759eeaafc70e9b897cb232855a9d017612a,04b13e1a0fa4a88031fed088a40fa540a8a6c6d61198f04cd2f4437466aa7295,81cc1f18c8d0c09a46eef9b8bf51c08ccb8f5492a1fa6b10f3a85d622789b651,07564f84eea76f11bc9e143e79a1f28a51636892e8635a6c1590cacef0a408c9,05354f2d63f659c06ab1e9fd69b2c7fd9df3ba04c3a580ebfc484954293da8cd,4929add3264ec1754db47e68676bb57ddb48725d90f03789c66880d2f858fe41,7a4649deb52863f829e622bc021015a016a6e5b8dad22c809d72d958b68a933b,e28dee28db3f26c70e0a7a96694b64d8e5e61d3c268c9da6bd39e48b5b1f4599,1c3282dfb810ca8a0c1de3b74371bc8d3d004b0468f9f6f3596acc515fd28f70,85bbd5727a430abb953bbf649c9d539d400caaf3c12d76aff01f6661268ab484,1774699e120b6025e1b114ef36111f24978cd84ebf4ca72573538248e63e65bd,382ce6152a7628bc9d736a160d9fcb08a368ff7f543c329a4d35f28d2c99f259,2a7cf96e04226747f3411b5a8b0e3a8df7dd8bd4967691eaa41391eb9bf44543,6cd34630d9d8bed719ee93896c8fe347207e0ee1269b5bf5599b34c8e26179cb,6e4b39c6a07c820fc52f38ae3c74ae12f5c7e177932204feaf8709f954a77c2f,27b240a4c1256a2c9612cce4077627c46d3a0a3a519aa3c23b62ba7ac05ae2a7,94a4d697c78bde891f82bd659a15957f19171002fd85ea373ab3624582468090,749fd7434ae8dfb74964111e592c6b54f7e39811b814fae43ff7aa65f6e36a61,677326045a3ebee753c7351816f012b68aca449a62d068f8ee1d6f14b57694cc,5244a946a3ddbada18d5b3df2895ee2a0d3cccfc0ade155f8c044b52f60c5a16,a1858a58355eb6f5f80207cad811637701c4df97cfe1af7068f8063293c0e963,3dafd3d022061747787990b5bcf2b5938709174f3cdf2fc5034496ffe06cd118,c45f5b1ae839d51ab356738007356a7384790e6c78e5208ce28300834d9d20c9,ed2da98408cb72dad59c17efac114d43a788d0a239b577a6d010bd2a2e3f1cef,318472ced39d241be77ec9b14c93d23c44352cf62342620d31b9a019dcf602ad,5ba2f944416bbda216f54444fb5c5233ba62f97214ba71816acb63f73e653cd2
"8","0","bgm_M41","100016","2018/09/19 15:59:59","0","0","1","1","塔爾格姆地區 1-1","0","0","0","8","bgm_M41","100015","0","0","0","100020","0","0","bgm_M41","10001","bgm_M41","-50","2018/08/28 16:00:00","0","90","0","8","10001101","bgm_M41","100014","610001101","10001101","-820","0","bgm_M41","100014","1","610001121","120"
"8","0","bgm_M41","100016","2018/09/19 15:59:59","0","0","2","1","塔爾格姆地區 1-2","0","0","0","8","bgm_M41","100015","0","0","0","100020","0","0","bgm_M41","10001","bgm_M41","-140","2018/08/28 16:00:00","0","90","0","8","10001102","bgm_M41","100014","610001102","10001101","-710","0","bgm_M41","100014","1","610001121","120"
"8","0","bgm_M41","100093","2018/09/19 15:59:59","0","0","3","1","塔爾格姆地區 1-3","0","0","0","8","bgm_M41","100092","0","0","0","100030","0","0","bgm_M41","10001","bgm_M41","0","2018/08/28 16:00:00","0","90","0","8","10001103","bgm_M41","100091","610001103","10001101","-620","0","bgm_M41","100091","1","610001121","120"
"8","0","bgm_M41","100043","2018/09/19 15:59:59","0","0","4","1","塔爾格姆地區 1-4","0","0","0","8","bgm_M41","100042","0","0","0","100040","0","0","bgm_M41","10001","bgm_M41","-90","2018/08/28 16:00:00","0","90","0","8","10001104","bgm_M41","100041","610001104","10001101","-500","0","bgm_M41","100041","1","610001121","120"
"8","0","bgm_M41","100093","2018/09/19 15:59:59","0","0","5","1","塔爾格姆地區 1-5","0","0","0","8","bgm_M41","100092","0","0","0","100030","0","0","bgm_M41","10001","bgm_M41","45","2018/08/28 16:00:00","0","90","0","8","10001105","bgm_M41","100091","610001105","10001101","-425","0","bgm_M41","100091","1","610001121","120"
"9","0","bgm_M41","100063","2018/09/19 15:59:59","0","0","6","1","塔爾格姆地區 1-6","0","0","0","9","bgm_M41","100062","0","0","0","100010","0","0","bgm_M41","10001","bgm_M41","0","2018/08/28 16:00:00","0","90","0","9","10001106","bgm_M41","100061","610001106","10001101","-280","0","bgm_M41","100061","1","610001121","135"
"9","0","bgm_M41","100023","2018/09/19 15:59:59","0","0","7","1","塔爾格姆地區 1-7","0","0","0","9","bgm_M41","100022","0","0","0","100050","0","0","bgm_M41","10001","bgm_M41","-160","2018/08/28 16:00:00","0","90","0","9","10001107","bgm_M41","100021","610001107","10001101","-220","0","bgm_M41","100021","1","610001122","135"
"9","0","bgm_M41","100043","2018/09/19 15:59:59","0","0","8","1","塔爾格姆地區 1-8","0","0","0","9","bgm_M41","100042","0","0","0","100040","0","0","bgm_M41","10001","bgm_M41","-10","2018/08/28 16:00:00","0","90","0","9","10001108","bgm_M41","100041","610001108","10001101","-100","0","bgm_M41","100041","1","610001121","135"
"9","0","bgm_M41","100016","2018/09/19 15:59:59","0","0","9","1","塔爾格姆地區 1-9","0","0","0","9","bgm_M41","100015","0","0","0","100020","0","0","bgm_M41","10001","bgm_M41","30","2018/08/28 16:00:00","0","90","0","9","10001109","bgm_M41","100014","610001109","10001101","30","0","bgm_M41","100014","1","610001121","135"
"9","0","bgm_M41","100093","2018/09/19 15:59:59","0","0","10","1","塔爾格姆地區 1-10","0","0","0","9","bgm_M41","100092","0","0","0","100030","0","0","bgm_M41","10001","bgm_M41","-80","2018/08/28 16:00:00","0","90","0","9","10001110","bgm_M41","100091","610001110","10001101","140","0","bgm_M41","100091","1","610001121","135"
"10","0","bgm_M41","100103","2018/09/19 15:59:59","0","0","11","1","塔爾格姆地區 1-11","0","0","0","10","bgm_M41","100102","0","0","0","100070","0","0","bgm_M41","10001","bgm_M41","-20","2018/08/28 16:00:00","0","90","0","10","10001111","bgm_M41","100101","610001111","10001101","260","0","bgm_M41","100101","1","610001121","150"
"10","0","bgm_M41","100063","2018/09/19 15:59:59","0","0","12","1","塔爾格姆地區 1-12","0","0","0","10","bgm_M41","100062","0","0","0","100010","0","0","bgm_M41","10001","bgm_M41","-130","2018/08/28 16:00:00","0","90","0","10","10001112","bgm_M41","100061","610001112","10001101","380","0","bgm_M41","100061","1","610001121","150"
"10","0","bgm_M41","100043","2018/09/19 15:59:59","0","0","13","1","塔爾格姆地區 1-13","0","0","0","10","bgm_M41","100042","0","0","0","100040","0","0","bgm_M41","10001","bgm_M41","20","2018/08/28 16:00:00","0","90","0","10","10001113","bgm_M41","100041","610001113","10001101","470","0","bgm_M41","100041","1","610001121","150"
"10","0","bgm_M41","100093","2018/09/19 15:59:59","0","0","14","1","塔爾格姆地區 1-14","0","0","0","10","bgm_M41","100092","0","0","0","100030","0","0","bgm_M41","10001","bgm_M41","-120","2018/08/28 16:00:00","0","90","0","10","10001114","bgm_M41","100091","610001114","10001101","570","0","bgm_M41","100091","1","610001121","150"
"10","0","bgm_M41","100093","2018/09/19 15:59:59","0","0","15","1","塔爾格姆地區 1-15","0","0","0","10","bgm_M41","100092","0","0","0","100030","0","0","bgm_M41","10001","bgm_M41","-10","2018/08/28 16:00:00","0","90","0","10","10001115","bgm_M41","100091","610001115","10001101","680","0","bgm_M41","100091","1","610001123","150"
"16","0","bgm_M41","100369","2018/09/19 15:59:59","2","0","16","1","塔爾格姆地區 1-1","0","1","3","16","bgm_M41","100368","0","0","0","100020","0","28","bgm_M41","10001","bgm_M41","-40","2018/08/28 16:00:00","0","90","31012","16","10001201","bgm_M41","100367","610001116","10001201","-450","0","bgm_M41","100367","2","610001121","240"
"16","0","bgm_M41","100773","2018/09/19 15:59:59","2","0","17","1","塔爾格姆地區 1-2","0","1","3","16","bgm_M41","100772","0","0","0","100060","0","28","bgm_M41","10001","bgm_M41","-120","2018/08/28 16:00:00","0","90","31038","16","10001202","bgm_M41","100771","610001117","10001201","-250","0","bgm_M41","100771","2","610001121","240"
"18","0","bgm_M41","100453","2018/09/19 15:59:59","2","0","18","1","塔爾格姆地區 1-3","0","1","3","18","bgm_M41","100452","0","0","0","100090","0","29","bgm_M41","10001","bgm_M41","-20","2018/08/28 16:00:00","0","90","31012","18","10001203","bgm_M41","100451","610001118","10001201","-50","0","bgm_M41","100451","2","610001121","270"
"18","0","bgm_M41","100733","2018/09/19 15:59:59","2","0","19","1","塔爾格姆地區 1-4","0","1","3","18","bgm_M41","100732","0","0","0","100070","0","29","bgm_M41","10001","bgm_M41","70","2018/08/28 16:00:00","0","90","31038","18","10001204","bgm_M41","100731","610001119","10001201","170","0","bgm_M41","100731","2","610001121","270"
"20","0","bgm_M41","100383","2018/09/19 15:59:59","2","0","20","1","塔爾格姆地區 1-5","0","1","3","20","bgm_M41","100382","0","0","0","100030","0","30","bgm_M41","10001","bgm_M41","-120","2018/08/28 16:00:00","0","90","31012","20","10001205","bgm_M41","100381","610001120","10001201","330","0","bgm_M41","100381","2","610001121","300"
"8","0","bgm_M41","100063","2018/10/28 15:59:59","0","0","1","1","馬席納地區 1-1","0","0","0","8","bgm_M41","100062","0","0","0","100010","0","0","bgm_M41","10002","bgm_M41","-120","2018/10/03 16:00:00","0","90","0","8","10002101","bgm_M41","100061","610002101","10002101","-820","0","bgm_M41","100061","1","610002121","120"
"8","0","bgm_M41","100016","2018/10/28 15:59:59","0","0","2","1","馬席納地區 1-2","0","0","0","8","bgm_M41","100015","0","0","0","100020","0","0","bgm_M41","10002","bgm_M41","20","2018/10/03 16:00:00","0","90","0","8","10002102","bgm_M41","100014","610002102","10002101","-710","0","bgm_M41","100014","1","610002121","120"
"8","0","bgm_M41","100063","2018/10/28 15:59:59","0","0","3","1","馬席納地區 1-3","0","0","0","8","bgm_M41","100062","0","0","0","100010","0","0","bgm_M41","10002","bgm_M41","-120","2018/10/03 16:00:00","0","90","0","8","10002103","bgm_M41","100061","610002103","10002101","-580","0","bgm_M41","100061","1","610002121","120"
