be1ef0c892151bfe6b3aa0849f97ecd7166ede43764ccb42ae0da247c8162996,e0026c0fd8bf742f383f48ae9944cb39c645ec0c4e53bc9c5a48d6cb54bf32f9,ad4b42976655b146af22d95b3fa4fad9c240214d05315f020e98aa02f0a51116,41c68a827da4d3337ebc8f4b3a12263048212c8e87b8f631a66b2e366088cc48,fc374fa7924919b9d6a8d1d51cbbc7251e0eaf107cd91d0fc4c7443682690dba,43d8efc36cbaa9af5713a343735f0838018d4ca377d69d3fe67199d41c5ed566,b81f1cd3e6bdf9667938b45b1317ddc3ee3305e1e91c2c5f21c34cc8018e146b,45d472c13e89a8ac31ba98398079d1f45dd9e1e1ea4b99e9685c5abb5073ec06,2e736e30de9508439d8ae6c0cea3c724b6755384372fe697597022202335f0a8,e872527e61de0fa2d03d4a17e21f14dd75099ab04fa895dac98f56b168df6d03,60e0b88fb5f213940078fe446c92984eb5d272793add93321d7c3042452e3550
"1","sjr_talk_idle","1","100","1.65","1","40","122611","1001","1","-194"
"3","","122611","1","0.2","","","sjr_talk_wish_look","1002","1",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_001","1003","1",""
"11","1","122611","10","0","0","1","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","1004","1","0"
"91","","0","","","","","","1005","1",""
"3","","122611","1","0.2","","","sjr_talk_idle","1006","1",""
"1","sjr_talk_idle","1","100","1.65","1","40","122611","2001","2","-194"
"3","","122611","1","0.2","","","sjr_talk_mouth_hidden_shy","2002","2",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_002","2003","2",""
"11","1","122611","5","0","0","1","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","2004","2","0"
"91","","0","","","","","","2005","2",""
"3","","122611","1","0.2","","","sjr_talk_idle","2006","2",""
"1","sjr_talk_idle","1","100","1.65","1","40","122611","3001","3","-194"
"3","","122611","0","0.2","0","sjr_talk_stepback_worry","sjr_talk_stepback_surprise_worry","3002","3","1"
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_003","3003","3",""
"11","1","122611","7","0","0","1","那個人的速度\n好像很快……！\n我贏得了嗎……？","3004","3","0"
"91","","0","","","","","","3005","3",""
"3","","122611","1","0.2","","","sjr_talk_idle","3006","3",""
"1","sjr_talk_idle","1","100","1.65","1","40","122611","4001","4","-194"
"3","","122611","1","0.2","","","sjr_talk_thinking_surprise","4002","4",""
"21","","vo_minigame_1010","0","","","0","vo_minigame_1010_top_talk_1_004","4003","4",""
"11","1","122611","5","0","0","1","有很多奇特的\n路線呢。\n要選哪個呢……？","4004","4","0"
"91","","0","","","","","","4005","4",""
