6fbeba51a2c49bfb6335d3fa33847cff3945768271c92318dca2cb2b846a8b59,d243709216e0a59514803281760c093e987735a534a691f44eba9de24886f680,ebf3f74bb8c3ac24985718f015d75385d336639cb3518d830f0994d7832a54c0,51b1e98b6f147624fe6da22bdb8974045862a025d710e16eef270bdfadf5a79b,9e6ea9eca0de681a54e0b6c86657c84fe4404ce615b8ea4c8ef19a7903490e97,c39eee9027ec489a26bbb71028634f9b1ad84f07d10e7ee6a68cf38274ae7f37,8a82b3892b7324224d3326373ceb51c923cdd20fcc5a03bd5380aca1dfcfb1b4,8e91a87a1a1d82c79d2681c3d0b8391069a46db22bf19ea3d9314c9a9473a50b,6e922c964a75880aa637db2487fabb30dabf570ec0410f6396c8063dd057e245,62dbfcfb0c47bc377038837d8ad801280bfd0a3fb5c8c9a0fd87e2d1751b6b92,9e2cad641468be5d97e6d3f1a4c916632e5a382ba13828dbd3fc4bc00efc6cba,84436b7fd0edeb40a5b7bee2030d2b48aab5ccbff69c900c6bdd5ac4945b4c89,565b5405fba1ecd9a5828f5a16a364d2b91cc57876bac4a7309b50092720578a,9cf1efbbae7b85276eb5880bc3d1faf2397199464dcb197db68e18fc484d96fd,bbde58fdd9e7230933d5cdeeec0b26779bbb34bd2a2dbe088067c9f906397921,49d937554070ab797516c6e4b6b181f73019a61ab1a6f6b214d3ba138bb57fca,dfdd1b461c0e2c06822571f1fd4c08b387300401000d0e8024c337d8f862615a,c64addefc6f3d7f41203637b8a7fe90e9e141c00fd4c2a5fe84c5ba3c6b08b59,95bf5d522fe764c60cc57742ca348c324c57224676c6d73400641783e2980254,6d78a6955c486145487325f883fa9d996527985c40a963c20832946f14e6e64f,38fde828cfb6a032bd3b7f7d87bba8772950b9d30a3332734dd8e0fbd7fa4c62,1c091a376d0b95b5db656cccf5dba73ad4fee8053efef32e48dde90c404feaf5,c5756ee5518f1ed203f4e586c0cd0fe0097114afb5cbc4de6f5267aaa2916037,c1b81928792396aa2b06d97f0120dba2aa298d98ef8128b9296e371e3a514143,8d915c8bc0bd17d5a842ca12994dc8c5cda7b9c6e15e3b9314af77721a9fc01c,2fe73a03f7a34ddce65c8cd87ea7207cc3f1c4c137f4956a915717d7ce5b7b5b,6980ea90dbdf1f2ab2108e37544c3a43878c368164562dd3ba453e4dffeba2fa,a493131c63ffbb31d28255e96089f3e1c8c4826ced512e4fb6c0338d0c2ae02b,cc80513c71a4d47855d43d40a8afc2879d77ec82b2bd1ac081d343e9c94bd0b0,f8e2842ce70ae1fec3b29de81a6badb9e7a118e2cf85af2c9064992e29924160,45cff0a665121b26125c4d5e24b81dc86d45855fe2d60cc89f2357a0a22652d0,c7ab439bd78f0ff47081cc41599d822aa99df8d413fcd2522977e7726b812a83,468ba187f2cc810f665b225620b26f7cad6edaaae596fdfb70024ec834eccef7,6f120b2864ae6eedb3012f227bccb86c0e45d0285e547e6ba558173c75fd2777,37000ca58a01df3a34bd80a0a57572c7b2c18f0c7849a9b3dcb9630024966d9e,aa4dd8febee4c917ec73644b7653f3d3de427a0a8739098a6280230bc4ffced5,4fe9340ae602eb97a3020b3713da1709dc572ae2032a27f44e35f04ab69895c4,ee1754c2af5036f24449e3b991db7fec000c6a8dce43771ab9b5fe8ce0777931,ff5563d02407d664bc16088dde8ba803c22e307682e3023659aff350798b8721,7da46c37f7b9e38bb99e75d3939310da64a3b744a3afdc5b5b956758b785ff1a
"1","1","0","1","1","1","0","10","1","0","30","200100","1","24","1","0","1","0","1","10","329","1","0","3","0","0","620010001","200000006","0","1","1","1","1","1","0","1","1","4","1","1"
"2","2","0","2","2","2","0","10","2","0","30","200100","2","28","2","0","2","0","1","10","338","2","0","3","0","0","620010002","200000006","0","2","2","2","1","1","0","2","2","9","2","2"
"3","3","0","3","3","3","0","10","3","0","30","200100","3","32","3","0","3","0","1","10","347","3","0","4","0","0","620010003","200000006","0","3","3","3","1","1","0","3","3","5","3","3"
"4","4","0","4","4","4","0","10","4","0","30","200100","4","32","4","0","4","0","1","10","347","4","0","4","0","0","620010004","200000006","0","4","4","4","1","1","0","4","4","5","4","4"
"5","5","0","5","5","5","0","10","5","0","30","200100","5","35","5","0","5","0","1","10","349","5","0","4","0","0","620010005","200000006","0","5","5","5","1","1","0","5","5","5","5","5"
"6","6","0","6","6","6","0","10","6","0","30","200100","6","48","6","0","6","0","1","10","367","6","0","6","0","0","620010006","200000006","0","6","6","6","1","1","0","6","6","7","6","6"
"7","7","0","7","7","7","0","10","7","0","30","200100","7","55","7","0","7","0","1","10","413","7","0","7","0","0","620010007","200000006","0","7","7","7","1","1","0","7","7","8","7","7"
"8","8","0","8","8","8","0","10","8","0","30","200100","8","62","8","0","8","0","1","10","459","8","0","7","0","0","620010008","200000006","0","8","8","8","1","1","0","8","8","9","8","8"
"9","9","0","9","9","9","0","10","9","0","30","200100","9","68","9","0","9","0","1","10","505","9","0","8","0","0","620010009","200000006","0","9","9","9","1","1","0","9","9","9","9","9"
"10","10","0","10","10","10","0","10","10","0","30","200100","10","75","10","0","10","0","1","10","551","10","0","9","0","0","620010010","200000006","0","10","10","10","1","1","0","10","10","10","10","10"
"11","11","0","11","11","11","0","10","11","0","30","200100","11","82","11","0","11","0","1","10","598","11","0","9","0","0","620010011","200000006","0","11","11","11","1","1","0","11","11","11","11","11"
"12","12","0","12","12","12","0","10","12","0","30","200100","12","89","12","0","12","0","1","10","644","12","0","10","0","0","620010012","200000006","0","12","12","12","1","1","0","12","12","12","12","12"
"13","13","0","13","13","13","0","10","13","0","30","200100","13","95","13","0","13","0","1","10","690","13","0","11","0","0","620010013","200000006","0","13","13","13","1","1","0","13","13","12","13","13"
"14","14","0","14","14","14","0","10","14","0","30","200100","14","102","14","0","14","0","1","10","736","14","0","11","0","0","620010014","200000006","0","14","14","14","1","1","0","14","14","13","14","14"
"15","15","0","15","15","15","0","10","15","0","30","200100","15","109","15","0","15","0","1","10","782","15","0","12","0","0","620010015","200000006","0","15","15","15","1","1","0","15","15","14","15","15"
"16","16","0","16","16","16","0","10","16","0","30","200100","16","123","16","0","16","0","1","10","851","16","0","12","0","0","620010016","200000006","0","16","16","16","1","1","0","16","16","15","16","16"
"17","17","0","17","17","17","0","10","17","0","30","200100","17","136","17","0","17","0","1","10","919","17","0","12","0","0","620010017","200000006","0","17","17","17","1","1","0","17","17","15","17","17"
"18","18","0","18","18","18","0","10","18","0","30","200100","18","164","18","0","18","0","1","10","1296","18","0","13","0","0","620010018","200000006","0","18","18","18","1","1","0","18","18","15","18","18"
"19","19","0","19","19","19","0","10","19","0","30","200100","19","177","19","0","19","0","1","10","1482","19","0","13","0","0","620010019","200000006","0","19","19","19","1","1","0","19","19","15","19","19"
