a50b68f676f42c79b72ddf3a3c0a90c62aeecad93d5fee6b4e628d4b54ab728d,d259048abe7754326f6868e8a44ab32796e8d8b0dee09511d0364b54b695be2f,e000b79c106feb741ee534bd65b8b5815387721bcab59986590f185295dc337a,6352288cef90253608b31ce135c99460f0e1b5f597b1813ed3e4f3e8310b6037,c1be4650687e4c9c22da28e4a30f0412a72a491a5c4cae45fa317b7328a9b62a,7bfcb3ea7cf7e6398956b1d52fb63c78c253ccce8ee90fc6b741cd4b5a41fab6,a63f51bd42e451e09e246f7566382f86405b3749ebf2d41fde709d809295e8bf,4683dc52c6b6ddcec1a9cc7b1d5d3d51c8128ef46d1d9f099e7cdcf9c8f8e0cc,f5a54587fd338b1b17313cc2344db5d2bfcde80ce2e72af7ccad3e7fc346f4cb,48db5331b235ed78d15722423084931cb957f3f8e61c8dcc152dc0001c9f2513,86a3e723074b3c20dd786dc85590dd780b4be442a7a21faf7a2314b7743aa813
"-68","1","42","travel_topdrama_r_2000_idle_smile","1","101","1","105811","20011","1200110001","0.8"
"-68","1","-42","travel_topdrama_r_2000_idle_sad_shy","0","102","1","106011","20011","1200110002","0.8"
"-75","0","0","mana","0","110","5","0","20011","1200110003","1"
"","0","","","","","91","","20011","1200110004",""
"","10","","","","","93","0","20011","1200110005",""
"","1200110005","","","","","101","","20011","1200110006",""
"","0","","","","0","3","none","20011","1200110007","0"
"","0","","","","","91","","20011","1200110008",""
"","105811","","","","","13","103","20012","1200120001",""
"","106011","","","","","13","104","20012","1200120002",""
"1","105811","travel_topdrama_r_2000_talk_smile_loop","","","0","3","travel_topdrama_r_2000_talk_smile_in","20012","1200120003","0.2"
"","vo_travel_talk","0","","","0","21","vo_travel_talk_20001_00","20012","1200120004",""
"1","105811","1","0","0","10","11","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪","20012","1200120005","0"
"","0","","","","","91","","20012","1200120006",""
"","105811","","","","1","3","travel_topdrama_r_2000_idle_smile","20012","1200120007","0.2"
"1","106011","","","","1","3","travel_topdrama_r_2000_talk_anger_shy","20012","1200120008","0.2"
"","vo_travel_talk","0","","","0","21","vo_travel_talk_20001_01","20012","1200120009",""
"1","106011","1","0","0","10","11","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！","20012","1200120010","0"
"","0","","","","","91","","20012","1200120011",""
"","106011","","","","1","3","travel_topdrama_r_2000_idle_sad_shy","20012","1200120012","0.2"
"1","105811","travel_topdrama_r_2000_talk_smile_loop","","","0","3","travel_topdrama_r_2000_talk_smile_in","20012","1200120013","0.2"
"","vo_travel_talk","0","","","0","21","vo_travel_talk_20001_02","20012","1200120014",""
"1","105811","1","0","0","10","11","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪","20012","1200120015","0"
"","0","","","","","91","","20012","1200120016",""
"","105811","","","","1","3","travel_topdrama_r_2000_idle_smile","20012","1200120017","0.2"
"","","","","","","112","","20012","1200120018",""
"","0","","","","","91","","20012","1200120019",""
"-68","1","42","travel_topdrama_r_2000_idle_normal","1","101","1","100211","20021","1200210001","0.8"
"-68","1","-42","travel_topdrama_r_2002_sitting_loop","0","102","1","100111","20021","1200210002","0.8"
"-68","3","-42","travel_topdrama_r_2002_sitting_loop","0","100","5","3","20021","1200210003","0.8"
"-75","0","0","mana","0","110","5","0","20021","1200210004","1"
"","0","","","","","91","","20021","1200210005",""
"","10","","","","","93","0","20021","1200210006",""
"","1200210006","","","","","101","","20021","1200210007",""
"","0","","","","0","3","none","20021","1200210008","0"
"","0","","","","","91","","20021","1200210009",""
"","100211","","","","","13","103","20022","1200220001",""
"","100111","","","","","13","104","20022","1200220002",""
"1","100211","","","","1","3","travel_topdrama_r_2000_talk_normal","20022","1200220003","0.2"
"","vo_travel_talk","0","","","0","21","vo_travel_talk_20002_00","20022","1200220004",""
"1","100211","1","0","0","10","11","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","20022","1200220005","0"
"","0","","","","","91","","20022","1200220006",""
"","100211","","","","1","3","travel_topdrama_r_2000_idle_normal","20022","1200220007","0.2"
"","vo_travel_talk","0","","","0","21","vo_travel_talk_20002_01","20022","1200220008",""
"1","100111","1","0","0","10","11","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","20022","1200220009","0"
"","0","","","","","91","","20022","1200220010",""
"1","100211","travel_topdrama_r_2000_talk_wish_loop_joy","","","0","3","travel_topdrama_r_2000_talk_wish_in_joy","20022","1200220011","0.2"
"","vo_travel_talk","0","","","0","21","vo_travel_talk_20002_02","20022","1200220012",""
"1","100211","1","0","0","10","11","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","20022","1200220013","0"
"","0","","","","","91","","20022","1200220014",""
"","100211","","","","1","3","travel_topdrama_r_2000_idle_wish_joy","20022","1200220015","0.2"
"","","","","","","112","","20022","1200220016",""
"","0","","","","","91","","20022","1200220017",""
