f2214d1961d928861d315bf0d385a1a01f669a0e8987d026876274625b7d7a9b,e467c40e0437d67d31d17194b524dd78785a8e4b8fecff2e5e03096a5ab91527,70dbd46c3aea5780aac0498ab5117a3b96032d0d79ff4e9bd5446801d8a16650,f63c50fc08971c8137f67091e04a99bd6d476895981bc060d7edbcb16a1ec812,c69b6a1744e13fda0f3110360e0882065f06d685886296e5970e1d4e7022a31f,10a47359abf4eb45be9eac55bff0e8f316b967339b588db8c0eb7d9f6f329db1,d97800c84fafbf71d8bf9ff3a97ba8b30373a3d4ea1f31d04774d09bb2f7a93c,0477bd0e4cdd0ae324f33645eeae1e572626118fc69edf3eb7ed56d4e7a708e4,1434f9bff93137b031d43adcfbd9bdaa3359cb4578ede4d259818e64de935818,097fcc4556605b478be8253bc5518ffc0bae349dba9907011ef602326605000a,037d5f97c6d7e03cabee5ad33e6ef45d1af1de4c9239a7ff9e7d4683cfdb9367,5df790214ca869e9a9878cbf0dd95d11a5fd4ec8f7a389490808c3a27920fd2d
"0","1","0","0","1","4","0","0","3","0","1","1010001"
"0","1","0","vo_minigame_1005_nikki01_000","2","2","vo_minigame_1005","0","0","0","0","1010002"
"1","1","1.418","0","3","1","0","0","0","202","0","1010003"
"0","1","0","0","4","4","0","0","1","0","1.858","1010004"
"2","1","2.536","0","5","1","0","0","0","316","0","1010005"
"0","1","0","0","6","4","0","0","1","0","3.484","1010006"
"0","1","0","vo_minigame_1005_nikki01_001","7","2","vo_minigame_1005","0","0","0","0","1010007"
"3","1","1.131","0","8","1","0","0","0","183","0","1010008"
"0","1","0","0","9","4","0","0","1","0","1.407","1010009"
"3","1","1.043","0","10","1","0","183","0","318","0","1010010"
"0","1","0","0","11","4","0","0","1","0","1.719","1010011"
"3","1","0.69","0","12","1","0","318","0","389","0","1010012"
"0","1","0","0","13","4","0","0","1","0","0.69","1010013"
"4","1","1.694","0","14","1","0","0","0","244","0","1010014"
"0","1","0","0","15","4","0","0","1","0","2.204","1010015"
"4","1","1.298","0","16","1","0","244","0","384","0","1010016"
"0","1","0","0","17","4","0","0","1","0","1.298","1010017"
"5","1","1.118","0","18","1","0","0","0","67","0","1010018"
"0","1","0","0","19","4","0","0","1","0","1.199","1010019"
"5","1","0.958","0","20","1","0","67","0","103","0","1010020"
"0","1","0","0","21","4","0","0","1","0","1.269","1010021"
"5","1","1.373","0","22","1","0","103","0","394","0","1010022"
"0","1","0","0","23","4","0","0","1","0","1.373","1010023"
"6","1","0.193","0","24","1","0","0","0","0","0","1010024"
"0","1","0","0","25","4","0","0","1","0","0.552","1010025"
"6","1","2.64","0","26","1","0","0","0","368","0","1010026"
"0","1","0","0","27","4","0","0","1","0","3.195","1010027"
"7","1","0.599","0","28","1","0","0","0","64","0","1010028"
"0","1","0","0","29","4","0","0","1","0","0.929","1010029"
"7","1","1.302","0","30","1","0","64","0","315","0","1010030"
"0","1","0","0","31","4","0","0","1","0","2.395","1010031"
"0","1","0","vo_minigame_1005_nikki01_002","32","2","vo_minigame_1005","0","0","0","0","1010032"
"8","1","2.09","0","33","1","0","0","0","345","0","1010033"
"0","1","0","0","34","4","0","0","1","0","2.512","1010034"
"9","1","0.868","0","35","1","0","0","0","63","0","1010035"
"0","1","0","0","36","4","0","0","1","0","0.907","1010036"
"9","1","1.107","0","37","1","0","63","0","315","0","1010037"
"0","1","0","0","38","4","0","0","1","0","1.107","1010038"
"10","1","1.107","0","39","1","0","0","0","162","0","1010039"
"0","1","0","0","40","4","0","0","1","0","1.455","1010040"
"10","1","1.65","0","41","1","0","162","0","162","0","1010041"
"0","1","0","0","42","4","0","0","1","0","2.654","1010042"
"0","1","0","vo_minigame_1005_nikki01_003","43","2","vo_minigame_1005","0","0","0","0","1010043"
"10","1","0.685","0","44","1","0","162","0","262","0","1010044"
"0","1","0","0","45","4","0","0","1","0","1.036","1010045"
"10","1","0.378","0","46","1","0","262","0","397","0","1010046"
"0","1","0","0","47","4","0","0","1","0","0.378","1010047"
"11","1","2.438","0","48","1","0","0","0","377","0","1010048"
"0","1","0","0","49","4","0","0","1","0","3.395","1010049"
"0","1","0","vo_minigame_1005_nikki01_004","50","2","vo_minigame_1005","0","0","0","0","1010050"
"12","1","0.642","0","51","1","0","0","0","102","0","1010051"
"0","1","0","0","52","4","0","0","1","0","1.061","1010052"
"12","1","0.539","0","53","1","0","102","0","187","0","1010053"
"0","1","0","0","54","4","0","0","1","0","0.877","1010054"
"12","1","1.135","0","55","1","0","187","0","316","0","1010055"
"0","1","0","0","56","4","0","0","1","0","2.635","1010056"
"0","2","0","0","1","4","0","0","3","0","1","1020001"
"0","2","0","vo_minigame_1005_nikki02_000","2","2","vo_minigame_1005","0","0","0","0","1020002"
"1","2","2.91","0","3","1","0","0","0","345","0","1020003"
"0","2","0","0","4","4","0","0","1","0","3.814","1020004"
"0","2","0","vo_minigame_1005_nikki02_001","5","2","vo_minigame_1005","0","0","0","0","1020005"
"2","2","1.67","0","6","1","0","0","0","239","0","1020006"
"0","2","0","0","7","4","0","0","1","0","2.19","1020007"
"3","2","2.455","0","8","1","0","0","0","314","0","1020008"
"0","2","0","0","9","4","0","0","1","0","3.527","1020009"
"0","2","0","vo_minigame_1005_nikki02_002","10","2","vo_minigame_1005","0","0","0","0","1020010"
"4","2","0.454","0","11","1","0","0","0","104","0","1020011"
"0","2","0","0","12","4","0","0","1","0","0.874","1020012"
"4","2","2.154","0","13","1","0","104","0","392","0","1020013"
