44f922e1ed431068dab06283b559f552f0b2fb796c33cd59ee87c53ab1b83022,671bbd3d24b911fe69e48dc8ede5eb4f584e43e3f768da0e3a000e57c73e3399
"1","100101"
"1","100201"
"1","100301"
"3","100401"
"2","100501"
"3","100701"
"2","100801"
"2","100901"
"3","101001"
"2","101101"
"2","101201"
"2","101301"
"3","101401"
"3","101501"
"2","101601"
"3","101801"
"3","102001"
"3","102101"
"3","102301"
"3","102501"
"3","102601"
"3","102801"
"4","102901"
"2","103001"
"3","103101"
"1","103201"
"3","103301"
"3","103601"
"2","103701"
"2","103801"
"3","104001"
"4","104201"
"2","104401"
"2","104501"
"1","104601"
"3","104701"
"1","104801"
"2","104901"
"2","105001"
"3","105201"
"2","105301"
"4","105401"
"3","105501"
"1","105801"
"1","105901"
"1","106001"
"3","107101"
"1","112401"
"1","112501"
"1","112601"
