8aa8f1634f4406b3451ac5d8b445e19e74a1680d3391768850164f253fd2ef77,0e73793b7b82a4d7e3a5fae746978a9dd52c0589bf43914fafc96ea98aaeb78f,cc5107b6d0b2b6bf9e7a6f835643821827b8e88ed0d896f0714c24a3a3150484,401958470766c60afb586fa2960e14b8694bf231a153614e40c9f32f7587a066,9e468983a2df531ecbbe3c35b7d5b01097e77bf94b7ad75e8f523b7903cedbdb,da586b5d5e27cf1f758f6d6538e6bee79a634cc5a0c2bfb5fc3f335271289bd6,96743ce59da7646c77e02642eb382f31238cce06c52d03a611c07887947f636d,ac0b0d82896e0b29c5ee39ee746e8ffb1608f1b6c1168a87dc51c84e7b8f10fb,119d276e649b070fcdf859ba551a1ea3afa56066daf9c7f8fb68e523ab05317b,f0aeef1f06df6458fee8156ac3d706a1152a5d34904801e76ec44dddd9496a92,59f5494e256b8dd3272b0451435945e2f93c19aba5859f2aa6e8b85974f36a2c
"1.3","-100","1","<weapon>_idle","1001","2","0","1000001","-250","110010001","55"
"1","0","31","","1001","100","","100","1","110010002","0"
"0","0","31","","1001","101","","101","1","110010003","0"
"1","0","31","","1001","4","","4","1","110010004","0"
"1","0","31","","1001","5","","5","1","110010005","94.5"
"","","91","","1001","0","","0","","110010006",""
"","","93","","1001","0.4","","0","","110010007",""
"0.2","","3","","1001","1000001","","<weapon>_joy_short","","110010008","0"
"","","93","","1001","1.3","","0","","110010009",""
"0","","3","","1001","1000001","","<weapon>_run","","110010010","1"
"","1","2","","1001","1000001","","800","0","110010011","-250"
"","","93","","1001","0.7","","0","","110010012",""
"","","32","","1001","101","","1","","110010013",""
"","","93","","1001","0.7","","0","","110010014",""
"1.3","-640","1","<weapon>_run","1101","2","0","1000001","-250","111010001","55"
"1","0","31","","1101","100","","100","1","111010002","0"
"0","0","31","","1101","101","","101","1","111010003","0"
"1","0","31","","1101","4","","4","1","111010004","0"
"","","35","","1101","4","","0","","111010005",""
"1","0","31","","1101","5","","5","1","111010006","0"
"1","0","31","","1101","10","","10","1","111010007","0"
"","","91","","1101","0","","","","111010008",""
"","","35","","1101","100","","1","","111010009",""
"","2.1","2","","1101","1000001","","640","0","111010010","-250"
"","","93","","1101","1.7","","0","","111010011",""
"","","32","","1101","101","","1","","111010012",""
"","","93","","1101","0.7","","0","","111010013",""
"1.3","0","1","look_loop","2001","1","0","1000001","-240","120010001","55"
"0","0","31","","2001","1","0","1","1","120010002","0"
"","","35","","2001","1","","0","","120010003",""
"","","32","","2001","1","","1","","120010004",""
"1","0","31","","2001","2","0","2","1","120010005","345.4"
"","","35","","2001","2","","0","","120010006",""
"0","0","31","","2001","3","0","3","1","120010007","345.4"
"","","35","","2001","3","","0","","120010008",""
"","","32","","2001","3","","1","","120010009",""
"1","0","31","","2001","31000001","","31000001","1","120010010","-345.4"
"1","0","31","","2001","31000002","","31000002","1","120010011","345.4"
"1","0","31","","2001","100","","100","1","120010012","0"
"0","0","31","","2001","101","","101","1","120010013","0"
"","","91","","2001","0","","","","120010014",""
