5a17b53cdd3121a0bad7068e777f7315a095b2d9f1e9a9b246e57db2eb5ec62a,5dacedccc91a24ea1f926c4e21aeebb249c8a50cbdf3ff9e6dd89b112dbd6eb2,1e705283b101084056ed629dc331c3d0f694e93e7f7687c6f5ce052f516a0456,d3714093b52fa979e2dd0de4cd0476c3ed28adc5f0906401e50d60836743c645,606f7da89a3a9dc7312ef89e4eeaf1f0bcfbf90e823cb6af210ff8b3d19b2811,a5ba47ec64e6433c1c90c0ad4f1c362b855ba145a62a245dbbae6d04f308b699,5e846826ac4a5c344cd7a278c1a02b9f26ec71c40588e78a3b3d19c82384d7e1,ea8387b25b1cd385088f146fcd19968fdba42f58b0ae0b250257c83208763c43,af24c2e2917b1f7575e47b43376121828212225a425ccd9a49ffd70f517882bc,68d924a1e2d159902a31c79f17387172fd2598586b9880bd0713017d3d494b85,0843282076ca304c7b3a24b48dc87c164a63a8b8000f9b8739c597ee57d349d5,9e79e77995527d5519bd683e69cf2677b52b152acf53ec72dee5ca0d130f92b3,65db6b44cfec79606f70f430899d7f31e7894f446547346445e7a0d585f5398d,bbec4c77eef134788b54f5907a5aae296696fd4a94a78a84a005a6203df1b856,adaf4e17a1ee8d779d24b0c7068a94de84aa61fc8b731b5d1705a4de30874cce
"0","0","0","0","0","0","1","0","0","宮子的廚房","0","0","0","0","0"
"0","0","0","0","0","102","2","0","0","把你變成布丁喲","0","0","48","0","0"
"0","0","0","0","0","152","3","0","0","比幽靈還可怕的東西？","0","0","96","0","0"
"0","0","0","0","0","142","4","0","0","宴會要與做布丁並行","0","0","144","0","0"
"0","0","0","0","0","127","5","0","0","愛就是為了布丁","0","0","168","0","0"
"0","0","0","0","0","107","6","0","0","稍微成長了？","0","0","192","0","0"
"0","0","0","0","0","0","7","0","0","啾啾～！","0","0","240","0","0"
"154","155","0","20","0","153","8","0","0","可愛的三名手下","0","0","0","0","0"
"157","0","0","40","0","150","9","0","0","好奇怪的興趣喲","0","0","0","0","0"
"161","0","0","50","0","125","10","0","0","不要亂加很危險喲","0","0","0","0","0"
"135","0","0","60","0","116","11","0","0","這是食譜？","0","0","0","0","0"
