6df5bafdf33fbeef92be8ecc7a6f3e7bba918fd1afb3838cdcbdc30db88e067a,c6a55f87947eeb218bf60318eb82612420878b9d6ff947e1708e11745e415d69,c4092add363ee6f4eb35894e6cf7c443565ec361e8d1d96f68dd718a4566c035,d4aed083c45a1bbf0ef39197594947a724bca5b73ddd980ae90c8fdbca241753,25094accb63a1e93c5104b342dfa30ccd207c4cca8f7ec97cce69cb56dd5298c,c886accc1c7145e34869a128a4d703fd284fdd01de5ac1e91f2d57b003a7c685,f3864c831fc1cff4295c34f2d65ed5fda646bcba3c25e0b98c78c51f646b8d9a,0d2b9ca3ea18af38b69f05177b1eb48f3d7e1e6661d9cd7027c3c3665746418f,454c252cf9521b9a3c7307375bcd105a810604084f4142999e0adc6637b34fbd,339ea914b4aef6ed6fbde53e334cf256a310014b9088378638c9e1e2e88881f3,023a46e616f6e99aec6bdbd19ddae1e205b89a50c4bc6fef6fc0c2762848a36f,bdf43743a07a635246b167ed7cd1a04c64e7340f8b9cca8ef00328669a5a6ed1,9db86347dcd054967fe72463a17d27fd94f19d1ff24439e18aa5381a65d5b3ad,510a57561d59630a14a2b34ebc0b785876cd1d8d868b07a4c25bb99c448b6a50,3b150808bb62633702a3c3dd1920a5488b47989ce9b96c03eda43239305c2f24,6178fc76bbd0fd6cc9bbf661556042ab3a152697500a76aa01e21c833f5400f9,30a577ed03b2c8a1db438847197863bff78909b15d31fd9e147f8f9f48df1524,3f44be2eab2c56708af858417598d5e8ba0ca4e9cf2ae47174df4cccc11459f0
"1","20000","分數累積獲得 20000 分","12","94002","5000","0","0","0","0","0","0","0","0","0","0","0","0"
"2","40000","分數累積獲得 40000 分","12","94002","10000","0","0","0","0","0","0","0","0","0","0","0","0"
"3","60000","分數累積獲得 60000 分","12","94002","15000","0","0","0","0","0","0","0","0","0","0","0","0"
"4","80000","分數累積獲得 80000 分","12","94002","20000","0","0","0","0","0","0","0","0","0","0","0","0"
"5","100000","分數累積獲得 100000 分","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"6","120000","分數累積獲得 120000 分","12","94002","25000","0","0","0","0","0","0","0","0","0","0","0","0"
"7","140000","分數累積獲得 140000 分","12","94002","30000","0","0","0","0","0","0","0","0","0","0","0","0"
"8","160000","分數累積獲得 160000 分","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"9","180000","分數累積獲得 180000 分","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"10","200000","分數累積獲得 200000 分","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"11","220000","分數累積獲得 220000 分","12","94002","55000","0","0","0","0","0","0","0","0","0","0","0","0"
"12","240000","分數累積獲得 240000 分","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"13","260000","分數累積獲得 260000 分","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"14","280000","分數累積獲得 280000 分","12","94002","45000","0","0","0","0","0","0","0","0","0","0","0","0"
"15","300000","分數累積獲得 300000 分","15","11001021","1","8","91002","150","2","23001","10","0","0","0","0","0","0"
