1253da9885c0e369e13ef8f6b4a0d3544897bff64760a56c4d22092bafc92cd5,50e2a22f480fc4229680586ef4548b3391963b9232bc5089874a6af586b96a49,c1e9f565838c4e0db41d9d2dc8745a79862c02090248cfc004060cfd5651fcb8,1431e08b733f01de8976ffbf34fdbcd651d30ec53f713da1023302c9213d146b,ecfb39166a42bd9ab9479909a5842c19d0feab97b9e82df21d37f2985b431eb4,dfbc32b0706760c0cf2a27371e4ac3b379b5082b6c069e6ca5ca3488401f34f6,1fffa92b1905ae074f580d45b5766612ed8b219b4ab13b533fb7176d5202aa8e,c47e8371d61fa6bfbf2835a006770b7c4bfc8417e80980c2c5a0ad57cc69f1e1,5465603d07dce80ad27f0daef3fd90974e37ec6a165266ef204d445140f06bd0,0403fcb79956d6aff487a53d52ecdfbc17ff5ae985e801db90a869e85f411bd8,41b5649776ad358b383c10ed785fb2bf44e48c320ddb2e67574dac5d492e1b5a,213a861dbf98e2d202db7a0dbf4d308c01d2ac3c3ed847867ac2d1fa6534635e,acd993fb950c19918b03c3da24407c03829ede9d09662c5b796c2e60d4015b60,bda6b3c671d1ec4ac1942e74790c72a0de969487bca9e920c54a707ea3968f44,8b2de2927f321f316b9dc439d94f5e786fa7f4c0e2b450d0dfd40cd387d7daa0,9ea2f2c9fb80ff9077bc906b181ef7082ce9136d4e7aea084d15973da1d38351,6b63e017e41b2dd35448cff5549d11cabf8f503471bb33af0e392ec12316e180,a1646cb41bc2d6087852cea5a87a917933cb472632cba2174f172ba9a41ff740,21a71040f4c938128b7a64d08f678f9871cc808d60c394c4a6e068d76f0cf4f6,7c00afea153df5757121b65c6432d0d54fbdee4806ebad8adb755903888b71d2,70d55d82f4839ba05f19664d2e5cd9126afd2775c59eb255642a7a5b4ab5dedf,e9a916b280f6b5fea3206135f8358e52674d1bd20a06996f7f2afd6223449ae0,9e06774ea77e7f6ff01c4ca508a70af4470d169f27a75bda6b9d7be1c21db80e,0efdd8e4f164e7b381c4b74cdb7b652618aff3fe7a5443b375e4cc80ce8813e9,0136a66dea625940b6406984d36bb61e97b83ca5d633d067e10b5838b05e59bf,2f0844ce980c1f4c980c289384f268999a9d04d2b8215bf408ae5a0805d62175,13d84cd34244da9b85a189f9badb6229e377a5b6d0dbc02a839f3bc2ab27df5e
"106901","","","2","1","192501","3","","","0","","","","2","4","","","","4","1","129001","0","","","3","","0"
"106901","","","","0","192501","2","","","0","","","","","2","","","","4","2","129001","2","","","2","",""
"106901","","","1","1","192501","3","","","0","0","","3","2","4","2","","","4","3","129001","0","","","4","","0"
"106901","","","","0","192501","1","","","0","","","","","2","","","","4","4","129001","1","","","2","",""
"106901","","","","0","192501","1","","190901","0","","","","","2","","","","4","5","129001","1","","","2","",""
"106901","","","","0","190901","1","","192501","0","","","","","2","","","","4","6","129001","1","","","2","",""
"106901","118401","","","0","","1","","118301","0","","","","","2","","","","4","7","129001","1","","","2","",""
"106901","118401","","","0","","2","","118301","0","","","","","2","","","","4","8","129001","2","","","2","",""
"106901","120501","","2","1","","3","","120401","0","","","","2","4","","120601","","4","9","129001","0","","","3","","0"
"106901","121801","","","0","","2","","121701","0","","","","","2","","","","4","10","129001","2","","","2","",""
"","124401","","","0","","2","","124301","0","","","","","2","","","","4","11","","2","","","2","",""
"","128201","","","0","","2","","128101","0","","","","","2","","","","4","12","","2","","","2","",""
