b3faa3a9daba5f84c6e228d2920a00b398c1c716adb6f1b551e47f85b7f151c5,5745c0fb56eeab25465208b2e096709be512ed1e468fed5bbd024ffe11f371dd,793cf061a0809ce6f916553abe74391815d1fab784a6433059fb50aa5a97fa4b,f994290be9c9541badd7aed04ad90ea8dfa1d44f0f0e945f2805b9a6bd185633,a3c0505ad56ff6f212f8e31d4378f2c61cebb0547ad3fef75b8abf0169ce13cd,f5c9554c8d3001842072ace5017013934f59aed8c7de928408d5701251cd88c3,407ef1478f6b8f32f260c01594abe6195802835820101f8b0433b2b9aa894c64,f96a9cf94765a1b1fa38bcfa8fadad50b9b0c6fb6d4bd6a8c789e043027e0c4d,f64e333e59d5841ea522dd4d4ff5128b8acba820037a788390a1fded1bd49ea2,3e57056465ad0b933175025f074cf4f65761bcaf923ee44214a98930b8cb45e1,27e48c186a43348b844a24e7f451574b0b153eb72e122977282b58443e000076
"","","1001","0","se_travel","23","","","1010010001","","se_travel_finish_assemble"
"-275","1.46","1001","1","1","1","0","travel_exdrama_r_100_run","1010010002","-160","1000001"
"-575","1.46","1001","2","1","1","0","travel_exdrama_r_100_run","1010010003","-200","1000002"
"-750","1.46","1001","3","1","1","0","travel_exdrama_r_100_run","1010010004","-250","1000003"
"575","1.46","1001","4","1","1","1","travel_exdrama_r_100_run","1010010005","-175","1000004"
"750","1.46","1001","5","1","1","1","travel_exdrama_r_100_run","1010010006","-250","1000005"
"1","","1001","-160","1000001","2","","","1010010007","0","-100"
"1","","1001","-200","1000002","2","","","1010010008","0","-275"
"1","","1001","-250","1000003","2","","","1010010009","0","-450"
"1","","1001","-175","1000004","2","","","1010010010","0","275"
"1","","1001","-250","1000005","2","","","1010010011","0","450"
"0","","1001","0","1","93","","","1010010012","0","0"
"","0.2","1001","0","1000001","3","0","","1010010013","0","travel_exdrama_r_100_raiseup"
"","0","1001","1","1000002","3","0","","1010010014","0","travel_exdrama_r_100_idle"
"","0","1001","1","1000003","3","0","","1010010015","0","travel_exdrama_r_100_idle"
"","0","1001","1","1000004","3","0","","1010010016","0","travel_exdrama_r_100_idle"
"","0","1001","1","1000005","3","0","","1010010017","0","travel_exdrama_r_100_idle"
"-100","1.46","1001","11","1","5","0","travel_exdrama_r_100_raiseup","1010010018","-160","1"
"","","1001","","1","93","","","1010010019","","0"
"","0.12","1001","","1000001","6","","","1010010020","0",""
"","0.12","1001","","1000002","6","","","1010010021","0",""
"","0.12","1001","","1000003","6","","","1010010022","0",""
"","0.12","1001","","1000004","6","","","1010010023","0",""
"","0.12","1001","","1000005","6","","","1010010024","0",""
"","0.12","1001","","1","6","","","1010010025","0",""
"","","1001","","0.12","93","","","1010010026","","0"
"","","1001","","0","91","","","1010010027","",""
"","","1002","0","se_travel","23","","","1010020001","","se_travel_finish_assemble"
"-275","1.46","1002","1","1","1","0","travel_exdrama_r_100_run","1010020002","-160","1000001"
"-575","1.46","1002","2","1","1","0","travel_exdrama_r_100_run","1010020003","-200","1000002"
"-750","1.46","1002","3","1","1","0","travel_exdrama_r_100_run","1010020004","-250","1000003"
"575","1.46","1002","4","1","1","1","travel_exdrama_r_100_run","1010020005","-175","1000004"
"750","1.46","1002","5","1","1","1","travel_exdrama_r_100_run","1010020006","-250","1000005"
"20","0","1002","-40","10000","31","","","1010020007","1","10000"
"1","","1002","-160","1000001","2","","","1010020008","0","-100"
