182935b54fa755be86b74cec9e57e67eb44c637367782648806d1b4e1966e089,35797bcc0bfe4a1031c384a82f2f964be69983ad310aa7ce0d5026683e53753d,64d54eee6d6e0bd8754e580da0fdd2abda3a638e84d4391677824ebe7f3dd56f,07fb06ae5fc7c164d1878d2c19f7378fe2de63ebdb11bb2e15d826459ff10170,ad70698b9827e374c90b3531b074ebb95f07038a7a8dfb3437e11e195c69b1b6
"1","追加1隻闇影","74001102","追加吉塔的闇影。","add_shadow"
"2","追加3隻闇影","74001103","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","add_shadow"
"3","闇影★6化","74001104","望的闇影變成★6。","star6_shadow"
"4","追加3隻闇影","74001104","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","add_shadow"
"5","闇影★6化","74001105","望、吉塔、鏡華的闇影\n變成★6。","star6_shadow"
"6","追加3隻闇影","74001105","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","add_shadow"
"7","追加1隻闇影","74001202","追加優花梨的闇影。","add_shadow"
"8","追加3隻闇影","74001203","追加優花梨、矛依未（新年）、優衣的闇影。","add_shadow"
"9","闇影★6化","74001204","優花梨與優衣的闇影變成★6。","star6_shadow"
"10","追加3隻闇影","74001204","追加優花梨、矛依未（新年）、優衣的闇影。","add_shadow"
"11","闇影★6化","74001205","宮子、優花梨、真步、優衣的闇影變成★6。","star6_shadow"
"12","追加3隻闇影","74001205","追加優花梨、矛依未（新年）、優衣的闇影。","add_shadow"
"13","Boss魔法傷害降低","74001301","戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","boss_magic_cut"
"14","Boss魔法傷害降低","74001302","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","boss_magic_cut"
"15","追加1隻闇影","74001302","追加靜流（夏日）的闇影。","add_shadow"
"16","開始時恢復TP","74001303","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover"
"17","Boss魔法傷害降低","74001303","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","boss_magic_cut"
"18","追加2隻闇影","74001303","追加靜流（夏日）與克莉絲提娜的闇影。","add_shadow"
"19","Boss UB強化","74001304","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"20","開始時恢復TP","74001304","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover"
"21","Boss魔法傷害降低","74001304","戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","boss_magic_cut"
"22","追加2隻闇影","74001304","追加靜流（夏日）與克莉絲提娜的闇影。","add_shadow"
"23","戰鬥時間限制","74001305","戰鬥時間變成60秒。","limit_time"
"24","Boss UB強化","74001305","Boss怪物的必殺技會受到強化。","boss_ub_enhance"
"25","開始時恢復TP","74001305","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover"
"26","Boss魔法傷害降低","74001305","戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","boss_magic_cut"
"27","追加2隻闇影","74001305","追加靜流（夏日）與克莉絲提娜的闇影。","add_shadow"
"28","Boss物理傷害降低","74001401","戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","boss_physics_cut"
"29","Boss物理傷害降低","74001402","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","boss_physics_cut"
"30","追加1隻闇影","74001402","追加空花（大江戶）的闇影。","add_shadow"
